"","x","y","alt"
"1",180332.41,333022.5,37.8
"2",180427,333028.63,36.4
"3",180473,333179.69,38
"4",180500.5,333106,36.5
"5",180549.23,333281.03,37.7
"6",180622.06,333278.22,36.4
"7",180595.05,333152.88,34.9
"8",180580.41,333034.06,35.3
"9",180641.08,333356.59,34.6
"10",180739.88,333426.69,35.8
"11",180781.53,333487.84,35.5
"12",180836.09,333590.66,38
"13",180931.14,333674.4,33.9
"14",180989.55,333538.3,31.6
"15",180900.08,333401.16,34
"16",180961.92,333401.5,35.3
"17",180913.27,333331.88,35.6
"18",180858.17,333266.44,33.8
"19",180973.39,333291.47,34.9
"20",180858.67,333266.97,33.8
"21",180933.95,333234.94,35.1
"22",180798.88,333156.97,34.8
"23",180854.91,333154.44,36
"24",180942.67,333156.9,35.7
"25",180741.39,333062,34.2
"26",180820.25,333046.78,35.8
"27",180911.88,333065.88,35.8
"28",180978.48,333016.9,35.8
"29",181005.22,333764.78,38.1
"30",181057.2,333797.3,33.3
"31",181097.47,333866.84,37.8
"32",181162,333893.19,33.2
"33",181196.13,333965.44,37.6
"34",181348.7,333902.38,28.9
"35",181406.66,333926.84,33.4
"36",181419.25,333862.38,32.8
"37",181447.92,333960.5,34
"38",181484.61,333921.3,32.7
"39",181538.39,333970.66,33.2
"40",181322.33,333840.94,33
"41",181250.05,333785.72,32.4
"42",181337.48,333775.47,32.8
"43",181198.69,333726.97,34
"44",181239.36,333675.88,33.4
"45",181324.44,333725.94,37.6
"46",181128.28,333682.75,32.1
"47",181245.34,333538.03,33
"48",181270.89,333458.19,33
"49",181151.39,333577.19,33.4
"50",181190.08,333486.34,34
"51",181221.63,333413.75,33.5
"52",181060.95,333601.66,34.1
"53",181080.98,333551.78,34.1
"54",181110.88,333489.06,34.5
"55",181136.39,333412.06,34.4
"56",181020.92,333496.75,34.5
"57",181026.84,333382.56,35.1
"58",181040.66,333322.69,35.2
"59",181134.8,333343.84,34.4
"60",181101.75,333303.66,34.9
"61",181051.06,333252.06,35
"62",181009.83,333197.28,35.3
"63",181121.3,333161.16,34.9
"64",181025.02,333110.97,35
"65",181122.77,333110.28,35.1
"66",181070.45,333010.8,35.4
"67",181178.88,333029.34,35
"68",181295.78,333371.5,32.8
"69",181242.64,333348.63,32.1
"70",181227.02,333301.06,34.4
"71",181161.67,333278.03,32.3
"72",181339.11,333293.72,34
"73",181286.3,333247.69,34.7
"74",181204.36,333173.75,35.2
"75",181373.92,333224.72,34.3
"76",181322.72,333155.03,35.3
"77",181219.91,333098.9,35.5
"78",181341.03,333064.94,35.1
"79",181248.97,333022.19,35.2
"80",181380.27,333007.44,35.2
