"","year","x","y","coast","depth","PCB138","yf"
"77",1986,595484.66,5785807.2,1,16.5490299051215,5.4,"1986"
"78",1986,593197.56,5782240.33,3,16.5456222785732,8,"1986"
"79",1986,590442.5,5779129.66,4,17.7019607502013,10.1,"1986"
"80",1986,582090.68,5768013.68,2,12.4023939952264,9.7,"1986"
"81",1986,581529.75,5768529.83,2,9.85935515167841,5.6,"1986"
"82",1986,674930.37,5929091.56,2,13.9825521752768,4.4,"1986"
"83",1986,672970.12,5947272.13,21,26.0497480979999,8,"1986"
"84",1986,674752.52,5931405.26,2,18.2573363279787,4,"1986"
"85",1986,667614.61,5996267.62,66,35.5000395018498,4.1,"1986"
"86",1986,614155.66,5859063.38,3,18.0452176201739,9.6,"1986"
"87",1986,613873.75,5859118.57,3,17.5277661332557,16.2,"1986"
"88",1986,613591.84,5859173.77,3,16.9124615589327,8.8,"1986"
"89",1986,613497.5,5859202.43,3,16.6829693337847,9.8,"1986"
"90",1986,613027.33,5859315.11,3,15.3132311473735,11.9,"1986"
"91",1986,605143.76,5860559.2,8,19.7494820384778,9.5,"1986"
"92",1986,612088.22,5859478.74,3,11.6682720569867,8.5,"1986"
"94",1986,545895.24,5868904.33,68,25.3344917148645,2.8,"1986"
"96",1986,609114.48,5831063.84,3,18.8121094686411,7.3,"1986"
"98",1986,608209.78,5831136.43,3,18.1738673772059,5.9,"1986"
"99",1986,607191.61,5831237.61,3,17.6340703971483,2.1,"1986"
"100",1986,604167.91,5814171.42,5,17.4630396515649,7.4,"1986"
"101",1986,597750.06,5790302.05,1,14.1080127943204,7.5,"1986"
"102",1986,597463.2,5790420.01,1,13.871386528771,10.1,"1986"
"103",1986,597175.76,5790568.89,1,13.8616614952601,7.2,"1986"
"104",1986,596601.52,5790835.81,1,14.2204500706284,6.9,"1986"
"106",1986,713079.34,5934681.24,2,11.6697927774701,6.9,"1986"
"108",1986,580554.38,5766412.54,2,15.8475956348066,6.6,"1986"
"109",1986,580378.93,5766656.93,2,15.6566414241098,8.1,"1986"
"110",1986,580203.49,5766901.33,2,15.4865016149905,6.6,"1986"
"111",1986,580145.08,5766992.78,2,15.4264864737004,7.1,"1986"
"112",1986,574438.08,5774011.75,8,18.9619448089181,6,"1986"
"113",1986,579522.67,5767786.28,2,15.2620082957464,5.5,"1986"
"114",1986,567232.46,5782036.17,22,20.3995463906513,21.1,"1986"
"115",1986,578260.84,5769280.53,5,15.4418268774339,9.5,"1986"
