"","temperature","pressure","density"
"1",78,164,3.41
"2",78,149,3.34
"3",78,137,3.26
"4",78,113,3.25
"5",78,80,3.06
"6",78,66,3.04
"7",100,393.5,3.44
"8",100,342.3,3.37
"9",100,258,3.17
"10",100,232,3.12
"11",100,186,3.06
"12",100,168,3.01
"13",100,156,2.98
"14",100,130,2.94
"15",100,92,2.76
"16",100,77.7,2.66
"17",110,411,3.31
"18",110,359.3,3.22
"19",110,197,2.91
"20",110,166.5,2.81
"21",110,138.5,2.78
"22",110,98.5,2.61
"23",110,84,2.49
"24",120,432,3.14
"25",120,377.5,3.06
"26",120,252,2.94
"27",120,209,2.75
"28",120,180,2.61
"29",120,149,2.6
"30",120,106,2.46
"31",120,89.5,2.37
"32",130,455,2.97
"33",130,398.5,2.89
"34",130,274,2.68
"35",130,221,2.61
"36",130,201,2.56
"37",130,188,2.5
"38",130,157.5,2.47
"39",130,112.5,2.34
"40",130,93,2.32
"41",140,477,2.82
"42",140,417.5,2.75
"43",140,287.5,2.54
"44",140,232,2.5
"45",140,199,2.4
"46",140,168.2,2.32
"47",140,117.3,2.27
"48",140,98,2.24
"49",150,498.5,2.68
"50",150,436.5,2.63
"51",150,300,2.44
"52",150,243,2.4
"53",150,208.2,2.29
"54",150,175,2.26
"55",150,103,2.16
"56",160,253,2.31
"57",160,129.2,2.11
"58",185,565,2.36
"59",185,495,2.31
"60",185,382,2.25
"61",185,335,2.23
"62",185,269,2.22
"63",185,230,2.14
"64",185,191.5,2.13
"65",185,110.5,2.11
