"","Temperature","Weight","Price","Material"
"One Kilo Bag",7,940,149,"Liteloft"
"Sund",3,1880,139,"Hollow ber"
"Kompakt Basic",0,1280,249,"MTI Loft"
"Finmark Tour",0,1750,179,"Hollow ber"
"Interlight Lyx",0,1900,239,"Thermolite"
"Kompakt",-3,1490,299,"MTI Loft"
"Touch the Cloud",-3,1550,299,"Liteloft"
"Cat's Meow",-7,1450,339,"Polarguard"
"Igloo Super",-7,2060,279,"Terraloft"
"Donna",-7,1850,349,"MTI Loft"
"Tyin",-15,2100,399,"Ultraloft"
"Travellers Dream",3,970,379,"Goose-downs"
"Yeti light",3,800,349,"Goose-downs"
"Climber",-3,1690,329,"Duck-downs"
"Viking",-3,1200,369,"Goose-downs"
"Eiger",-3,1500,419,"Goose-downs"
"Climber light",-7,1380,349,"Goose-downs"
"Cobra",-7,1460,449,"Duck-downs"
"Cobra Comfort",-10,1820,549,"Duck-downs"
"Fox re",-10,1390,669,"Goose-downs"
"Mont Blanc",-15,1800,549,"Goose-downs"
