"","day","date","kar","lgth","wgt"
"1",1,190692,1,8,16.3
"2",1,190692,1,7.1,11.45
"3",1,190692,1,8.3,19
"4",1,190692,1,7,10.45
"5",1,190692,1,7.6,14.1
"6",1,190692,1,6.9,10.3
"7",1,190692,1,7.8,14.95
"8",1,190692,1,7.1,11.3
"9",1,190692,1,7.2,11.6
"10",1,190692,1,7,11.35
"11",1,190692,1,7.3,12.15
"12",1,190692,1,7.3,12.15
"13",1,190692,1,7.8,15.3
"14",1,190692,1,6.9,11.65
"15",1,190692,1,6.8,9.55
"16",1,190692,1,7.6,14.2
"17",1,190692,1,7.4,13.15
"18",1,190692,1,6.2,9
"19",1,190692,1,7.1,10.9
"20",1,190692,1,7.6,14.55
"21",1,190692,1,6.7,9.25
"22",1,190692,1,7.5,13.75
"23",1,190692,1,7.9,17.1
"24",1,190692,1,7.3,13.1
"25",1,190692,1,6.9,9.35
"26",1,190692,1,7.5,14.15
"27",1,190692,1,7,10.2
"28",1,190692,1,7.1,12.7
"29",1,190692,1,7.1,11.45
"30",1,190692,1,6.9,8.85
"31",1,190692,1,8.7,20.7
"32",1,190692,1,7.6,14.6
"33",1,190692,1,7.8,15.2
"34",1,190692,1,6.9,10.35
"35",1,190692,1,7.8,13.65
"36",1,190692,1,7.8,16.5
"37",1,190692,1,7,10.8
"38",1,190692,1,7.3,13.1
"39",1,190692,1,6.9,10.85
"40",1,190692,1,7.1,10.95
"41",1,190692,1,7,11.9
"42",1,190692,1,7.4,14.8
"43",1,190692,1,7.8,16.25
"44",1,190692,1,6.5,8.9
"45",1,190692,1,8,16.45
"46",1,190692,1,8.6,17.1
"47",1,190692,1,7,10.2
"48",1,190692,1,7.6,14.55
"49",1,190692,1,7.6,15.35
"50",1,190692,1,7.4,12.35
"51",1,190692,1,6.9,10.4
"52",1,190692,1,6.9,11.1
"53",1,190692,1,7.2,11.85
"54",1,190692,1,7.8,15.7
"55",1,190692,1,7.2,12.3
"56",1,190692,1,7.5,10.75
"57",1,190692,2,6.9,9.7
"58",1,190692,2,7.2,12.4
"59",1,190692,2,7.5,14
"60",1,190692,2,7.4,14
"61",1,190692,2,7.4,14.8
"62",1,190692,2,7.2,11.55
"63",1,190692,2,7.5,15.15
"64",1,190692,2,7.3,13.8
"65",1,190692,2,7,10
"66",1,190692,2,7.5,14.8
"67",1,190692,2,7.3,12.2
"68",1,190692,2,6.9,9.9
"69",1,190692,2,7,11
"70",1,190692,2,6.8,11.5
"71",1,190692,2,7.8,14
"72",1,190692,2,7.8,14.45
"73",1,190692,2,6.8,10.3
"74",1,190692,2,7.4,12.7
"75",1,190692,2,7.3,12.6
"76",1,190692,2,7.1,11.5
"77",1,190692,2,7.4,13.45
"78",1,190692,2,7.4,12.35
"79",1,190692,2,7.4,12.25
"80",1,190692,2,7.8,13.35
"81",1,190692,2,7.3,13.1
"82",1,190692,2,7.7,13.2
"83",1,190692,2,7.6,13.5
"84",1,190692,2,8.1,16.95
"85",1,190692,2,7.4,11.8
"86",1,190692,2,7.2,12.15
"87",1,190692,2,7.6,15.7
"88",1,190692,2,7.6,14.05
"89",1,190692,2,7.4,12.9
"90",1,190692,2,7.2,11.5
"91",1,190692,2,7.6,14.2
"92",1,190692,2,7.5,12.6
"93",1,190692,2,8,16.85
"94",1,190692,2,7.1,11.65
"95",1,190692,2,7.4,12.6
"96",1,190692,2,6.9,11.75
"97",1,190692,2,6.9,10.9
"98",1,190692,2,8,15
"99",1,190692,2,7.6,14.9
"100",1,190692,2,7.6,14.6
"101",1,190692,2,7.1,10.75
"102",1,190692,2,7.6,13.35
"103",1,190692,2,7.3,13.1
"104",1,190692,2,7.1,11.85
