"","length","visc","left","right","filet","portion","time"
"1",275,1,0,0,0,1,0
"2",291,4,0,0,0,1,0
"3",293,2,0,0,0,1,0
"4",295,0,0,0,0,1,0
"5",295,1,0,0,0,1,0
"6",296,2,0,0,0,1,0
"7",300,18,0,3,1,1,0
"8",300,2,0,0,0,1,0
"9",300,1,0,0,0,1,0
"10",300,1,0,0,0,1,0
"11",301,0,0,0,0,1,0
"12",305,0,0,0,0,1,0
"13",305,10,1,1,1,1,0
"14",305,2,0,0,0,1,0
"15",306,2,0,0,0,1,0
"16",307,4,0,0,0,1,0
"17",309,3,0,0,0,1,0
"18",310,4,1,0,1,1,0
"19",310,3,0,0,0,1,0
"20",310,1,0,0,0,1,0
"21",313,1,0,0,0,1,0
"22",314,4,0,1,1,1,0
"23",320,0,0,0,0,1,0
"24",328,3,1,0,1,1,0
"25",341,3,0,0,0,1,0
"26",279,2,0,0,0,2,0
"27",284,1,0,0,0,2,0
"28",290,0,0,0,0,2,0
"29",295,0,0,0,0,2,0
"30",296,1,0,0,0,2,0
"31",301,41,0,0,0,2,0
"32",304,3,0,0,0,2,0
"33",307,2,0,0,0,2,0
"34",309,1,0,0,0,2,0
"35",310,3,0,0,0,2,0
"36",311,1,0,0,0,2,0
"37",312,2,0,0,0,2,0
"38",313,8,0,0,0,2,0
"39",316,3,0,0,0,2,0
"40",316,1,0,0,0,2,0
"41",317,1,0,0,0,2,0
"42",317,1,0,0,0,2,0
"43",318,2,0,0,0,2,0
"44",320,0,1,0,1,2,0
"45",320,1,0,0,0,2,0
"46",325,1,0,0,0,2,0
"47",326,5,1,0,1,2,0
"48",330,3,1,0,1,2,0
"49",345,5,0,0,0,2,0
"50",381,0,0,0,0,2,0
"51",287,2,0,0,0,3,0
"52",287,0,0,0,0,3,0
"53",288,1,0,0,0,3,0
"54",290,1,0,0,0,3,0
"55",290,1,0,0,0,3,0
"56",296,4,0,0,0,3,0
"57",296,7,0,0,0,3,0
"58",298,9,0,0,0,3,0
"59",300,4,1,0,1,3,0
"60",303,0,0,0,0,3,0
"61",305,1,0,0,0,3,0
"62",306,2,0,0,0,3,0
"63",306,17,0,0,0,3,0
"64",310,1,0,0,0,3,0
"65",311,6,0,0,0,3,0
"66",312,14,0,0,0,3,0
"67",315,1,0,0,0,3,0
"68",315,3,0,0,0,3,0
"69",316,8,0,0,0,3,0
"70",316,0,0,0,0,3,0
"71",317,1,0,0,0,3,0
"72",322,3,0,0,0,3,0
"73",324,1,0,1,1,3,0
"74",326,2,0,0,0,3,0
"75",326,0,0,0,0,3,0
"76",277,0,0,0,0,4,9
"77",278,0,0,0,0,4,9
"78",280,18,0,1,1,4,9
"79",282,7,0,0,0,4,9
"80",285,1,0,0,0,4,9
"81",285,4,0,0,0,4,9
"82",288,0,2,1,1,4,9
"83",288,0,0,0,0,4,9
"84",289,1,0,0,0,4,9
"85",291,3,0,0,0,4,9
"86",296,0,0,0,0,4,9
"87",301,4,0,0,0,4,9
"88",301,3,0,0,0,4,9
"89",302,5,0,0,0,4,9
"90",303,11,0,3,1,4,9
"91",304,14,0,0,0,4,9
"92",308,8,0,0,0,4,9
"93",310,6,2,0,1,4,9
"94",310,3,0,0,0,4,9
"95",311,0,0,0,0,4,9
"96",312,0,0,1,1,4,9
"97",322,1,0,0,0,4,9
"98",332,6,0,1,1,4,9
"99",335,5,0,0,0,4,9
"100",340,9,1,0,1,4,9
"101",283,1,0,0,0,5,9
"102",284,17,0,0,0,5,9
"103",285,2,0,0,0,5,9
"104",289,0,0,0,0,5,9
"105",289,2,0,0,0,5,9
"106",295,4,0,0,0,5,9
"107",297,1,0,0,0,5,9
"108",297,3,0,0,0,5,9
"109",299,0,0,0,0,5,9
"110",299,1,0,0,0,5,9
"111",299,0,0,0,0,5,9
"112",300,4,1,0,1,5,9
"113",302,2,0,0,0,5,9
"114",303,2,0,0,0,5,9
"115",304,1,0,0,0,5,9
"116",309,0,1,0,1,5,9
"117",310,3,0,0,0,5,9
"118",311,1,0,0,0,5,9
"119",312,0,0,0,0,5,9
"120",322,0,0,0,0,5,9
"121",323,13,0,1,1,5,9
"122",324,3,0,0,0,5,9
"123",325,6,0,0,0,5,9
"124",327,1,1,0,1,5,9
"125",335,1,0,0,0,5,9
"126",289,3,0,0,0,6,9
"127",290,3,0,0,0,6,9
"128",291,6,0,0,0,6,9
"129",291,2,1,1,1,6,9
"130",292,40,2,3,1,6,9
"131",292,2,0,0,0,6,9
"132",295,2,0,0,0,6,9
"133",297,1,0,0,0,6,9
"134",301,5,0,0,0,6,9
"135",301,2,0,0,0,6,9
"136",304,0,0,0,0,6,9
"137",306,4,1,1,1,6,9
"138",310,0,0,0,0,6,9
"139",310,1,1,0,1,6,9
"140",313,2,0,0,0,6,9
"141",315,2,0,0,0,6,9
"142",316,1,0,0,0,6,9
"143",319,10,0,1,1,6,9
"144",320,0,0,0,0,6,9
"145",327,5,0,0,0,6,9
"146",327,26,0,0,0,6,9
"147",340,4,0,0,0,6,9
"148",344,3,1,0,1,6,9
"149",348,8,0,0,0,6,9
"150",359,1,0,1,1,6,9
