"","group","fattyacid","conduct"
"1",1,81.3,1.4
"2",2,82.2,1.75
"3",3,82.3,1.52
"4",4,83,2.1
"5",1,81.3,1.2
"6",2,82.2,1.5
"7",3,82.3,1.52
"8",4,83,1.95
"9",1,81.3,0.9
"10",2,82.2,1.7
"11",3,82.3,1.67
"12",4,83,1.85
"13",1,81.3,1
"14",2,82.2,1.8
"15",3,82.3,1.67
"16",4,83,1.9
"17",1,81.3,1.08
"18",2,82.2,1.34
"19",3,82.3,1.35
"20",4,83,2.45
"21",1,81.3,1.03
"22",2,82.2,1.44
"23",3,82.3,1.5
"24",4,83,2.35
"25",1,81.3,0.98
"26",2,82.2,1.49
"27",3,82.3,1.3
"28",4,83,2.2
"29",1,81.3,0.88
"30",2,82.2,1.24
"31",3,82.3,1.45
"32",4,83,2
