"","year","airtemp"
"1",1960,6.2
"2",1961,6.6
"3",1962,5.8
"4",1963,5.9
"5",1964,5.9
"6",1965,5.9
"7",1966,6.1
"8",1967,4.9
"9",1968,6
"10",1969,5.5
"11",1970,4.7
"12",1971,NA
"13",1972,NA
"14",1973,5.1
"15",1974,6
"16",1975,5.8
"17",1976,5.7
"18",1977,6.3
"19",1978,6.5
"20",1979,5.2
"21",1980,5.4
"22",1981,5.3
"23",1982,5.1
"24",1983,4
"25",1984,5.1
"26",1985,5.6
"27",1986,5
"28",1987,4.8
"29",1988,5.6
"30",1989,4.9
"31",1990,6.1
"32",1991,6.1
"33",1992,4.6
"34",1993,4.9
"35",1994,6.2
"36",1995,5.8
"37",1996,5.6
"38",1997,5.7
"39",1998,5.6
"40",1999,5.9
"41",2000,5.8
"42",2001,6.1
"43",2002,6.3
"44",2003,7.6
"45",2004,6.4
"46",2005,6.9
"47",2006,6.1
"48",2007,7
"49",2008,6.6
"50",2009,6.3
"51",2010,7.8
