"","flour","cycle","line","transcript"
"1",3.0486581143482,1,"wt","1"
"2",3.08894193215548,2,"wt","1"
"3",3.12922574996276,3,"wt","1"
"4",3.16836709741265,4,"wt","1"
"5",3.1899113830906,5,"wt","1"
"6",3.21507489738206,6,"wt","1"
"7",3.24449742165467,7,"wt","1"
"8",3.30126915758639,8,"wt","1"
"9",3.32612617031248,9,"wt","1"
"10",3.33273841313439,10,"wt","1"
"11",3.33925528706943,11,"wt","1"
"12",3.35858338147192,12,"wt","1"
"13",3.37587693962151,13,"wt","1"
"14",3.3866218342071,14,"wt","1"
"15",3.42785752433269,15,"wt","1"
"16",3.46800328432281,16,"wt","1"
"17",3.50521531569827,17,"wt","1"
"18",3.51907419657477,18,"wt","1"
"19",3.56688822058472,19,"wt","1"
"20",3.62837239056053,20,"wt","1"
"21",3.72612235555701,21,"wt","1"
"22",3.86124947168664,22,"wt","1"
"23",4.12067706460016,23,"wt","1"
"24",4.59015841529002,24,"wt","1"
"25",5.47777180645114,25,"wt","1"
"26",7.20306693298224,26,"wt","1"
"27",10.7839420313671,27,"wt","1"
"28",18.3370600559889,28,"wt","1"
"29",34.1043247589368,29,"wt","1"
"30",62.1128463357806,30,"wt","1"
"31",85.6547196350355,31,"wt","1"
"32",100,32,"wt","1"
"33",100,33,"wt","1"
"34",100,34,"wt","1"
"35",100,35,"wt","1"
"36",100,36,"wt","1"
"37",100,37,"wt","1"
"38",100,38,"wt","1"
"39",100,39,"wt","1"
"40",100,40,"wt","1"
"41",100,41,"wt","1"
"42",100,42,"wt","1"
"43",100,43,"wt","1"
"44",100,44,"wt","1"
"45",100,45,"wt","1"
"46",3.8676303139567,1,"wt","2"
"47",3.89214647580406,2,"wt","2"
"48",3.91666263765142,3,"wt","2"
"49",3.9266686237187,4,"wt","2"
"50",3.96783537809213,5,"wt","2"
"51",3.99549296079664,6,"wt","2"
"52",4.04623241428002,7,"wt","2"
"53",4.0736816992253,8,"wt","2"
"54",4.12458143655214,9,"wt","2"
"55",4.12517950078032,10,"wt","2"
"56",4.134426044188,11,"wt","2"
"57",4.16015957415591,12,"wt","2"
"58",4.20374001141912,13,"wt","2"
"59",4.24656064161672,14,"wt","2"
"60",4.33047835751375,15,"wt","2"
"61",4.40186878138758,16,"wt","2"
"62",4.51036042707309,17,"wt","2"
"63",4.60049337504133,18,"wt","2"
"64",4.80593067317718,19,"wt","2"
"65",5.01041081448498,20,"wt","2"
"66",5.36916737374508,21,"wt","2"
"67",5.955055684971,22,"wt","2"
"68",7.09781770665268,23,"wt","2"
"69",9.26152279093454,24,"wt","2"
"70",13.4685245580187,25,"wt","2"
"71",22.5091393436552,26,"wt","2"
"72",41.0732569990982,27,"wt","2"
"73",67.9212712721525,28,"wt","2"
"74",89.3292486105487,29,"wt","2"
"75",100,30,"wt","2"
"76",100,31,"wt","2"
"77",100,32,"wt","2"
"78",100,33,"wt","2"
"79",100,34,"wt","2"
"80",100,35,"wt","2"
"81",100,36,"wt","2"
"82",100,37,"wt","2"
"83",100,38,"wt","2"
"84",100,39,"wt","2"
"85",100,40,"wt","2"
"86",100,41,"wt","2"
"87",100,42,"wt","2"
"88",100,43,"wt","2"
"89",100,44,"wt","2"
"90",100,45,"wt","2"
"91",2.83310170537023,1,"wt","3"
"92",2.88608940689778,2,"wt","3"
"93",2.93907710842533,3,"wt","3"
"94",2.95327772267576,4,"wt","3"
"95",2.97521680526945,5,"wt","3"
"96",2.99785102108288,6,"wt","3"
"97",3.04174795728927,7,"wt","3"
"98",3.07020603312661,8,"wt","3"
"99",3.10467446814437,9,"wt","3"
"100",3.1169498062952,10,"wt","3"
"101",3.12110970631227,11,"wt","3"
"102",3.14210194703442,12,"wt","3"
"103",3.16178950877966,13,"wt","3"
"104",3.19790252726851,14,"wt","3"
"105",3.23421117424322,15,"wt","3"
"106",3.25810719379042,16,"wt","3"
"107",3.31303967261852,17,"wt","3"
"108",3.33374205713414,18,"wt","3"
"109",3.44568393721518,19,"wt","3"
"110",3.57033561370939,20,"wt","3"
"111",3.83233725829286,21,"wt","3"
"112",4.32505368371699,22,"wt","3"
"113",5.26256798905002,23,"wt","3"
"114",7.08361357113932,24,"wt","3"
"115",10.6504581945186,25,"wt","3"
"116",18.3529411764706,26,"wt","3"
"117",34.3351135525546,27,"wt","3"
"118",62.4101201224112,28,"wt","3"
"119",85.851199104804,29,"wt","3"
"120",100,30,"wt","3"
"121",100,31,"wt","3"
"122",100,32,"wt","3"
"123",100,33,"wt","3"
"124",100,34,"wt","3"
"125",100,35,"wt","3"
"126",100,36,"wt","3"
"127",100,37,"wt","3"
"128",100,38,"wt","3"
"129",100,39,"wt","3"
"130",100,40,"wt","3"
"131",100,41,"wt","3"
"132",100,42,"wt","3"
"133",100,43,"wt","3"
"134",100,44,"wt","3"
"135",100,45,"wt","3"
"136",3.65909649635903,1,"wt","4"
"137",3.66218463174288,2,"wt","4"
"138",3.66527276712674,3,"wt","4"
"139",3.6631599794795,4,"wt","4"
"140",3.67207803005468,5,"wt","4"
"141",3.70034355156809,6,"wt","4"
"142",3.71835963092544,7,"wt","4"
"143",3.73107548250602,8,"wt","4"
"144",3.74942263978657,9,"wt","4"
"145",3.75984116084826,10,"wt","4"
"146",3.74521793153059,11,"wt","4"
"147",3.74460309914647,12,"wt","4"
"148",3.7472056101033,13,"wt","4"
"149",3.75761444289712,14,"wt","4"
"150",3.8039627437659,15,"wt","4"
"151",3.82335865604348,16,"wt","4"
"152",3.86012563261361,17,"wt","4"
"153",3.86002390580097,18,"wt","4"
"154",3.9226706679213,19,"wt","4"
"155",3.97066392488686,20,"wt","4"
"156",4.06498375398581,21,"wt","4"
"157",4.20702587130832,22,"wt","4"
"158",4.51427112133223,23,"wt","4"
"159",5.06035548676885,24,"wt","4"
"160",6.09602163390215,25,"wt","4"
"161",8.1481820570857,26,"wt","4"
"162",12.4267778879818,27,"wt","4"
"163",21.5441016008652,28,"wt","4"
"164",39.9995276969413,29,"wt","4"
"165",67.117352777687,30,"wt","4"
"166",88.8193876772499,31,"wt","4"
"167",100,32,"wt","4"
"168",100,33,"wt","4"
"169",100,34,"wt","4"
"170",100,35,"wt","4"
"171",100,36,"wt","4"
"172",100,37,"wt","4"
"173",100,38,"wt","4"
"174",100,39,"wt","4"
"175",100,40,"wt","4"
"176",100,41,"wt","4"
"177",100,42,"wt","4"
"178",100,43,"wt","4"
"179",100,44,"wt","4"
"180",100,45,"wt","4"
"181",2.90362092490726,1,"wt","5"
"182",2.96191402165309,2,"wt","5"
"183",3.02020711839893,3,"wt","5"
"184",3.04383903949022,4,"wt","5"
"185",3.08352553832069,5,"wt","5"
"186",3.09238424825516,6,"wt","5"
"187",3.12283969093308,7,"wt","5"
"188",3.14203364008812,8,"wt","5"
"189",3.1799399196973,9,"wt","5"
"190",3.2047612619826,10,"wt","5"
"191",3.22632976833023,11,"wt","5"
