"","semi","anti","ee","ism","ian","ful","y","ness","able","ly","unV","unA","ize","less","erA","erC","ity","super","est","ment","ify","re","ation","in.","ex","en","be","AuthorCodes","Registers","Birth"
"Lukeacts",0,0,0,0,0,0.6887,0.6887,1.2397,0.2755,3.4435,0.1377,0.6887,0,0.551,1.1019,0.8264,0.2755,0,2.4793,0,0.1377,0.2755,1.5152,0.1377,0.1377,0,0.2755,"BLu","B",NA
"Mormon",0,0,0,0,0,0.1887,0.566,2.0755,0,2.2642,0.3774,0.1887,0,0.3774,0.7547,0.3774,0.1887,0,0.566,0.566,0.1887,0,1.6981,0.3774,0.3774,0.566,0.1887,"BMo","B",1805
"Aesop",0,0,0,0,0,1.1447,1.4718,0.9812,0.3271,6.3778,0.6541,1.2265,0.2453,0.6541,1.6353,0.9812,0.7359,0.0818,0.6541,0.8994,0.2453,1.3083,1.8806,0.7359,0.4906,0.5724,0.3271,"CAs","C",NA
"Baum2",0,0,0,0.0968,0,1.2585,1.3553,0.7744,0.484,8.0348,0.1936,1.5489,0,0.5808,1.6457,0.9681,0.1936,0,0.6776,0.6776,0.2904,0.7744,1.7425,0.2904,0.3872,0.0968,0.1936,"CBo","C",1856
"Barrie",0,0,0,0,0.0833,0.9159,1.3322,0.8326,0.3331,10.5745,0.3331,0.8326,0,0.3331,1.1657,1.7485,0.2498,0,1.249,0.4163,0,0.2498,1.4988,0.4996,0.4996,0.1665,0.0833,"CBp","C",1860
"Baum",0,0,0.1587,0,0.1587,0.3175,2.381,0.4762,0,8.0952,0.1587,0.9524,0,0.9524,0.6349,1.2698,0.1587,0,1.4286,0.3175,0,0.6349,0.7937,0.3175,0.1587,0.1587,0.1587,"CBw","C",1856
"Carroll",0,0,0,0,0,0.2717,1.087,0.2717,0.4076,6.3859,0.5435,0.6793,0,0.2717,0.9511,1.2228,0.1359,0,0.9511,0.2717,0.1359,0,1.3587,0.4076,0.4076,0.2717,0.1359,"CCa","C",1832
"Carroll2",0,0,0,0,0,0.8523,2.1307,0.4261,0.4261,7.3864,0.142,0.5682,0.142,0.2841,1.1364,3.125,0.142,0,1.2784,0.5682,0,0.142,0.8523,0,0.4261,0.2841,0,"CCt","C",1832
"Grimm",0,0,0,0,0,0.7599,0.9119,1.0638,0.304,5.1672,0.304,0.7599,0,0.6079,0.9119,1.2158,0.304,0,0.9119,0.4559,0,0,0.6079,0,0.152,0.304,0.152,"CGr","C",NA
"Kipling",0,0,0,0,0,0.4728,1.4184,0.7092,0,6.6194,0,0.8274,0.1182,0.8274,2.0095,1.182,0.1182,0,1.6548,0.3546,0,0,0.8274,0.3546,0.1182,0.3546,0.2364,"CKj","C",1865
