"","Chunk","Frequency"
"1",1,13
"2",2,19
"3",3,19
"4",4,14
"5",5,20
"6",6,18
"7",7,16
"8",8,16
"9",9,17
"10",10,32
"11",11,25
"12",12,10
"13",13,9
"14",14,12
"15",15,15
"16",16,22
"17",17,26
"18",18,16
"19",19,23
"20",20,10
"21",21,12
"22",22,11
"23",23,16
"24",24,13
"25",25,8
"26",26,4
"27",27,16
"28",28,13
"29",29,13
"30",30,11
"31",31,11
"32",32,18
"33",33,12
"34",34,16
"35",35,10
"36",36,18
"37",37,10
"38",38,11
"39",39,9
"40",40,18
"41",41,15
"42",42,36
"43",43,22
"44",44,10
"45",45,7
"46",46,20
"47",47,5
"48",48,13
"49",49,12
"50",50,14
"51",51,9
"52",52,6
"53",53,8
"54",54,7
"55",55,9
"56",56,11
"57",57,14
"58",58,16
"59",59,10
"60",60,9
"61",61,12
"62",62,11
"63",63,6
"64",64,20
"65",65,11
"66",66,12
"67",67,12
"68",68,1
"69",69,9
"70",70,11
"71",71,11
"72",72,7
"73",73,13
"74",74,13
"75",75,10
"76",76,9
"77",77,13
"78",78,7
"79",79,8
"80",80,16
"81",81,11
"82",82,15
"83",83,8
"84",84,16
"85",85,26
"86",86,23
"87",87,13
"88",88,11
"89",89,15
"90",90,12
"91",91,7
"92",92,9
"93",93,18
"94",94,8
"95",95,21
"96",96,5
"97",97,16
"98",98,11
"99",99,13
