"","Group","Subject","Word","RT","SOA","List"
"1","G1","S1","W1",532,"short","L1"
"2","G1","S2","W1",542,"short","L1"
"3","G1","S3","W1",615,"short","L1"
"4","G1","S4","W1",547,"short","L1"
"5","G2","S5","W9",553,"short","L3"
"6","G2","S6","W9",464,"short","L3"
"7","G2","S7","W9",481,"short","L3"
"8","G2","S8","W9",541,"short","L3"
"9","G3","S9","W5",482,"short","L2"
"10","G3","S10","W5",559,"short","L2"
"11","G3","S11","W5",462,"short","L2"
"12","G3","S12","W5",460,"short","L2"
"13","G1","S1","W2",508,"short","L1"
"14","G1","S2","W2",516,"short","L1"
"15","G1","S3","W2",584,"short","L1"
"16","G1","S4","W2",553,"short","L1"
"17","G2","S5","W10",598,"short","L3"
"18","G2","S6","W10",502,"short","L3"
"19","G2","S7","W10",511,"short","L3"
"20","G2","S8","W10",588,"short","L3"
"21","G3","S9","W6",530,"short","L2"
"22","G3","S10","W6",570,"short","L2"
"23","G3","S11","W6",497,"short","L2"
"24","G3","S12","W6",463,"short","L2"
"25","G1","S1","W3",522,"short","L1"
"26","G1","S2","W3",545,"short","L1"
"27","G1","S3","W3",595,"short","L1"
"28","G1","S4","W3",584,"short","L1"
"29","G2","S5","W11",581,"short","L3"
"30","G2","S6","W11",485,"short","L3"
"31","G2","S7","W11",492,"short","L3"
"32","G2","S8","W11",551,"short","L3"
"33","G3","S9","W7",571,"short","L2"
"34","G3","S10","W7",632,"short","L2"
"35","G3","S11","W7",546,"short","L2"
"36","G3","S12","W7",511,"short","L2"
"37","G1","S1","W4",482,"short","L1"
"38","G1","S2","W4",483,"short","L1"
"39","G1","S3","W4",560,"short","L1"
"40","G1","S4","W4",535,"short","L1"
"41","G2","S5","W12",551,"short","L3"
"42","G2","S6","W12",451,"short","L3"
"43","G2","S7","W12",472,"short","L3"
"44","G2","S8","W12",533,"short","L3"
"45","G3","S9","W8",563,"short","L2"
"46","G3","S10","W8",639,"short","L2"
"47","G3","S11","W8",538,"short","L2"
"48","G3","S12","W8",528,"short","L2"
"49","G1","S1","W5",468,"medium","L2"
"50","G1","S2","W5",509,"medium","L2"
"51","G1","S3","W5",542,"medium","L2"
"52","G1","S4","W5",514,"medium","L2"
"53","G2","S5","W1",619,"medium","L1"
"54","G2","S6","W1",484,"medium","L1"
"55","G2","S7","W1",531,"medium","L1"
"56","G2","S8","W1",582,"medium","L1"
"57","G3","S9","W9",501,"medium","L3"
"58","G3","S10","W9",551,"medium","L3"
"59","G3","S11","W9",487,"medium","L3"
"60","G3","S12","W9",457,"medium","L3"
"61","G1","S1","W6",496,"medium","L2"
"62","G1","S2","W6",519,"medium","L2"
"63","G1","S3","W6",591,"medium","L2"
"64","G1","S4","W6",555,"medium","L2"
"65","G2","S5","W2",576,"medium","L1"
"66","G2","S6","W2",479,"medium","L1"
"67","G2","S7","W2",506,"medium","L1"
"68","G2","S8","W2",556,"medium","L1"
"69","G3","S9","W10",561,"medium","L3"
"70","G3","S10","W10",592,"medium","L3"
"71","G3","S11","W10",546,"medium","L3"
"72","G3","S12","W10",506,"medium","L3"
"73","G1","S1","W7",544,"medium","L2"
"74","G1","S2","W7",588,"medium","L2"
"75","G1","S3","W7",630,"medium","L2"
"76","G1","S4","W7",591,"medium","L2"
"77","G2","S5","W3",606,"medium","L1"
"78","G2","S6","W3",499,"medium","L1"
"79","G2","S7","W3",542,"medium","L1"
"80","G2","S8","W3",589,"medium","L1"
"81","G3","S9","W11",500,"medium","L3"
"82","G3","S10","W11",572,"medium","L3"
"83","G3","S11","W11",491,"medium","L3"
"84","G3","S12","W11",487,"medium","L3"
"85","G1","S1","W8",547,"medium","L2"
"86","G1","S2","W8",583,"medium","L2"
"87","G1","S3","W8",617,"medium","L2"
"88","G1","S4","W8",606,"medium","L2"
"89","G2","S5","W4",561,"medium","L1"
"90","G2","S6","W4",471,"medium","L1"
"91","G2","S7","W4",475,"medium","L1"
"92","G2","S8","W4",515,"medium","L1"
"93","G3","S9","W12",506,"medium","L3"
"94","G3","S10","W12",561,"medium","L3"
"95","G3","S11","W12",470,"medium","L3"
"96","G3","S12","W12",453,"medium","L3"
"97","G1","S1","W9",475,"long","L3"
"98","G1","S2","W9",499,"long","L3"
"99","G1","S3","W9",543,"long","L3"
"100","G1","S4","W9",538,"long","L3"
"101","G2","S5","W5",548,"long","L2"
"102","G2","S6","W5",447,"long","L2"
"103","G2","S7","W5",471,"long","L2"
"104","G2","S8","W5",538,"long","L2"
"105","G3","S9","W1",543,"long","L1"
"106","G3","S10","W1",617,"long","L1"
"107","G3","S11","W1",529,"long","L1"
"108","G3","S12","W1",498,"long","L1"
"109","G1","S1","W10",522,"long","L3"
"110","G1","S2","W10",535,"long","L3"
"111","G1","S3","W10",606,"long","L3"
"112","G1","S4","W10",565,"long","L3"
"113","G2","S5","W6",590,"long","L2"
"114","G2","S6","W6",486,"long","L2"
"115","G2","S7","W6",510,"long","L2"
"116","G2","S8","W6",545,"long","L2"
"117","G3","S9","W2",539,"long","L1"
"118","G3","S10","W2",587,"long","L1"
"119","G3","S11","W2",508,"long","L1"
"120","G3","S12","W2",479,"long","L1"
"121","G1","S1","W11",502,"long","L3"
"122","G1","S2","W11",535,"long","L3"
"123","G1","S3","W11",560,"long","L3"
"124","G1","S4","W11",546,"long","L3"
"125","G2","S5","W7",614,"long","L2"
"126","G2","S6","W7",514,"long","L2"
"127","G2","S7","W7",539,"long","L2"
"128","G2","S8","W7",601,"long","L2"
"129","G3","S9","W3",558,"long","L1"
"130","G3","S10","W3",616,"long","L1"
"131","G3","S11","W3",525,"long","L1"
"132","G3","S12","W3",512,"long","L1"
"133","G1","S1","W12",484,"long","L3"
"134","G1","S2","W12",486,"long","L3"
"135","G1","S3","W12",545,"long","L3"
"136","G1","S4","W12",527,"long","L3"
"137","G2","S5","W8",631,"long","L2"
"138","G2","S6","W8",523,"long","L2"
"139","G2","S7","W8",556,"long","L2"
"140","G2","S8","W8",576,"long","L2"
"141","G3","S9","W4",497,"long","L1"
"142","G3","S10","W4",549,"long","L1"
"143","G3","S11","W4",473,"long","L1"
"144","G3","S12","W4",443,"long","L1"
