"","m","Vm"
"1",1,943
"2",2,354
"3",3,188
"4",4,114
"5",5,91
"6",6,65
"7",7,45
"8",8,53
"9",9,53
"10",10,23
"11",11,26
"12",12,29
"13",13,24
"14",14,15
"15",15,13
"16",16,15
"17",17,9
"18",18,10
"19",19,14
"20",20,10
"21",21,7
"22",22,12
"23",23,7
"24",24,11
"25",25,11
"26",26,4
"27",27,11
"28",28,6
"29",29,9
"30",30,7
"31",31,7
"32",32,7
"33",33,5
"34",34,6
"35",35,2
"36",36,10
"37",37,1
"38",38,5
"39",39,4
"40",40,6
"41",41,4
"42",42,2
"43",43,6
"44",44,4
"45",45,6
"46",46,7
"47",47,2
"48",48,1
"49",49,2
"50",50,3
"51",51,2
"52",52,2
"53",53,5
"54",54,3
"55",56,1
"56",57,1
"57",58,3
"58",59,5
"59",60,1
"60",61,2
"61",62,3
"62",63,2
"63",65,3
"64",67,2
"65",68,2
"66",69,2
"67",71,4
"68",72,2
"69",73,1
"70",74,1
"71",77,3
"72",79,2
"73",81,2
"74",82,2
"75",83,1
"76",84,2
"77",85,2
"78",86,2
"79",88,1
"80",89,1
"81",90,2
"82",91,1
"83",94,1
"84",96,2
"85",97,1
"86",99,1
"87",100,2
"88",101,1
"89",102,1
"90",103,1
"91",104,1
"92",105,2
"93",106,2
"94",107,1
"95",109,1
"96",110,1
"97",111,1
"98",116,2
"99",117,1
"100",119,1
"101",120,1
"102",121,1
"103",124,1
"104",125,1
"105",128,1
"106",129,3
"107",131,1
"108",133,1
"109",134,2
"110",141,2
"111",144,1
"112",146,1
"113",147,1
"114",148,2
"115",151,3
"116",152,1
"117",155,2
"118",156,1
"119",159,2
"120",160,1
"121",162,2
"122",165,1
"123",168,1
"124",171,1
"125",176,1
"126",177,1
"127",179,1
"128",180,3
"129",183,1
"130",193,1
"131",194,1
"132",196,1
"133",200,1
"134",202,1
"135",206,1
"136",207,1
"137",217,1
"138",219,2
"139",229,1
"140",231,1
"141",236,1
"142",239,1
"143",240,1
"144",241,1
"145",250,1
"146",261,1
"147",263,1
"148",276,2
"149",277,1
"150",288,2
"151",293,1
"152",296,1
"153",305,1
"154",312,2
"155",313,1
"156",314,1
"157",326,2
"158",375,1
"159",385,1
"160",388,1
"161",392,1
"162",394,1
"163",396,1
"164",407,1
"165",468,1
"166",512,1
"167",553,1
"168",568,1
"169",571,1
"170",599,1
"171",644,1
"172",679,1
"173",707,1
"174",719,1
"175",768,1
"176",783,1
"177",797,1
"178",1105,1
"179",1132,1
"180",1157,1
"181",1516,1
"182",1663,1
"183",2036,1
"184",2560,1
"185",2639,1
"186",3366,1
"187",3480,1
"188",3594,1
"189",36883,1
