"","Language","Family","Frics","PrenasalizedStops","PhonDistBetweenLAndR","PhonVelarFricOrGlide","PhonVoicingContrAmongStops","PhonConsLength","PhonVowelLength","ContrPhonTypesForVowels","PhonStress","WordFinalConss","ConsClusters","DefOrSpecArt","IndefOrNonSpecArt","ArticleNounOrder","NounInitNps","InclExclDist","PronNum","PronRelationship","PronConflation","MoreThan2DegreesDistDem","NonSpkrAnchoredDem","VerticalityDem","ClassifiedDem","NumDeterminedDecl","GenderDeterminedDecl","SuppletiveNouns","SingMarkedNoun","DualMarkedNoun","PlMarkedNoun","OtherNumMarkedNoun","LimitedDistNumMarking","NounClassesGenders","ConcordBeyondNp","NumeralClassifiers","PossClassifiers","PossClasses","Inalienability","MultiplePossConstr","PrefixMarkedPoss","SuffixMarkedPoss","MarkedPossr","MarkedPossessee","PossrPossdOrder","DecimalNumerals","QuinaryNumerals","CollectiveNouns","AdjVerbLexOverlap","AdjAttributionPred","CoreCaseMarking","ObliqueCaseMarking","Prepositions","Postpositions","TamPerson","VerbPrefixesProclitics","VerbSuffixesEnclitics","PunctualContinuous","RealisIrrealis","SSuffix","SPrefix","ASuffix","APrefix","OSuffix","OPrefix","VerbVarTam","VerbVarVClass","VerbVarClauseType","VerbVarPerson","NumStemAlt","PersonStemAlt","SepVerbNumPerson","Portmanteau3Plus","DistributedCategory","NonCore","RecipientObj","X3PlacePreds","VerbNeg","VerbDirection","VerbSuppletion","ConjugationClasses","TransIntransAlt","TransitivizingMorph","IntranstivizingMorph","ReflexiveMorph","ReciprocalMorph","VerbClassifiers","Copula","NonVbPreds","SerialVerbConstr","Auxiliaries","VerbCompounds","VerbAdjunctConstr","VbIncorporation","ExistentialVerb","IrregularGive","ClosedClassOfVb","SvIntransClauses","VsIntransClauses","VInitTransClauses","VMedialTransClauses","VFinalTransClauses","FixedConstituentOrder","ClauseFinalNeg","ClauseInitNeg","ImpVs.DeclNeg","VbAndNonVbPredIdentity","SOMorphInBasicConstr","SAMorphInBasicConstr","SOMorphInComplexConstr","SAMorphInComplexConstr","SynConflationOfSO","ControlledUncontrolled","ClauseChaining","SimultaneousSequential","SayInDesidConstr","RelativeClauses","PurpSubClauses","TemporalSubClauses","ComplementClauses","CausBySerialVerbConstr","CausByBoundAffClit","CausByConstrInvolvingSay","MorphTopicOrFocus","TailHeadLinkage","VerbRedup","NounRedup"
"1","Motuna","Papuan",1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,NA,0,1,1,1,0,NA,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,NA,0,0,0,0,0,1,1,1,0,NA,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,NA,1,1,0,1,1,1,1,1,0,NA,1,1,1,1,0,1,0,1,1,1,1
"2","Kol","Papuan",1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,NA,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,NA,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,NA,NA,1,1,0,0,0,1,0,0
"3","Rotokas","Papuan",1,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,0,1,1,0,1,1,NA,0,0,1,1,0,1,1,1,0,NA,1,1,0,0,NA,NA,1,0,1,0,1,1,0,1,NA,1,1,0,1,0,1,1,1,1,1,NA,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,0,0,0,1,0,1,1,1,1,0,0,0,0,NA,NA,NA,0,0,NA,0,1,0,0,0,1,1,1,1,1,1,0,1,NA,NA,NA,NA,1,1,0,1,1,1,0,0,1,NA,0,0,1,1
"4","Ata","Papuan",1,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,NA,1,0,1,1,1,0,0,1,0,1,0,0,1,NA,NA,1,0,1,1,0,1,1,1,NA,0,1,1,0,1,1,0,0,1,0,0,NA,NA,0,1,0,1,1,1,0,0,NA,1,1,0,0,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,NA,1,1,NA,1,NA,NA,NA,1,1,1,1
"5","Kuot","Papuan",1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,NA,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0
"6","Touo","Papuan",1,1,0,1,1,0,0,1,NA,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,NA,NA,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,NA,0,0,0,1,1,0,0,1,1,0
"7","Nasioi","Papuan",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,NA,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,NA,1,1,1,NA,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,NA,1,1,1,0,1,1,NA,0,1,NA,0,NA,1,0,1,0,0,0,1,1,1,0,0,NA,0,1,NA,NA,1,1,0,1,0,NA,NA,NA,NA,1,0,0,0,0,1,1
"8","Yeli_Dnye","Papuan",1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1
"9","Buin","Papuan",0,0,0,1,NA,0,0,0,NA,1,1,NA,NA,NA,NA,0,1,1,0,NA,0,0,0,0,0,1,NA,NA,NA,NA,0,1,0,1,NA,1,1,1,1,1,1,1,NA,0,1,NA,NA,NA,1,1,NA,NA,1,0,1,0,0,1,0,1,0,1,0,0,1,NA,0,0,0,1,1,0,0,NA,NA,0,0,1,1,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1
"10","Anem","Papuan",1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,NA,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0
