"","Subject","Word","Trial","RT","Condition","Rating","Frequency","BaseFrequency","LengthInLetters","FamilySize","NumberOfSynsets","ResponseToPrime","RTtoPrime"
"1","pp1","basaalheid",81,6.69332366826995,"heid",2.14,0,3.55534806148941,10,0,0,"correct",6.88448665204278
"2","pp1","markantheid",83,6.80903930604298,"baseheid",2.73,0,5.16478597392351,11,0,0,"correct",6.55819780281227
"3","pp1","ontroerdheid",89,6.50876913697168,"baseheid",3.32,0,5.54907608489522,12,0,1,"correct",6.65157187358973
"4","pp1","contentheid",95,6.57646956904822,"heid",2.5,0,4.49980967033027,11,0,1,"correct",6.96034772910131
"5","pp1","riantheid",96,6.85751406254539,"heid",2.36,0,4.53259949315326,9,0,0,"correct",6.8265452235566
"6","pp1","tembaarheid",111,6.3491389913798,"baseheid",3.73,0,0,11,1.02667222131998,0,"incorrect",6.82437367004309
"7","pp1","onattentheid",115,6.69332366826995,"baseheid",2.73,0,1.6094379124341,12,0,0,"correct",6.84054652928869
"8","pp1","bebrildheid",130,7.16780918431644,"heid",1.41,0,3.61091791264422,11,1.35850426878838,3,"incorrect",7.44249272279444
"9","pp1","geurloosheid",143,6.57646956904822,"baseheid",2.95,0,2.56494935746154,12,1.31050613197084,1,"correct",6.26149168432104
"10","pp1","ovaalheid",157,6.98100574072173,"heid",2.23,0,5.86078622346587,9,0.526588927497426,1,"correct",6.55393340402581
"11","pp1","erkendheid",172,6.3818160174061,"heid",4.73,0,6.5191472879404,10,0,0,"correct",6.383506634884
"12","pp1","coulantheid",174,6.67329796776765,"heid",2.5,0,1.79175946922805,11,0,1,"correct",7.20489251020467
"13","pp1","labielheid",196,6.70808408385307,"baseheid",3.23,0,4.38202663467388,10,0.526588927497426,0,"correct",6.83195356556585
"14","pp1","visrijkheid",200,6.53813982376767,"baseheid",2.18,0,3.04452243772342,11,1.72894923152569,4,"correct",6.62007320653036
"15","pp1","ondiepheid",206,6.32076829425058,"heid",2.77,0,5.66296048013595,10,1.57000245622518,1,"incorrect",6.96696713861398
"16","pp1","onwelheid",207,6.99759598298193,"baseheid",2,0,3.97029191355212,9,1.7855468776495,1,"correct",6.57228254269401
"17","pp1","blusbaarheid",209,6.73578001424233,"heid",2.91,0,0,12,1.19470700912477,0,"correct",7.06390396147207
"18","pp1","tilbaarheid",215,6.54678541076052,"baseheid",3.18,0,0,11,1.24844221891489,1,"correct",6.73340189183736
"19","pp1","gammelheid",221,6.54534966033442,"heid",2.55,0,4.91265488573605,10,0,0,"correct",6.82437367004309
"20","pp1","koketheid",228,6.85329909318608,"baseheid",2,0,4.78749174278205,9,0.741275220811803,0,"correct",7.32778053842163
"21","pp1","ludiekheid",232,6.8001700683022,"heid",2.05,0,4.14313472639153,10,0,0,"correct",7.03966034986208
"22","pp1","banaalheid",252,6.95272864462487,"baseheid",2.64,0,5.73979291217923,10,0.526588927497426,0,"correct",6.40522845803084
"23","pp1","bezweetheid",257,6.44730586254121,"baseheid",3.36,0,4.75359019110636,11,1.37230699238395,1,"correct",6.66185474054531
"24","pp1","beschutheid",264,6.57088296233958,"baseheid",2.95,0,4.78749174278205,11,0.526588927497426,0,"correct",6.41999492814714
"25","pp1","antiekheid",271,6.98007594056176,"heid",2.23,0,6.74523634948436,10,0.869739858620314,2,"correct",6.65544035036765
"26","pp1","pitloosheid",309,6.69084227741856,"heid",1.86,0,0,11,1.31050613197084,4,"correct",7.14519613499717
"27","pp1","kalkrijkheid",316,7.07496319796604,"heid",2.09,0,3.13549421592915,12,1.48187723101362,3,"correct",6.80572255341699
"28","pp1","onbelastheid",317,6.57646956904822,"heid",2.55,0,3.17805383034795,12,1.72894923152569,6,"incorrect",7.46737106691756
"29","pp1","beuheid",337,7.11476944836646,"heid",1.73,0,5.06890420222023,7,0,0,"correct",6.84587987526405
"30","pp1","dementheid",343,6.48463523563525,"heid",3.23,0,3.8286413964891,10,0.741275220811803,0,"correct",6.63987583382654
"31","pp1","royaalheid",344,6.69084227741856,"baseheid",3.36,0,6.0913098820777,10,0.526588927497426,0,"correct",6.57228254269401
"32","pp10","enormheid",79,6.17378610390194,"heid",3,0,8.42463920980563,9,0.526588927497426,0,"correct",6.24804287450843
"33","pp10","markantheid",83,6.14418563412565,"heid",2.73,0,5.16478597392351,11,0,0,"correct",6.63068338564237
"34","pp10","ontroerdheid",89,6.08449941307517,"heid",3.32,0,5.54907608489522,12,0,1,"correct",6.16541785423142
"35","pp10","contentheid",95,6.60934924316738,"baseheid",2.5,0,4.49980967033027,11,0,1,"correct",6.61873898351722
"36","pp10","riantheid",96,6.19644412779452,"baseheid",2.36,0,4.53259949315326,9,0,0,"correct",6.52649485957079
"37","pp10","tembaarheid",111,6.44094654063292,"heid",3.73,0,0,11,1.02667222131998,0,"incorrect",6.64118216974059
"38","pp10","onattentheid",115,6.69084227741856,"heid",2.73,0,1.6094379124341,12,0,0,"correct",6.80682936039218
"39","pp10","bebrildheid",130,6.46146817635372,"baseheid",1.41,0,3.61091791264422,11,1.35850426878838,3,"incorrect",6.30809844150953
"40","pp10","aftandsheid",139,6.97914527506881,"heid",2.05,0,4.20469261939097,11,0,0,"incorrect",6.76619171466035
"41","pp10","geurloosheid",143,6.30444880242198,"heid",2.95,0,2.56494935746154,12,1.31050613197084,1,"correct",6.81454289725996
"42","pp10","ovaalheid",157,6.42162226780652,"baseheid",2.23,0,5.86078622346587,9,0.526588927497426,1,"incorrect",6.19031540585315
"43","pp10","erkendheid",172,6.18826412308259,"baseheid",4.73,0,6.5191472879404,10,0,0,"correct",6.29526600143965
"44","pp10","coulantheid",174,6.50279004591562,"baseheid",2.5,0,1.79175946922805,11,0,1,"correct",6.59441345974978
"45","pp10","tilbaarheid",215,6.96602418710611,"heid",3.18,0,0,11,1.24844221891489,1,"correct",6.4831073514572
"46","pp10","gammelheid",221,6.98286275146894,"baseheid",2.55,0,4.91265488573605,10,0,0,"incorrect",6.33327962813969
"47","pp10","pipsheid",242,6.86589107488344,"heid",1.86,0,3.3322045101752,8,0,0,"incorrect",6.3985949345352
"48","pp10","banaalheid",252,6.30444880242198,"heid",2.64,0,5.73979291217923,10,0.526588927497426,0,"correct",7.05617528410041
"49","pp10","bezweetheid",257,6.18826412308259,"heid",3.36,0,4.75359019110636,11,1.37230699238395,1,"incorrect",7.10332206252611
"50","pp10","beschutheid",264,6.50428817353665,"heid",2.95,0,4.78749174278205,11,0.526588927497426,0,"incorrect",6.15060276844628
"51","pp10","pitloosheid",309,6.19644412779452,"baseheid",1.86,0,0,11,1.31050613197084,4,"correct",6.30444880242198
"52","pp10","kortafheid",326,6.3297209055227,"heid",2.36,0,5.86929691313377,10,1.62482689233404,1,"correct",6.70196036600254
"53","pp10","dementheid",343,6.67708346124714,"baseheid",3.23,0,3.8286413964891,10,0.741275220811803,0,"correct",6.34388043412633
"54","pp10","royaalheid",344,6.50578406012823,"heid",3.36,0,6.0913098820777,10,0.526588927497426,0,"correct",6.4118182677099
"55","pp11","riantheid",68,6.40687998606931,"baseheid",2.36,0,4.53259949315326,9,0,0,"correct",6.2803958389602
"56","pp11","ovaalheid",81,6.43133108193348,"baseheid",2.23,0,5.86078622346587,9,0.526588927497426,1,"correct",6.42648845745769
"57","pp11","aftandsheid",88,7.2086003379602,"heid",2.05,0,4.20469261939097,11,0,0,"correct",7.04664727784876
"58","pp11","tactvolheid",103,6.59304453414244,"baseheid",2.55,0,4.75359019110636,11,1.24844221891489,1,"correct",6.57786135772105
"59","pp11","tembaarheid",105,6.3919171133926,"heid",3.73,0,0,11,1.02667222131998,0,"correct",6.62007320653036
"60","pp11","summierheid",130,6.87729607149743,"baseheid",2.14,0,5.29831736654804,11,0.526588927497426,0,"correct",6.44888939414686
"61","pp11","tilbaarheid",131,6.89467003943348,"heid",3.18,0,0,11,1.24844221891489,1,"correct",6.96413561241824
"62","pp11","pitloosheid",135,6.4085287910595,"baseheid",1.86,0,0,11,1.31050613197084,4,"correct",6.41017488196617
"63","pp11","labielheid",163,6.43454651878745,"heid",3.23,0,4.38202663467388,10,0.526588927497426,0,"correct",6.46146817635372
"64","pp11","contentheid",164,6.22059017009974,"baseheid",2.5,0,4.49980967033027,11,0,1,"correct",6.29156913955832
"65","pp11","saprijkheid",178,6.91671502035361,"heid",1.95,0,0,11,1.51630236639884,2,"incorrect",7.46737106691756
"66","pp11","dementheid",180,6.34388043412633,"baseheid",3.23,0,3.8286413964891,10,0.741275220811803,0,"correct",6.59578051396131
"67","pp11","enormheid",181,6.58892647753352,"heid",3,0,8.42463920980563,9,0.526588927497426,0,"incorrect",7.0184017990692
"68","pp11","royaalheid",192,6.25958146406492,"heid",3.36,0,6.0913098820777,10,0.526588927497426,0,"correct",6.33150184989369
"69","pp11","jofelheid",196,6.31716468674728,"heid",2.64,0,3.3322045101752,9,0,0,"correct",7.13568734702814
"70","pp11","blusbaarheid",206,7.10578612948127,"baseheid",2.91,0,0,12,1.19470700912477,0,"correct",6.40025744530882
"71","pp11","basaalheid",214,6.56667242980324,"baseheid",2.14,0,3.55534806148941,10,0,0,"correct",6.40191719672719
"72","pp11","kalkrijkheid",222,6.63463335786169,"baseheid",2.09,0,3.13549421592915,12,1.48187723101362,3,"correct",6.4281052726846
"73","pp11","kortafheid",224,6.33150184989369,"heid",2.36,0,5.86929691313377,10,1.62482689233404,1,"correct",6.57368016696065
"74","pp11","ontroerdheid",243,6.47389069635227,"heid",3.32,0,5.54907608489522,12,0,1,"correct",6.54391184556479
"75","pp11","banaalheid",250,6.61338421837956,"heid",2.64,0,5.73979291217923,10,0.526588927497426,0,"correct",6.8265452235566
"76","pp11","erkendheid",253,6.51174532964473,"baseheid",4.73,0,6.5191472879404,10,0,0,"correct",6.12029741895095
"77","pp11","coulantheid",256,6.52502965784346,"baseheid",2.5,0,1.79175946922805,11,0,1,"correct",6.21860011969173
"78","pp11","geurloosheid",261,6.25190388316589,"heid",2.95,0,2.56494935746154,12,1.31050613197084,1,"correct",6.4085287910595
"79","pp11","ondiepheid",278,6.10702288774225,"baseheid",2.77,0,5.66296048013595,10,1.57000245622518,1,"correct",6.3297209055227
"80","pp11","onwelheid",320,6.67329796776765,"heid",2,0,3.97029191355212,9,1.7855468776495,1,"correct",7.07918439460967
"81","pp11","gammelheid",338,6.71659477352098,"baseheid",2.55,0,4.91265488573605,10,0,0,"correct",6.36475075685191
"82","pp12","ondiepheid",88,6.54391184556479,"baseheid",2.77,0,5.66296048013595,10,1.57000245622518,1,"correct",6.40687998606931
"83","pp12","royaalheid",97,6.60934924316738,"heid",3.36,0,6.0913098820777,10,0.526588927497426,0,"correct",6.71417052990947
"84","pp12","antiekheid",101,6.87626461189077,"baseheid",2.23,0,6.74523634948436,10,0.869739858620314,2,"correct",6.43294009273918
"85","pp12","beschutheid",110,6.94312242281943,"heid",2.95,0,4.78749174278205,11,0.526588927497426,0,"incorrect",7.05875815251866
