"","Frequency","SemanticClass"
"1",255,"opaque"
"2",401,"opaque"
"3",77,"opaque"
"4",1,"opaque"
"5",1160,"opaque"
"6",551,"opaque"
"7",187,"opaque"
"8",128,"opaque"
"9",1,"opaque"
"10",1,"opaque"
"11",247,"opaque"
"12",262,"opaque"
"13",1,"opaque"
"14",296,"opaque"
"15",541,"opaque"
"16",47,"opaque"
"17",2,"opaque"
"18",132,"opaque"
"19",262,"opaque"
"20",18,"opaque"
"21",132,"opaque"
"22",191,"opaque"
"23",1297,"opaque"
"24",1446,"opaque"
"25",3437,"opaque"
"26",57,"opaque"
"27",87,"opaque"
"28",1,"opaque"
"29",65,"opaque"
"30",1,"opaque"
"31",6,"opaque"
"32",11,"opaque"
"33",19,"opaque"
"34",54,"opaque"
"35",1,"opaque"
"36",1,"opaque"
"37",1,"opaque"
"38",1,"opaque"
"39",2,"opaque"
"40",15,"opaque"
"41",1,"opaque"
"42",1,"opaque"
"43",17,"opaque"
"44",18,"opaque"
"45",38,"opaque"
"46",2507,"opaque"
"47",1983,"opaque"
"48",723,"opaque"
"49",2196,"opaque"
"50",2116,"opaque"
"51",47,"opaque"
"52",93,"opaque"
"53",1143,"opaque"
"54",1081,"opaque"
"55",657,"opaque"
"56",193,"opaque"
"57",2026,"opaque"
"58",60,"opaque"
"59",134,"opaque"
"60",321,"opaque"
"61",3353,"opaque"
"62",872,"opaque"
"63",1451,"opaque"
"64",261,"opaque"
"65",458,"opaque"
"66",58,"opaque"
"67",425,"opaque"
"68",666,"opaque"
"69",337,"opaque"
"70",1,"opaque"
"71",1,"opaque"
"72",73,"opaque"
"73",297,"opaque"
"74",23,"opaque"
"75",39,"opaque"
"76",200,"opaque"
"77",296,"opaque"
"78",1584,"opaque"
"79",2549,"opaque"
"80",4328,"opaque"
"81",486,"opaque"
"82",512,"opaque"
"83",46,"opaque"
"84",1,"opaque"
"85",1,"opaque"
"86",2,"opaque"
"87",7,"opaque"
"88",7,"opaque"
"89",11,"opaque"
"90",10,"opaque"
"91",13,"opaque"
"92",20,"opaque"
"93",40,"opaque"
"94",45,"opaque"
"95",47,"opaque"
"96",47,"opaque"
"97",91,"opaque"
"98",255,"opaque"
"99",269,"opaque"
"100",276,"opaque"
"101",290,"opaque"
"102",301,"opaque"
"103",350,"opaque"
"104",390,"opaque"
"105",658,"opaque"
"106",999,"opaque"
"107",1028,"opaque"
"108",1054,"opaque"
"109",1187,"opaque"
"110",1259,"opaque"
"111",1742,"opaque"
"112",1879,"opaque"
"113",2618,"opaque"
"114",3063,"opaque"
"115",3488,"opaque"
"116",4419,"opaque"
"117",8345,"opaque"
"118",21770,"opaque"
"119",1,"opaque"
"120",71,"opaque"
"121",3901,"opaque"
"122",2,"opaque"
"123",1,"opaque"
"124",10597,"opaque"
"125",1,"opaque"
"126",21,"opaque"
"127",1304,"opaque"
"128",1,"opaque"
"129",56,"opaque"
"130",156,"opaque"
"131",4,"opaque"
"132",1,"opaque"
"133",6852,"opaque"
"134",3,"opaque"
"135",507,"opaque"
"136",1,"opaque"
"137",3454,"opaque"
"138",18,"opaque"
"139",7396,"opaque"
"140",1,"opaque"
"141",3912,"opaque"
"142",2,"opaque"
"143",1,"opaque"
"144",10,"opaque"
"145",4,"opaque"
"146",1095,"opaque"
"147",171,"opaque"
"148",5,"opaque"
"149",19,"opaque"
"150",261,"opaque"
"151",446,"opaque"
"152",3117,"opaque"
"153",39,"opaque"
"154",120,"opaque"
"155",122,"opaque"
"156",147,"opaque"
"157",183,"opaque"
"158",208,"opaque"
"159",216,"opaque"
"160",216,"opaque"
"161",269,"opaque"
"162",273,"opaque"
"163",889,"opaque"
"164",2583,"opaque"
"165",29,"opaque"
"166",82,"opaque"
"167",133,"opaque"
"168",1781,"opaque"
"169",2300,"opaque"
"170",2354,"opaque"
"171",703,"opaque"
"172",4582,"opaque"
"173",5346,"opaque"
"174",3,"opaque"
"175",339,"opaque"
"176",31,"opaque"
"177",169,"opaque"
"178",309,"opaque"
"179",405,"opaque"
"180",5,"opaque"
"181",77,"opaque"
"182",163,"opaque"
"183",270,"opaque"
"184",868,"opaque"
"185",163,"opaque"
"186",68,"opaque"
"187",192,"opaque"
"188",135,"opaque"
"189",150,"opaque"
"190",664,"opaque"
"191",368,"opaque"
"192",159,"opaque"
"193",1960,"opaque"
"194",1,"opaque"
"195",22,"opaque"
"196",9,"opaque"
"197",3191,"opaque"
"198",1,"opaque"
"199",7,"transparent"
"200",450,"transparent"
"201",26,"transparent"
"202",1,"transparent"
"203",3,"transparent"
"204",1,"transparent"
"205",86,"transparent"
"206",75,"transparent"
"207",5,"transparent"
"208",1,"transparent"
"209",59,"transparent"
"210",2,"transparent"
"211",1,"transparent"
"212",1,"transparent"
"213",156,"transparent"
"214",23,"transparent"
"215",188,"transparent"
"216",17,"transparent"
"217",85,"transparent"
"218",19,"transparent"
"219",6,"transparent"
"220",1,"transparent"
"221",1,"transparent"
"222",2,"transparent"
"223",1,"transparent"
"224",1,"transparent"
"225",1,"transparent"
"226",1,"transparent"
"227",12,"transparent"
"228",1,"transparent"
"229",1,"transparent"
"230",1,"transparent"
"231",1,"transparent"
"232",1,"transparent"
"233",1,"transparent"
"234",2,"transparent"
"235",1,"transparent"
"236",1,"transparent"
"237",1,"transparent"
"238",1,"transparent"
"239",1,"transparent"
"240",1,"transparent"
"241",1,"transparent"
"242",1,"transparent"
"243",1,"transparent"
"244",1,"transparent"
"245",1,"transparent"
"246",1,"transparent"
"247",1,"transparent"
"248",1,"transparent"
"249",1,"transparent"
"250",1,"transparent"
"251",2,"transparent"
"252",1,"transparent"
"253",1,"transparent"
"254",125,"transparent"
"255",2,"transparent"
"256",68,"transparent"
"257",1,"transparent"
"258",4,"transparent"
"259",134,"transparent"
"260",1,"transparent"
"261",86,"transparent"
"262",38,"transparent"
"263",9,"transparent"
"264",36,"transparent"
"265",553,"transparent"
"266",20,"transparent"
"267",67,"transparent"
"268",578,"transparent"
"269",1028,"transparent"
"270",10,"transparent"
"271",518,"transparent"
"272",14,"transparent"
"273",71,"transparent"
"274",74,"transparent"
"275",271,"transparent"
"276",305,"transparent"
"277",71,"transparent"
"278",1,"transparent"
"279",1,"transparent"
"280",3,"transparent"
"281",522,"transparent"
"282",62,"transparent"
"283",132,"transparent"
"284",364,"transparent"
"285",113,"transparent"
"286",217,"transparent"
"287",380,"transparent"
"288",266,"transparent"
"289",97,"transparent"
"290",1602,"transparent"
"291",171,"transparent"
"292",60,"transparent"
"293",185,"transparent"
"294",1256,"transparent"
"295",4,"transparent"
"296",337,"transparent"
"297",449,"transparent"
"298",10,"transparent"
"299",24,"transparent"
"300",541,"transparent"
"301",3,"transparent"
"302",77,"transparent"
"303",297,"transparent"
"304",825,"transparent"
"305",1877,"transparent"
"306",543,"transparent"
"307",3,"transparent"
"308",123,"transparent"
"309",5,"transparent"
"310",1,"transparent"
"311",374,"transparent"
"312",166,"transparent"
"313",2260,"transparent"
