"","Speaker","Sentence","AgeGroup","CaseMarking","WordOrder","AnimacyOfSubject","OvertnessOfObject","AnimacyOfObject","Text"
"1","Sub9","kangu_nganta_jarntu_kuuku_ngu_","child","ergative","subNotInitial","animate","overt","animate","texta"
"2","Sub9","karntangu_luwarni_","child","ergative","subInitial","animate","notOvert","animate","textb"
"3","Sub9","karntangu_pakarni_","child","ergative","subInitial","animate","notOvert","animate","textb"
"4","Sub9","manu_na_nganayi_karnta_ngki_j_","child","ergative","subNotInitial","animate","notOvert","animate","texta"
"5","Sub9","mother_ngku_wajili_pinyi_","child","ergative","subInitial","animate","notOvert","animate","texta"
"6","Sub9","pirlingi_bustimanu_","child","ergative","subInitial","inanimate","notOvert","animate","textc"
"7","Sub9","snaki_ng_ka_nganayi_wirliya_biti_manu_","child","ergative","subInitial","inanimate","overt","animate","textc"
"8","Sub9","wara_ngaju_nyangu_jarntu_ngulaju_ngu_ka_pakarni_","child","ergative","subNotInitial","animate","overt","animate","textc"
"9","Sub9","wara_nyampu_ngku_lku_karna_fixi_manu_09:12_","child","ergative","subInitial","animate","notOvert","inanimate","textc"
"10","Sub9","wara_puku_manu_jarp_one_i_ng_","child","ergative","subNotInitial","inanimate","notOvert","animate","textc"
"11","Sub9","yakayi_uuju_ngu_bit_lickimanu_","child","ergative","subInitial","animate","notOvert","animate","textc"
"12","Sub10","ka_mani_ka_dingo_ng_yalyu_","child","ergative","subNotInitial","animate","overt","inanimate","textc"
"13","Sub10","kany_kanyi_ka_puluku_frontrla_driver_ngu_","child","ergative","subInitial","animate","overt","inanimate","textb"
"14","Sub10","kanyi_ka_jarntu_yapa_ng_","child","ergative","subNotInitial","animate","overt","animate","texta"
"15","Sub10","kanyi_wurnturu_yapa_ngu_jarntu_","child","ergative","subNotInitial","animate","overt","animate","texta"
"16","Sub10","kapu_ngurrju_mani_karntanguju_","child","ergative","subNotInitial","animate","notOvert","animate","textb"
"17","Sub10","karnta_ka_pantirni_kanta_","child","other","subInitial","animate","overt","inanimate","textc"
"18","Sub10","lightningi_striki_manu_","child","other","subInitial","inanimate","notOvert","animate","textc"
"19","Sub10","manu_na_kurdu_ngu_ju_jarntu_","child","ergative","subNotInitial","animate","overt","animate","texta"
"20","Sub10","manu_na_yapa_ngu_","child","ergative","subNotInitial","animate","notOvert","animate","texta"
"21","Sub10","ngula_janga_ju_wirriya_ngu_l_kapu_man_nyiya_kanta_","child","ergative","subInitial","animate","overt","inanimate","textc"
"22","Sub10","panturnu_na_jarp_one_u_rlu_","child","ergative","subNotInitial","inanimate","notOvert","animate","textb"
"23","Sub10","panturnu_potulu_ngu_tyre_","child","ergative","subNotInitial","inanimate","overt","inanimate","textc"
"24","Sub10","piki_mani_ka_wirriya_ng_[%_fix]_","child","ergative","subNotInitial","animate","notOvert","inanimate","textc"
"25","Sub10","warna_ng_yalkurnu_","child","ergative","subInitial","animate","notOvert","animate","textc"
"26","Sub10","wirriya_ka_luwarni_puluku_","child","other","subInitial","animate","overt","animate","textb"
"27","Sub10","wirriya_ng_ka_luwarni_puluku_","child","ergative","subInitial","animate","overt","animate","textb"
"28","Sub15","karnta_ngu_ka_mardarni_uuju_","child","ergative","subInitial","animate","overt","animate","textb"
"29","Sub15","kujurnu_wirriya_ng_","child","ergative","subNotInitial","animate","notOvert","animate","textb"
"30","Sub15","kurdu_ngu_ka_mardarni_jarntu_","child","ergative","subInitial","animate","overt","animate","texta"
"31","Sub15","kurdu_ngu_manu_jarntu_","child","ergative","subInitial","animate","overt","animate","texta"
"32","Sub15","kurdungu_yampija_jarntu_","child","ergative","subInitial","animate","overt","animate","texta"
"33","Sub15","manulu_wirriya_ng_","child","ergative","subNotInitial","animate","notOvert","animate","textb"
"34","Sub15","wati_ng_ka_manu_jarntu_watiyangka_kankarl_","child","ergative","subInitial","animate","overt","animate","texta"
"35","Sub15","wati_ng_manu_blue_one_","child","ergative","subInitial","animate","overt","inanimate","textb"
"36","Sub15","wati_ng_manu_jarntu_","child","ergative","subInitial","animate","overt","animate","texta"
"37","Sub17","manu_car_ju_puku_manu_potulu_ngu_","child","ergative","subNotInitial","inanimate","overt","inanimate","textc"
"38","Sub17","manu_kurdu_ngku_fixi_mani_carju_","child","ergative","subInitial","animate","overt","inanimate","textc"
"39","Sub17","manu_kurduju_yalkurnu_yalyu_ku_","child","other","subInitial","animate","overt","animate","textc"
"40","Sub17","manu_nyampuju_nyampuju_kurdu_nyanyi_ka_kanta_","child","other","subInitial","animate","overt","inanimate","textc"
"41","Sub17","ngati_ngki_mani_kutulu_kantaku_","child","ergative","subInitial","animate","overt","inanimate","textc"
"42","Sub17","ngati_ngki_manu_maliki_","child","ergative","subInitial","animate","overt","animate","texta"
"43","Sub17","ngatiji_pakarnu_kata_juku_kanta_ngku_","child","ergative","subNotInitial","inanimate","overt","animate","textc"
"44","Sub17","nyampuju_kurdu_nyanyi_ka_kanta_","child","other","subInitial","animate","overt","inanimate","textc"
"45","Sub17","nyampungku_yapangku_manu_maliki_","child","ergative","subInitial","animate","overt","animate","texta"
"46","Sub17","nyampurraju_kurdu_patu_nyangulu_kanta_","child","other","subInitial","animate","overt","inanimate","textc"
"47","Sub17","wita_ngku_manu_inyaju_","child","ergative","subInitial","animate","overt","animate","textb"
"48","Sub18","ka_bustimanu_botulu_ng_","child","ergative","subNotInitial","inanimate","notOvert","inanimate","textc"
"49","Sub18","nyampu_fencei_ng_ka_katirni_","child","ergative","subInitial","inanimate","notOvert","animate","textb"
"50","Sub18","nyampu_geti_mani_jarntu_wita_pawu_yapa_ngku_","child","ergative","subNotInitial","animate","overt","animate","texta"
"51","Sub18","nyampu_ka_gettimani_yapa_","child","other","subNotInitial","animate","notOvert","animate","texta"
"52","Sub18","nyampu_ka_snaki_ng_bitim_wirliya_","child","other","subNotInitial","inanimate","notOvert","inanimate","textc"
"53","Sub18","nyampu_kurdu_ka_holdimani_jarntu_","child","other","subInitial","animate","overt","animate","texta"
"54","Sub18","watiya_ka_pakarni_","child","other","subInitial","animate","notOvert","inanimate","textb"
"55","Sub22","na_pakaka_watiya_ngu_","child","ergative","subNotInitial","animate","notOvert","inanimate","textb"
"56","Sub22","ngula_janga_j_warna_ngu_pajurnu_","child","ergative","subNotInitial","animate","notOvert","animate","textc"
"57","Sub22","oh_pakaka_oh_kanta_ngu_","child","ergative","subNotInitial","animate","notOvert","animate","textc"
"58","Sub23","an_karnta_ng_wirriya_ng_lifti_manta_watiya_","child","ergative","subInitial","animate","overt","inanimate","textb"
"59","Sub23","an_lightningi_ng_ka_rdaka_walku_mani_","child","ergative","subInitial","inanimate","overt","animate","textc"
"60","Sub23","jarntu_ngku_ka_yalyu_pakarnu_","child","ergative","subInitial","animate","overt","animate","textc"
