"","Corpus","Word","Count","Country","Register"
"1","belang","aantrekkelijk",26,"Flanders","Regional"
"2","gazet","aantrekkelijk",17,"Flanders","Regional"
"3","laatnieu","aantrekkelijk",19,"Flanders","National"
"4","limburg","aantrekkelijk",33,"Netherlands","Regional"
"5","nrc","aantrekkelijk",47,"Netherlands","Quality"
"6","stand","aantrekkelijk",29,"Flanders","Quality"
"7","tele","aantrekkelijk",45,"Netherlands","National"
"8","belang","aanvankelijk",88,"Flanders","Regional"
"9","gazet","aanvankelijk",97,"Flanders","Regional"
"10","laatnieu","aanvankelijk",92,"Flanders","National"
"11","limburg","aanvankelijk",124,"Netherlands","Regional"
"12","nrc","aanvankelijk",155,"Netherlands","Quality"
"13","stand","aanvankelijk",89,"Flanders","Quality"
"14","tele","aanvankelijk",157,"Netherlands","National"
"15","belang","aanzienlijk",25,"Flanders","Regional"
"16","gazet","aanzienlijk",33,"Flanders","Regional"
"17","laatnieu","aanzienlijk",42,"Flanders","National"
"18","limburg","aanzienlijk",45,"Netherlands","Regional"
"19","nrc","aanzienlijk",71,"Netherlands","Quality"
"20","stand","aanzienlijk",44,"Flanders","Quality"
"21","tele","aanzienlijk",114,"Netherlands","National"
"22","belang","afhankelijk",55,"Flanders","Regional"
"23","gazet","afhankelijk",57,"Flanders","Regional"
"24","laatnieu","afhankelijk",14,"Flanders","National"
"25","limburg","afhankelijk",66,"Netherlands","Regional"
"26","nrc","afhankelijk",82,"Netherlands","Quality"
"27","stand","afhankelijk",58,"Flanders","Quality"
"28","tele","afhankelijk",88,"Netherlands","National"
"29","belang","begrijpelijk",13,"Flanders","Regional"
"30","gazet","begrijpelijk",12,"Flanders","Regional"
"31","laatnieu","begrijpelijk",12,"Flanders","National"
"32","limburg","begrijpelijk",20,"Netherlands","Regional"
"33","nrc","begrijpelijk",35,"Netherlands","Quality"
"34","stand","begrijpelijk",12,"Flanders","Quality"
"35","tele","begrijpelijk",19,"Netherlands","National"
"36","belang","behoorlijk",81,"Flanders","Regional"
"37","gazet","behoorlijk",54,"Flanders","Regional"
"38","laatnieu","behoorlijk",88,"Flanders","National"
"39","limburg","behoorlijk",66,"Netherlands","Regional"
"40","nrc","behoorlijk",58,"Netherlands","Quality"
"41","stand","behoorlijk",60,"Flanders","Quality"
"42","tele","behoorlijk",78,"Netherlands","National"
"43","belang","belachelijk",35,"Flanders","Regional"
"44","gazet","belachelijk",23,"Flanders","Regional"
"45","laatnieu","belachelijk",15,"Flanders","National"
"46","limburg","belachelijk",15,"Netherlands","Regional"
"47","nrc","belachelijk",18,"Netherlands","Quality"
"48","stand","belachelijk",13,"Flanders","Quality"
"49","tele","belachelijk",24,"Netherlands","National"
"50","belang","daadwerkelijk",18,"Flanders","Regional"
"51","gazet","daadwerkelijk",14,"Flanders","Regional"
"52","laatnieu","daadwerkelijk",21,"Flanders","National"
"53","limburg","daadwerkelijk",61,"Netherlands","Regional"
"54","nrc","daadwerkelijk",50,"Netherlands","Quality"
"55","stand","daadwerkelijk",23,"Flanders","Quality"
"56","tele","daadwerkelijk",64,"Netherlands","National"
"57","belang","degelijk",109,"Flanders","Regional"
"58","gazet","degelijk",87,"Flanders","Regional"
"59","laatnieu","degelijk",82,"Flanders","National"
"60","limburg","degelijk",62,"Netherlands","Regional"
"61","nrc","degelijk",81,"Netherlands","Quality"
"62","stand","degelijk",63,"Flanders","Quality"
"63","tele","degelijk",70,"Netherlands","National"
"64","belang","dergelijk",28,"Flanders","Regional"
"65","gazet","dergelijk",43,"Flanders","Regional"
"66","laatnieu","dergelijk",26,"Flanders","National"
"67","limburg","dergelijk",34,"Netherlands","Regional"
"68","nrc","dergelijk",38,"Netherlands","Quality"
"69","stand","dergelijk",22,"Flanders","Quality"
"70","tele","dergelijk",43,"Netherlands","National"
"71","belang","dodelijk",29,"Flanders","Regional"
"72","gazet","dodelijk",31,"Flanders","Regional"
"73","laatnieu","dodelijk",25,"Flanders","National"
"74","limburg","dodelijk",22,"Netherlands","Regional"
"75","nrc","dodelijk",21,"Netherlands","Quality"
"76","stand","dodelijk",15,"Flanders","Quality"
"77","tele","dodelijk",24,"Netherlands","National"
"78","belang","duidelijk",515,"Flanders","Regional"
"79","gazet","duidelijk",534,"Flanders","Regional"
"80","laatnieu","duidelijk",477,"Flanders","National"
"81","limburg","duidelijk",443,"Netherlands","Regional"
"82","nrc","duidelijk",416,"Netherlands","Quality"
"83","stand","duidelijk",443,"Flanders","Quality"
"84","tele","duidelijk",498,"Netherlands","National"
"85","belang","eerlijk",70,"Flanders","Regional"
"86","gazet","eerlijk",56,"Flanders","Regional"
"87","laatnieu","eerlijk",54,"Flanders","National"
"88","limburg","eerlijk",63,"Netherlands","Regional"
"89","nrc","eerlijk",62,"Netherlands","Quality"
"90","stand","eerlijk",41,"Flanders","Quality"
"91","tele","eerlijk",58,"Netherlands","National"
"92","belang","eigenlijk",397,"Flanders","Regional"
"93","gazet","eigenlijk",256,"Flanders","Regional"
"94","laatnieu","eigenlijk",263,"Flanders","National"
"95","limburg","eigenlijk",410,"Netherlands","Regional"
"96","nrc","eigenlijk",371,"Netherlands","Quality"
"97","stand","eigenlijk",212,"Flanders","Quality"
"98","tele","eigenlijk",337,"Netherlands","National"
"99","belang","eindelijk",111,"Flanders","Regional"
"100","gazet","eindelijk",137,"Flanders","Regional"
"101","laatnieu","eindelijk",173,"Flanders","National"
"102","limburg","eindelijk",139,"Netherlands","Regional"
"103","nrc","eindelijk",91,"Netherlands","Quality"
"104","stand","eindelijk",74,"Flanders","Quality"
"105","tele","eindelijk",158,"Netherlands","National"
"106","belang","feitelijk",9,"Flanders","Regional"
"107","gazet","feitelijk",4,"Flanders","Regional"
"108","laatnieu","feitelijk",1,"Flanders","National"
"109","limburg","feitelijk",21,"Netherlands","Regional"
"110","nrc","feitelijk",21,"Netherlands","Quality"
"111","stand","feitelijk",9,"Flanders","Quality"
"112","tele","feitelijk",39,"Netherlands","National"
"113","belang","gebruikelijk",7,"Flanders","Regional"
"114","gazet","gebruikelijk",18,"Flanders","Regional"
"115","laatnieu","gebruikelijk",4,"Flanders","National"
"116","limburg","gebruikelijk",19,"Netherlands","Regional"
"117","nrc","gebruikelijk",46,"Netherlands","Quality"
"118","stand","gebruikelijk",7,"Flanders","Quality"
"119","tele","gebruikelijk",25,"Netherlands","National"
"120","belang","gedeeltelijk",47,"Flanders","Regional"
"121","gazet","gedeeltelijk",44,"Flanders","Regional"
"122","laatnieu","gedeeltelijk",17,"Flanders","National"
"123","limburg","gedeeltelijk",35,"Netherlands","Regional"
"124","nrc","gedeeltelijk",40,"Netherlands","Quality"
"125","stand","gedeeltelijk",41,"Flanders","Quality"
"126","tele","gedeeltelijk",31,"Netherlands","National"
"127","belang","geleidelijk",21,"Flanders","Regional"
"128","gazet","geleidelijk",16,"Flanders","Regional"
"129","laatnieu","geleidelijk",25,"Flanders","National"
"130","limburg","geleidelijk",19,"Netherlands","Regional"
"131","nrc","geleidelijk",28,"Netherlands","Quality"
"132","stand","geleidelijk",52,"Flanders","Quality"
"133","tele","geleidelijk",17,"Netherlands","National"
"134","belang","gemakkelijk",70,"Flanders","Regional"
"135","gazet","gemakkelijk",100,"Flanders","Regional"
"136","laatnieu","gemakkelijk",118,"Flanders","National"
"137","limburg","gemakkelijk",101,"Netherlands","Regional"
"138","nrc","gemakkelijk",131,"Netherlands","Quality"
"139","stand","gemakkelijk",105,"Flanders","Quality"
"140","tele","gemakkelijk",109,"Netherlands","National"
"141","belang","gemeentelijk",42,"Flanders","Regional"
"142","gazet","gemeentelijk",73,"Flanders","Regional"
"143","laatnieu","gemeentelijk",36,"Flanders","National"
"144","limburg","gemeentelijk",38,"Netherlands","Regional"
"145","nrc","gemeentelijk",10,"Netherlands","Quality"
"146","stand","gemeentelijk",20,"Flanders","Quality"
"147","tele","gemeentelijk",5,"Netherlands","National"
"148","belang","gerechtelijk",42,"Flanders","Regional"
"149","gazet","gerechtelijk",58,"Flanders","Regional"
"150","laatnieu","gerechtelijk",26,"Flanders","National"
"151","limburg","gerechtelijk",8,"Netherlands","Regional"
"152","nrc","gerechtelijk",15,"Netherlands","Quality"
"153","stand","gerechtelijk",70,"Flanders","Quality"
"154","tele","gerechtelijk",17,"Netherlands","National"
"155","belang","gevaarlijk",84,"Flanders","Regional"
"156","gazet","gevaarlijk",64,"Flanders","Regional"
"157","laatnieu","gevaarlijk",78,"Flanders","National"
"158","limburg","gevaarlijk",49,"Netherlands","Regional"
"159","nrc","gevaarlijk",72,"Netherlands","Quality"
"160","stand","gevaarlijk",44,"Flanders","Quality"
"161","tele","gevaarlijk",54,"Netherlands","National"
"162","belang","gewoonlijk",19,"Flanders","Regional"
"163","gazet","gewoonlijk",30,"Flanders","Regional"
"164","laatnieu","gewoonlijk",12,"Flanders","National"
"165","limburg","gewoonlijk",8,"Netherlands","Regional"
"166","nrc","gewoonlijk",24,"Netherlands","Quality"
"167","stand","gewoonlijk",12,"Flanders","Quality"
"168","tele","gewoonlijk",20,"Netherlands","National"
"169","belang","gezamenlijk",23,"Flanders","Regional"
"170","gazet","gezamenlijk",24,"Flanders","Regional"
"171","laatnieu","gezamenlijk",17,"Flanders","National"
"172","limburg","gezamenlijk",50,"Netherlands","Regional"
"173","nrc","gezamenlijk",72,"Netherlands","Quality"
"174","stand","gezamenlijk",34,"Flanders","Quality"
"175","tele","gezamenlijk",70,"Netherlands","National"
"176","belang","heerlijk",25,"Flanders","Regional"
"177","gazet","heerlijk",16,"Flanders","Regional"
"178","laatnieu","heerlijk",12,"Flanders","National"
"179","limburg","heerlijk",43,"Netherlands","Regional"
"180","nrc","heerlijk",28,"Netherlands","Quality"
"181","stand","heerlijk",20,"Flanders","Quality"
"182","tele","heerlijk",48,"Netherlands","National"
"183","belang","herhaaldelijk",25,"Flanders","Regional"
"184","gazet","herhaaldelijk",24,"Flanders","Regional"
"185","laatnieu","herhaaldelijk",20,"Flanders","National"
"186","limburg","herhaaldelijk",19,"Netherlands","Regional"
"187","nrc","herhaaldelijk",30,"Netherlands","Quality"
"188","stand","herhaaldelijk",21,"Flanders","Quality"
"189","tele","herhaaldelijk",17,"Netherlands","National"
"190","belang","hoofdzakelijk",19,"Flanders","Regional"
"191","gazet","hoofdzakelijk",26,"Flanders","Regional"
"192","laatnieu","hoofdzakelijk",18,"Flanders","National"
"193","limburg","hoofdzakelijk",8,"Netherlands","Regional"
"194","nrc","hoofdzakelijk",16,"Netherlands","Quality"
"195","stand","hoofdzakelijk",33,"Flanders","Quality"
"196","tele","hoofdzakelijk",17,"Netherlands","National"
"197","belang","hopelijk",59,"Flanders","Regional"
"198","gazet","hopelijk",41,"Flanders","Regional"
"199","laatnieu","hopelijk",103,"Flanders","National"
"200","limburg","hopelijk",11,"Netherlands","Regional"
"201","nrc","hopelijk",12,"Netherlands","Quality"
"202","stand","hopelijk",22,"Flanders","Quality"
"203","tele","hopelijk",16,"Netherlands","National"
"204","belang","inhoudelijk",14,"Flanders","Regional"
"205","gazet","inhoudelijk",12,"Flanders","Regional"
"206","laatnieu","inhoudelijk",2,"Flanders","National"
"207","limburg","inhoudelijk",26,"Netherlands","Regional"
"208","nrc","inhoudelijk",24,"Netherlands","Quality"
"209","stand","inhoudelijk",20,"Flanders","Quality"
"210","tele","inhoudelijk",13,"Netherlands","National"
"211","belang","kennelijk",27,"Flanders","Regional"
"212","gazet","kennelijk",17,"Flanders","Regional"
"213","laatnieu","kennelijk",10,"Flanders","National"
"214","limburg","kennelijk",74,"Netherlands","Regional"
"215","nrc","kennelijk",132,"Netherlands","Quality"
"216","stand","kennelijk",25,"Flanders","Quality"
"217","tele","kennelijk",130,"Netherlands","National"
"218","belang","koninklijk",41,"Flanders","Regional"
"219","gazet","koninklijk",74,"Flanders","Regional"
"220","laatnieu","koninklijk",30,"Flanders","National"
"221","limburg","koninklijk",19,"Netherlands","Regional"
"222","nrc","koninklijk",77,"Netherlands","Quality"
"223","stand","koninklijk",77,"Flanders","Quality"
"224","tele","koninklijk",30,"Netherlands","National"
"225","belang","landelijk",9,"Flanders","Regional"
"226","gazet","landelijk",9,"Flanders","Regional"
"227","laatnieu","landelijk",4,"Flanders","National"
"228","limburg","landelijk",101,"Netherlands","Regional"
"229","nrc","landelijk",61,"Netherlands","Quality"
"230","stand","landelijk",2,"Flanders","Quality"
"231","tele","landelijk",41,"Netherlands","National"
"232","belang","letterlijk",69,"Flanders","Regional"
"233","gazet","letterlijk",54,"Flanders","Regional"
"234","laatnieu","letterlijk",39,"Flanders","National"
"235","limburg","letterlijk",69,"Netherlands","Regional"
"236","nrc","letterlijk",62,"Netherlands","Quality"
"237","stand","letterlijk",40,"Flanders","Quality"
"238","tele","letterlijk",56,"Netherlands","National"
"239","belang","maatschappelijk",27,"Flanders","Regional"
"240","gazet","maatschappelijk",29,"Flanders","Regional"
"241","laatnieu","maatschappelijk",9,"Flanders","National"
"242","limburg","maatschappelijk",45,"Netherlands","Regional"
"243","nrc","maatschappelijk",45,"Netherlands","Quality"
"244","stand","maatschappelijk",51,"Flanders","Quality"
"245","tele","maatschappelijk",17,"Netherlands","National"
"246","belang","makkelijk",80,"Flanders","Regional"
"247","gazet","makkelijk",88,"Flanders","Regional"
"248","laatnieu","makkelijk",91,"Flanders","National"
"249","limburg","makkelijk",93,"Netherlands","Regional"
"250","nrc","makkelijk",91,"Netherlands","Quality"
"251","stand","makkelijk",56,"Flanders","Quality"
"252","tele","makkelijk",56,"Netherlands","National"
"253","belang","menselijk",25,"Flanders","Regional"
"254","gazet","menselijk",29,"Flanders","Regional"
"255","laatnieu","menselijk",17,"Flanders","National"
"256","limburg","menselijk",32,"Netherlands","Regional"
"257","nrc","menselijk",40,"Netherlands","Quality"
"258","stand","menselijk",39,"Flanders","Quality"
"259","tele","menselijk",19,"Netherlands","National"
"260","belang","moeilijk",325,"Flanders","Regional"
"261","gazet","moeilijk",290,"Flanders","Regional"
"262","laatnieu","moeilijk",355,"Flanders","National"
"263","limburg","moeilijk",263,"Netherlands","Regional"
"264","nrc","moeilijk",292,"Netherlands","Quality"
"265","stand","moeilijk",254,"Flanders","Quality"
"266","tele","moeilijk",220,"Netherlands","National"
"267","belang","mogelijk",566,"Flanders","Regional"
"268","gazet","mogelijk",692,"Flanders","Regional"
"269","laatnieu","mogelijk",501,"Flanders","National"
"270","limburg","mogelijk",622,"Netherlands","Regional"
"271","nrc","mogelijk",649,"Netherlands","Quality"
"272","stand","mogelijk",509,"Flanders","Quality"
"273","tele","mogelijk",720,"Netherlands","National"
"274","belang","nadrukkelijk",20,"Flanders","Regional"
"275","gazet","nadrukkelijk",11,"Flanders","Regional"
"276","laatnieu","nadrukkelijk",14,"Flanders","National"
"277","limburg","nadrukkelijk",58,"Netherlands","Regional"
"278","nrc","nadrukkelijk",38,"Netherlands","Quality"
"279","stand","nadrukkelijk",20,"Flanders","Quality"
