"","Age","Sex","Year","Population"
"1",0,"Male",1900,0.919
"2",1,"Male",1900,0.928
"3",2,"Male",1900,0.932
"4",3,"Male",1900,0.932
"5",4,"Male",1900,0.928
"6",5,"Male",1900,0.921
"7",6,"Male",1900,0.911
"8",7,"Male",1900,0.899
"9",8,"Male",1900,0.884
"10",9,"Male",1900,0.868
"11",10,"Male",1900,0.851
"12",11,"Male",1900,0.833
"13",12,"Male",1900,0.816
"14",13,"Male",1900,0.8
"15",14,"Male",1900,0.786
"16",15,"Male",1900,0.772
"17",16,"Male",1900,0.756
"18",17,"Male",1900,0.746
"19",18,"Male",1900,0.742
"20",19,"Male",1900,0.741
"21",20,"Male",1900,0.74
"22",21,"Male",1900,0.739
"23",22,"Male",1900,0.736
"24",23,"Male",1900,0.726
"25",24,"Male",1900,0.712
"26",25,"Male",1900,0.7
"27",26,"Male",1900,0.687
"28",27,"Male",1900,0.672
"29",28,"Male",1900,0.654
"30",29,"Male",1900,0.636
"31",30,"Male",1900,0.617
"32",31,"Male",1900,0.597
"33",32,"Male",1900,0.58
"34",33,"Male",1900,0.568
"35",34,"Male",1900,0.559
"36",35,"Male",1900,0.55
"37",36,"Male",1900,0.54
"38",37,"Male",1900,0.529
"39",38,"Male",1900,0.516
"40",39,"Male",1900,0.501
"41",40,"Male",1900,0.486
"42",41,"Male",1900,0.472
"43",42,"Male",1900,0.457
"44",43,"Male",1900,0.439
"45",44,"Male",1900,0.42
"46",45,"Male",1900,0.401
"47",46,"Male",1900,0.382
"48",47,"Male",1900,0.366
"49",48,"Male",1900,0.355
"50",49,"Male",1900,0.347
"51",50,"Male",1900,0.339
"52",51,"Male",1900,0.332
"53",52,"Male",1900,0.32
"54",53,"Male",1900,0.304
"55",54,"Male",1900,0.282
"56",55,"Male",1900,0.262
"57",56,"Male",1900,0.242
"58",57,"Male",1900,0.226
"59",58,"Male",1900,0.215
"60",59,"Male",1900,0.208
"61",60,"Male",1900,0.201
"62",61,"Male",1900,0.195
"63",62,"Male",1900,0.186
"64",63,"Male",1900,0.176
"65",64,"Male",1900,0.165
"66",65,"Male",1900,0.155
"67",66,"Male",1900,0.144
"68",67,"Male",1900,0.134
"69",68,"Male",1900,0.125
"70",69,"Male",1900,0.115
"71",70,"Male",1900,0.106
"72",71,"Male",1900,0.098
"73",72,"Male",1900,0.09
"74",73,"Male",1900,0.082
"75",74,"Male",1900,0.075
"76",0,"Female",1900,0.892
"77",1,"Female",1900,0.907
"78",2,"Female",1900,0.914
"79",3,"Female",1900,0.916
"80",4,"Female",1900,0.913
"81",5,"Female",1900,0.906
"82",6,"Female",1900,0.895
"83",7,"Female",1900,0.881
"84",8,"Female",1900,0.866
"85",9,"Female",1900,0.849
"86",10,"Female",1900,0.831
"87",11,"Female",1900,0.811
"88",12,"Female",1900,0.795
"89",13,"Female",1900,0.785
"90",14,"Female",1900,0.778
"91",15,"Female",1900,0.772
"92",16,"Female",1900,0.763
"93",17,"Female",1900,0.759
"94",18,"Female",1900,0.758
"95",19,"Female",1900,0.759
"96",20,"Female",1900,0.76
"97",21,"Female",1900,0.761
"98",22,"Female",1900,0.755
"99",23,"Female",1900,0.739
"100",24,"Female",1900,0.715
"101",25,"Female",1900,0.692
"102",26,"Female",1900,0.669
"103",27,"Female",1900,0.644
"104",28,"Female",1900,0.621
"105",29,"Female",1900,0.597
"106",30,"Female",1900,0.574
"107",31,"Female",1900,0.548
"108",32,"Female",1900,0.528
"109",33,"Female",1900,0.514
"110",34,"Female",1900,0.504
"111",35,"Female",1900,0.494
"112",36,"Female",1900,0.485
"113",37,"Female",1900,0.475
"114",38,"Female",1900,0.461
"115",39,"Female",1900,0.445
"116",40,"Female",1900,0.431
"117",41,"Female",1900,0.416
"118",42,"Female",1900,0.402
"119",43,"Female",1900,0.385
"120",44,"Female",1900,0.369
"121",45,"Female",1900,0.352
"122",46,"Female",1900,0.336
"123",47,"Female",1900,0.322
"124",48,"Female",1900,0.311
"125",49,"Female",1900,0.303
"126",50,"Female",1900,0.296
"127",51,"Female",1900,0.29
"128",52,"Female",1900,0.28
"129",53,"Female",1900,0.267
"130",54,"Female",1900,0.252
"131",55,"Female",1900,0.238
"132",56,"Female",1900,0.223
"133",57,"Female",1900,0.211
"134",58,"Female",1900,0.202
"135",59,"Female",1900,0.197
"136",60,"Female",1900,0.19
"137",61,"Female",1900,0.185
"138",62,"Female",1900,0.178
"139",63,"Female",1900,0.169
