"","x"
"1",-3.282
"2",8.376
"3",-1.546
"4",-0.866
"5",9.627
"6",-2.311
"7",1.653
"8",8.893
"9",1.015
"10",2.041
"11",-0.138
"12",-1.593
"13",0.667
"14",-0.188
"15",0.673
"16",-0.772
"17",2.435
"18",-1.622
"19",-2.378
"20",-7.266
"21",-1.388
"22",1.675
"23",-1.858
"24",-0.785
"25",-2.958
"26",-3.804
"27",3.646
"28",-0.817
"29",2.813
"30",0.071
"31",-0.451
"32",1.95
"33",0.663
"34",5.038
"35",0.965
"36",5.398
"37",1.631
"38",1.844
"39",5.154
"40",-2.988
"41",2.858
"42",1.215
"43",2.495
"44",-4.744
"45",0.205
"46",-0.875
"47",0.661
"48",-0.587
"49",-0.409
"50",-2.21
"51",-0.532
"52",5.888
"53",4.147
"54",2.767
"55",1.382
"56",2.871
"57",0.117
"58",2.177
"59",-5.753
"60",-1.408
"61",-2.821
"62",-0.238
"63",2.767
"64",-1.816
"65",-2.062
"66",7.445
"67",1.06
"68",-0.57
"69",-1.517
"70",0.092
"71",-1.25
"72",-5.891
"73",-2.888
"74",0.592
"75",2.006
"76",2.276
"77",-3.294
"78",-0.521
"79",0.846
"80",-8.551
"81",5.158
"82",4.849
"83",0.123
"84",1.078
"85",-1.622
"86",-2.683
"87",-2.583
"88",-3.766
"89",-2.55
"90",-1.647
"91",-1.536
"92",-4.448
"93",0.865
"94",-1.685
"95",1.177
"96",-0.729
