"","District","Revenue","Mem"
"1","Mosquero",6520,57
"2","Corona",5791,81
"3","Los Alamos",5611,3509.5
"4","Vaughn",4641,111.5
"5","Hondo Valley",3690,157.5
"6","Maxwell",3591,152
"7","Mora",3530,707.5
"8","Roy",3516,113
"9","Logan",3484,278
"10","Cuba",3404,773
"11","Silver City",3391,3837.5
"12","Texico",3335,498
"13","Zuni",3320,1696
"14","Springer",3295,285.5
"15","Jemez Valley",3286,513.5
"16","Ruidoso",3278,2408
"17","Tatum",3266,369
"18","Penasco",3259,709.5
"19","Raton",3249,1479.5
"20","Tularosa",3246,1140.5
"21","Bernalillo",3244,3528.5
"22","Las Vegas West",3241,2130.5
"23","Mesa Vista",3233,572
"24","Hatch",3206,1410.5
"25","Loving",3204,556.5
"26","Mountainair",3195,365
"27","Cobre",3194,2067
"28","Melrose",3187,287.5
"29","Taos",3164,3326.5
"30","Pojoaque",3155,1937.5
"31","Wagon Mound",3154,185
"32","Carlsbad",3152,6690
"33","Clayton",3151,732.5
"34","Espanola",3147,4920.5
"35","Jemez Mountain",3123,415.5
"36","Las Vegas City",3122,2623.5
"37","Ft. Sumner",3100,428
"38","Magdalena",3092,377.5
"39","Jal",3091,534
"40","Cimarron",3088,666.5
"41","Reserve",3087,270
"42","Lordsburg",3074,860.5
"43","Albuquerque",3071,83709.5
"44","Chama",3065,620
"45","San Jon",3059,217.5
"46","Questa",3054,638.5
"47","Santa Fe",3050,3044
"48","Grants",3035,3699
"49","Pecos",3033,878.5
"50","Central",3027,314
"51","Santa Rosa",3011,860
"52","Elida",3006,127
"53","Estancia",3002,950
"54","Dora",2996,254
"55","Roswell",2992,10528.5
"56","Clovis",2983,8639.5
"57","Alamogordo",2982,7824.5
"58","Tucumcari",2975,1526.5
"59","Animas",2975,580.5
"60","Portales",2975,2806.5
"61","Las Cruces",2974,21365.5
"62","Socorro",2968,2204.5
"63","Bloomfield",2968,3358.5
"64","Artesia",2964,3861
"65","Lovington",2963,2909
"66","Capitan",2962,622.5
"67","Rio Rancho",2959,8590.5
"68","Belen",2948,4732.5
"69","Farmington",2948,10153
"70","Truth or Cons.",2945,1771
"71","Aztec",2942,3283.5
"72","House",2936,119
"73","Grady",2915,159.5
"74","Deming",2912,5326
"75","Los Lunas",2887,7946.5
"76","Cloudcroft",2884,545
"77","Dexter",2883,1161.5
"78","Carrizozo",2880,222.5
"79","Moriarty",2870,4643.5
"80","Gallup",2861,13815
"81","Quemado",2858,214.5
"82","Eunice",2849,780
"83","Hobbs",2848,8114.5
"84","Gadsden",2829,12000.5
"85","Lake Arturn",2787,245.5
"86","Dulce",2783,718
"87","Hagerman",2777,475.5
"88","Floyd",2725,261.5
"89","Des Moines",2672,196.5
