"","duration","count"
"1",1.05,0
"2",1.1,0
"3",1.15,0
"4",1.2,0
"5",1.25,0
"6",1.3,0
"7",1.35,0
"8",1.4,0
"9",1.45,0
"10",1.5,0
"11",1.55,0
"12",1.6,0
"13",1.65,2
"14",1.7,1
"15",1.75,5
"16",1.8,3
"17",1.85,5
"18",1.9,4
"19",1.95,3
"20",2,1
"21",2.05,1
"22",2.1,0
"23",2.15,0
"24",2.2,0
"25",2.25,2
"26",2.3,0
"27",2.35,1
"28",2.4,0
"29",2.45,0
"30",2.5,1
"31",2.55,0
"32",2.6,0
"33",2.65,0
"34",2.7,1
"35",2.75,0
"36",2.8,0
"37",2.85,0
"38",2.9,0
"39",2.95,2
"40",3,0
"41",3.05,0
"42",3.1,1
"43",3.15,0
"44",3.2,1
"45",3.25,0
"46",3.3,0
"47",3.35,1
"48",3.4,0
"49",3.45,2
"50",3.5,4
"51",3.55,0
"52",3.6,2
"53",3.65,1
"54",3.7,4
"55",3.75,4
"56",3.8,2
"57",3.85,2
"58",3.9,2
"59",3.95,2
"60",4,5
"61",4.05,4
"62",4.1,5
"63",4.15,2
"64",4.2,2
"65",4.25,3
"66",4.3,1
"67",4.35,4
"68",4.4,2
"69",4.45,1
"70",4.5,3
"71",4.55,2
"72",4.6,6
"73",4.65,3
"74",4.7,1
"75",4.75,1
"76",4.8,0
"77",4.85,1
"78",4.9,0
"79",4.95,1
"80",5,0
"81",5.05,0
"82",5.1,0
"83",5.15,0
"84",5.2,0
"85",5.25,0
"86",5.3,0
"87",5.35,0
"88",5.4,0
"89",5.45,0
"90",5.5,0
"91",5.55,0
"92",5.6,0
"93",5.65,0
"94",5.7,0
"95",5.75,0
"96",5.8,0
"97",5.85,0
"98",5.9,0
"99",5.95,0
