"","x","y"
"1",0.83881,-0.42067
"2",0.56609,-1.26203
"3",0.25186,1.01483
"4",0.5716,-1.94351
"5",0.12607,-0.2111
"6",0.72192,-0.42399
"7",0.42728,-0.32827
"8",0.1272,1.38374
"9",0.51317,4.55934
"10",0.78637,-1.39068
"11",0.93544,-3.20586
"12",0.58246,0.87637
"13",0.67022,0.68982
"14",0.12147,0.83284
"15",0.34203,0.11044
"16",0.02375,0.96971
"17",0.15483,1.09346
"18",0.25029,0.56058
"19",0.66779,-1.37797
"20",0.20272,0.52093
"21",0.31602,1.03093
"22",0.72764,-1.22862
"23",0.27754,1.06582
"24",0.09827,4.20652
"25",0.05229,-0.44988
"26",0.57494,-1.60442
"27",0.31665,1.6126
"28",0.23098,2.13728
"29",0.73794,-1.70405
"30",0.92275,-1.30844
"31",0.7951,-1.33975
"32",0.29625,-0.07963
"33",0.84396,-2.4454
"34",0.04642,2.07374
"35",0.67093,-2.55692
"36",0.15803,1.10197
"37",0.40786,-0.52444
"38",0.848,-1.72503
"39",0.9285,-1.76889
"40",0.14042,2.68297
"41",0.29261,0.9773
"42",0.57536,-3.34296
"43",0.18632,0.5938
"44",0.19225,1.43788
"45",0.92967,-4.40096
"46",0.77105,-2.3159
"47",0.14922,2.70698
"48",0.25584,1.66121
"49",0.31815,1.12971
"50",0.80116,-2.13556
