"","year","thickness"
"1",1945,51.8
"2",1945,54.6
"3",1946,53.2
"4",1946,54.2
"5",1947,53
"6",1947,53
"7",1948,53.6
"8",1948,52.2
"9",1949,53.2
"10",1949,51.6
"11",1950,53.4
"12",1950,51
"13",1951,53.4
"14",1951,54
"15",1952,53.4
"16",1952,54.6
"17",1953,50.6
"18",1953,54.8
"19",1954,52.2
"20",1954,54.6
"21",1955,52.6
"22",1955,54.2
"23",1956,54
"24",1956,53.6
"25",1957,53.6
"26",1957,55
"27",1958,53.2
"28",1958,53.2
"29",1959,56.8
"30",1959,57.2
"31",1960,57
"32",1960,55.2
"33",1961,56.6
"34",1961,57
"35",1962,54.6
"36",1962,56
"37",1963,58
"38",1963,56.2
"39",1964,55
"40",1964,56
"41",1965,56.6
"42",1965,58.2
"43",1966,57.2
"44",1966,56
"45",1967,57.6
"46",1967,55.8
"47",1968,57.2
"48",1968,56
"49",1969,58
"50",1969,56
"51",1970,57.2
"52",1970,55.6
"53",1971,58
"54",1971,55.8
"55",1972,57
"56",1972,57
"57",1973,59
"58",1973,57.6
"59",1974,59
"60",1974,54
"61",1975,54
"62",1975,54.2
"63",1976,53.2
"64",1976,53.2
"65",1977,54
"66",1977,53.2
"67",1978,53
"68",1978,53.6
"69",1979,54
"70",1979,53
"71",1980,53.6
"72",1980,53
"73",1981,54.8
"74",1981,54
"75",1982,54.4
"76",1982,54.6
"77",1983,52.8
"78",1983,52.6
"79",1984,55.2
"80",1984,54
"81",1985,55.6
"82",1985,56
"83",1986,55
"84",1986,53.2
"85",1987,55
"86",1987,54
"87",1988,54
"88",1988,55.6
"89",1989,56.2
"90",1989,54
