"","thick","count"
"1",0.058,0
"2",0.059,0
"3",0.06,1
"4",0.061,0
"5",0.062,0
"6",0.063,0
"7",0.064,2
"8",0.065,1
"9",0.066,1
"10",0.067,0
"11",0.068,1
"12",0.069,7
"13",0.07,26
"14",0.071,20
"15",0.072,32
"16",0.073,11
"17",0.074,10
"18",0.075,20
"19",0.076,18
"20",0.077,11
"21",0.078,23
"22",0.079,42
"23",0.08,37
"24",0.081,15
"25",0.082,18
"26",0.083,7
"27",0.084,3
"28",0.085,2
"29",0.086,2
"30",0.087,1
"31",0.088,2
"32",0.089,10
"33",0.09,9
"34",0.091,3
"35",0.092,5
"36",0.093,6
"37",0.094,3
"38",0.095,2
"39",0.096,3
"40",0.097,7
"41",0.098,5
"42",0.099,6
"43",0.1,15
"44",0.101,9
"45",0.102,8
"46",0.103,7
"47",0.104,2
"48",0.105,5
"49",0.106,4
"50",0.107,3
"51",0.108,7
"52",0.109,7
"53",0.11,11
"54",0.111,4
"55",0.112,5
"56",0.113,0
"57",0.114,3
"58",0.115,3
"59",0.116,0
"60",0.117,1
"61",0.118,0
"62",0.119,4
"63",0.12,3
"64",0.121,1
"65",0.122,2
"66",0.123,2
"67",0.124,0
"68",0.125,2
"69",0.126,0
"70",0.127,0
"71",0.128,1
"72",0.129,3
"73",0.13,1
"74",0.131,1
"75",0.132,0
"76",0.133,0
