"","A","B","C","D","E"
"1","6","1","6","6","6"
"2","6","6","6","2","2"
"3","6","6","6","2","2"
"4","6","1","6","2","2"
"5","2","6","6","2","2"
"6","6","1","6","3","3"
"7","2","1","6","3","3"
"8","6","1","2","4","4"
"9","2","1","6","4","4"
"10","2","1","6","4","4"
"11","6","1","6","5","5"
"12","2","6","6","4","4"
"13","6","6","6","3","3"
"14","6","6","6","3","3"
"15","2","1","6","6","6"
"16","6","2","2","2","2"
"17","2","1","6","6","6"
"18","4","6","6","6","6"
"19","4","6","6","6","2"
"20","4","1","6","3","3"
"21","5","1","2","4","4"
"22","6","1","6","4","4"
"23","6","6","6","3","3"
"24","1","6","6","3","4"
"25","2","2","2","3","4"
"26","2","1","2","3","3"
"27","6","6","6","3","3"
"28","6","6","6","2","2"
"29","6","1","6","6","2"
"30","2","1","6","6","6"
"31","6","1","6","3","3"
"32","2","6","6","4","4"
"33","6","1","6","4","4"
"34","6","2","1","4","4"
"35","2","1","6","4","4"
"36","6","6","2","3","3"
"37","2","2","6","4","4"
"38","2","2","6","2","2"
"39","6","2","6","6","3"
"40","2","2","6","2","2"
"41","1","2","6","2","2"
"42","2","6","6","6","6"
"43","2","1","6","2","3"
"44","6","6","6","2","3"
"45","6","6","2","6","6"
"46","6","1","6","6","6"
"47","2","2","6","3","3"
"48","1","1","1","4","4"
"49","2","6","2","5","5"
"50","6","6","6","4","4"
"51","2","6","1","4","5"
"52","6","1","6","6","3"
"53","6","1","6","3","3"
"54","2","1","1","6","2"
"55","2","6","6","6","6"
"56","6","6","2","6","6"
"57","2","1","6","2","2"
"58","2","1","6","6","6"
"59","2","1","6","2","2"
"60","6","1","6","6","6"
"61","2","6","6","6","6"
"62","6","1","6","2","2"
"63","2","1","6","2","2"
"64","2","2","2","6","6"
"65","2","1","6","4","4"
"66","2","6","6","4","4"
"67","2","1","6","5","4"
"68","6","6","2","4","4"
"69","2","1","6","3","4"
"70","2","1","6","4","4"
"71","6","6","1","3","5"
"72","6","2","6","4","4"
"73","6","6","6","4","4"
"74","6","2","6","6","6"
"75","1","6","6","2","2"
"76","2","6","6","6","6"
"77","2","6","6","6","6"
"78","6","3","6","2","2"
"79","2","6","3","2","2"
"80","2","6","3","6","6"
"81","2","1","6","2","2"
"82","2","6","3","6","6"
"83","6","6","2","6","6"
"84","2","2","1","2","2"
"85","2","2","2","6","6"
"86","2","2","2","6","6"
"87","2","3","1","2","2"
"88","3","2","6","6","6"
"89","3","2","6","6","6"
"90","2","6","1","2","2"
"91","3","6","6","6","6"
"92","2","6","1","2","2"
"93","6","1","6","6","6"
"94","6","1","6","3","3"
"95","6","6","6","5","4"
"96","6","2","6","5","4"
"97","2","6","6","5","4"
"98","6","6","6","4","4"
"99","2","2","1","4","4"
"100","6","6","6","4","4"
"101","6","2","6","3","4"
"102","2","6","6","6","6"
"103","6","6","1","2","2"
"104","2","1","6","6","6"
"105","6","3","6","6","6"
"106","6","6","6","2","2"
"107","2","6","6","6","6"
"108","6","1","6","2","2"
"109","6","1","6","6","6"
"110","2","1","6","2","6"
"111","2","2","6","2","6"
"112","3","2","6","6","6"
"113","4","3","6","2","2"
"114","3","2","6","6","6"
"115","3","2","2","6","2"
"116","1","6","6","2","2"
"117","3","2","6","6","6"
"118","1","2","6","4","4"
"119","2","2","6","4","4"
"120","1","1","6","4","4"
"121","6","6","6","4","4"
"122","1","1","6","4","4"
"123","6","6","6","4","4"
"124","6","1","2","6","6"
"125","1","1","2","3","3"
"126","6","6","6","6","3"
"127","6","2","6","6","6"
"128","2","1","2","2","2"
"129","6","1","6","6","2"
"130","2","1","1","2","2"
"131","6","2","2","6","6"
"132","2","2","6","2","2"
"133","2","1","6","6","6"
"134","2","6","6","2","2"
"135","6","1","2","6","2"
"136","6","1","6","6","2"
"137","1","1","6","2","2"
"138","6","1","2","2","2"
"139","2","2","6","2","2"
"140","6","6","6","2","2"
"141","1","1","2","2","2"
"142","2","1","6","2","2"
"143","1","1","1","2","2"
"144","6","1","6","2","2"
"145","2","6","2","2","2"
"146","6","1","6","3","3"
"147","2","6","2","3","6"
"148","2","1","1","3","4"
"149","2","2","2","5","5"
"150","2","1","6","5","5"
"151","6","6","6","4","5"
"152","6","1","2","5","5"
"153","1","6","2","3","2"
"154","6","6","6","3","4"
"155","6","1","2","3","6"
"156","2","6","6","6","6"
"157","2","1","2","2","2"
"158","6","2","2","6","6"
"159","2","2","6","6","6"
"160","2","2","2","2","2"
"161","2","2","6","2","2"
"162","3","3","6","6","6"
"163","4","3","6","2","2"
"164","4","2","2","2","2"
"165","4","2","2","2","2"
"166","6","2","2","2","2"
"167","4","6","6","6","6"
"168","6","6","6","2","2"
"169","1","6","2","3","3"
"170","6","6","6","2","2"
"171","6","2","6","2","2"
"172","1","1","2","3","3"
"173","6","1","2","6","6"
"174","6","6","6","3","3"
"175","6","1","1","2","2"
"176","6","1","2","2","2"
"177","1","1","1","3","3"
"178","6","6","2","4","4"
"179","2","1","6","4","4"
"180","2","6","6","4","4"
"181","2","1","2","4","4"
"182","6","6","2","5","5"
"183","6","1","6","5","5"
"184","6","6","6","4","4"
"185","6","1","1","4","3"
"186","2","1","2","6","3"
"187","6","6","2","6","6"
"188","6","6","1","2","2"
"189","2","2","6","6","6"
"190","2","1","2","2","2"
"191","6","1","6","6","2"
"192","2","6","2","2","2"
"193","6","6","2","2","6"
"194","2","1","1","2","3"
"195","2","1","1","2","2"
"196","2","2","5","2","2"
"197","6","6","6","2","2"
"198","2","2","3","2","2"
"199","2","6","6","5","5"
"200","2","6","1","5","5"
"201","6","6","6","4","4"
"202","6","1","6","4","4"
"203","6","2","1","5","4"
"204","6","6","2","5","4"
"205","3","1","2","2","3"
"206","2","6","6","6","6"
"207","2","1","1","2","2"
"208","6","1","6","6","6"
"209","2","1","2","6","6"
"210","2","1","6","2","2"
"211","2","6","6","6","6"
"212","2","1","1","2","2"
"213","2","6","6","6","6"
"214","2","1","2","2","2"
"215","6","1","6","2","2"
"216","2","6","2","3","3"
"217","6","6","6","3","3"
"218","2","1","6","4","4"
"219","2","6","6","4","4"
"220","2","6","1","5","5"
"221","6","1","6","4","4"
"222","2","6","1","4","4"
"223","2","1","6","4","4"
"224","6","6","6","3","4"
"225","6","6","2","4","4"
"226","2","1","2","3","3"
"227","6","1","2","6","6"
"228","6","6","1","2","2"
"229","6","6","2","6","6"
"230","2","2","3","2","2"
"231","2","2","6","2","2"
"232","2","2","1","2","2"
"233","3","2","6","2","6"
"234","3","2","1","2","2"
"235","3","2","6","2","2"
"236","4","2","1","2","2"
"237","1","2","6","2","2"
"238","6","2","1","2","2"
"239","6","6","6","2","2"
"240","1","6","6","2","2"
"241","6","6","6","3","3"
"242","6","6","1","4","4"
"243","1","1","1","4","4"
"244","6","6","6","4","4"
"245","1","6","6","4","4"
"246","6","6","6","5","5"
