"","x"
"1",2.928524
"2",3.910021
"3",3.732896
"4",3.688879
"5",3.822098
"6",3.735286
"7",4.143135
"8",4.276666
"9",3.931826
"10",4.077537
"11",4.779123
"12",4.234107
"13",4.276666
"14",4.543295
"15",6.467388
"16",4.127134
"17",3.977811
"18",4.264087
"19",4.007333
"20",3.921973
"21",5.384495
"22",4.912655
"23",4.046554
"24",4.043051
"25",4.406719
"26",4.50535
"27",3.931826
"28",6.75227
"29",6.928538
"30",5.99446
"31",4.248495
"32",4.060443
"33",4.727388
"34",6.047372
"35",4.082609
"36",4.2442
"37",4.890349
"38",4.416428
"39",5.743003
"40",4.127134
"41",5.489764
"42",4.778283
"43",5.249652
"44",4.855929
"45",4.128746
"46",4.442651
"47",4.025352
"48",4.290459
"49",4.593098
"50",4.652054
"51",4.178992
"52",4.382027
"53",5.569489
"54",5.049856
"55",4.188138
"56",6.629363
"57",4.647271
"58",4.784989
"59",4.348987
"60",5.361292
"61",4.574711
"62",4.442651
"63",6.120297
"64",4.060443
"65",4.143135
"66",4.51086
"67",6.049733
"68",4.51086
"69",4.406719
"70",6.34388
"71",4.430817
"72",5.929589
"73",5.973301
"74",4.481872
"75",4.301359
"76",6.45268
"77",4.204693
"78",4.143135
"79",6.603944
"80",4.644391
"81",5.863631
"82",4.025352
"83",5.717028
"84",5.308268
"85",6.267201
"86",4.060443
"87",5.01728
"88",4.51086
"89",5.834811
"90",4.330733
"91",4.007333
"92",6.806829
"93",5.257495
"94",4.624973
"95",4.781641
"96",4.099332
"97",7.044382
"98",3.914021
"99",4.330733
"100",4.016383
"101",5.572154
"102",4.043051
"103",4.843399
"104",4.110874
"105",4.454347
"106",4.356709
"107",6.154858
"108",6.284321
"109",6.978214
"110",4.301359
"111",5.929855
"112",4.465908
"113",6.035481
"114",6.726473
"115",7.10513
"116",6.014937
"117",4.882802
"118",7.032095
"119",4.518522
"120",6.476665
"121",6.125558
"122",4.189655
"123",5.323498
"124",4.938065
"125",6.313548
"126",5.853925
"127",6.278146
"128",7.020191
"129",5.023881
"130",4.26268
"131",6.725634
"132",6.489205
"133",5.743003
"134",6.739337
"135",6.466145
"136",6.855409
"137",5.120983
"138",5.913773
"139",6.516932
"140",4.058717
"141",6.213608
"142",6.554218
"143",6.155707
"144",4.314818
"145",6.662494
"146",6.749931
"147",6.100319
"148",4.112512
"149",6.946014
"150",4.131961
"151",6.234411
"152",6.595781
"153",6.683861
"154",6.957973
"155",4.497585
