"","id","reg","age","sex","hgt","wgt","hgt.z","wgt.z"
"1",100001,"West",13.0951403148528,"boy",175.5,75,1.751,2.41
"2",100003,"West",13.8179329226557,"boy",148.4,40,-2.292,-1.494
"3",100004,"West",13.9712525667351,"boy",159.9,42,-1,-1.315
"4",100005,"West",13.9822039698836,"girl",159.7,46.5,-0.743,-0.783
"5",100006,"West",13.5222450376454,"girl",160.3,47.8,-0.414,-0.355
"6",100018,"East",10.2149212867899,"boy",157.8,39.7,2.025,0.823
"7",100027,"West",14.0041067761807,"boy",175.3,66.7,0.879,1.291
"8",100028,"West",13.8261464750171,"boy",184,80.7,2.118,2.403
"9",100046,"City",9.13347022587269,"boy",134.5,35.5,-0.714,0.801
"10",100052,"North",14.8555783709788,"boy",176,55.8,0.309,-0.229
"11",100054,"North",14.839151266256,"boy",169,69.4,-0.562,1.061
"12",100055,"North",15.1184120465435,"boy",181.5,64.3,0.833,0.472
"13",100057,"North",15.6440793976728,"boy",178,63.4,0.082,0.128
"14",100058,"North",15.5044490075291,"boy",183,67.4,0.797,0.568
"15",100059,"North",15.6112251882272,"boy",179.8,63.5,0.332,0.153
"16",100060,"North",14.54893908282,"girl",172.8,67.1,0.998,1.266
"17",100062,"City",10.7953456536619,"boy",142.3,34.7,-0.709,-0.306
"18",100069,"City",9.42642026009582,"boy",141,45.2,0.088,1.944
"19",100074,"North",7.38672142368241,"girl",125.2,22.3,-0.443,-1.009
"20",100075,"North",7.56194387405886,"boy",135.5,26.9,0.947,0.076
"21",100078,"West",18.2724161533196,"boy",185.5,66,0.382,-0.493
"22",100083,"City",7.08829568788501,"girl",126.4,25,0.124,0.013
"23",100087,"North",15.5592060232717,"boy",176,66.5,-0.134,0.462
"24",100088,"North",15.337440109514,"boy",170,52,-0.773,-0.949
"25",100094,"West",9.492128678987,"boy",146.4,45.5,0.881,1.941
"26",100095,"West",13.3552361396304,"girl",155.7,40.5,-0.99,-1.268
"27",100098,"West",12.4079397672827,"boy",159.5,48,0.363,0.543
"28",100099,"West",10.0205338809035,"girl",138.3,30,-0.796,-0.824
"29",100101,"West",5.83162217659138,"girl",113.1,18,-0.913,-1.276
"30",100102,"West",15.6632443531828,"girl",162.5,50,-0.858,-1.028
"31",100110,"North",16.0136892539357,"boy",182,74.4,0.425,0.973
"32",100111,"North",13.3716632443532,"girl",164,47.5,0.229,-0.306
"33",100113,"North",12.9281314168378,"boy",156.3,41.1,-0.522,-0.688
"34",100115,"North",12.8569472963723,"girl",152.8,39.6,-1.071,-1.058
"35",100116,"North",12.7063655030801,"girl",162.2,46.1,0.427,-0.088
"36",100117,"South",13.3744010951403,"boy",164.7,48.4,0.129,-0.071
"37",100118,"South",13.0485968514716,"girl",176.2,61.7,2.234,1.295
"38",100119,"South",14.6611909650924,"boy",171.9,120.2,-0.066,4.161
"39",100120,"South",15.5345653661875,"boy",174.3,57,-0.342,-0.487
"40",100121,"North",5.64271047227926,"girl",115.8,20.5,-0.103,-0.113
"41",100124,"North",13.9822039698836,"girl",150.5,35.7,-2.118,-2.596
"42",100125,"North",13.845311430527,"girl",169.5,57.7,0.791,0.612
"43",100126,"North",13.8206707734428,"boy",167.9,49.9,0.125,-0.208
"44",100127,"North",14.0752908966461,"boy",159.2,41.8,-1.175,-1.419
"45",100128,"North",14.0561259411362,"boy",162.5,56.6,-0.75,0.349
"46",100129,"North",14.321697467488,"girl",168.7,68,0.467,1.405
"47",100132,"West",7.72621492128679,"girl",126.8,25,-0.528,-0.483
"48",100134,"North",15.5208761122519,"girl",166.8,51.4,-0.177,-0.775
"49",100135,"North",13.0759753593429,"girl",170,59,1.303,1.051
"50",100136,"North",13.6180698151951,"girl",172.5,63.2,1.351,1.211
"51",100137,"North",12.807665982204,"boy",157.7,39.9,-0.236,-0.779
"52",100138,"North",13.0212183436003,"boy",155,39.1,-0.768,-1.044
"53",100139,"North",12.829568788501,"boy",163.2,40.4,0.447,-0.721
"54",100140,"North",12.8651608487337,"girl",159,50.1,-0.166,0.277
"55",100142,"North",13.0020533880903,"girl",165.5,42.3,0.685,-0.767
"56",100143,"North",13.1444216290212,"girl",163.5,46.5,0.3,-0.3
"57",100145,"North",11.9780971937029,"girl",147.8,34.8,-1.074,-1.18
"58",100146,"South",13.6646132785763,"girl",160.4,42.3,-0.473,-1.2
"59",100147,"South",14.0369609856263,"girl",164.4,47.5,-0.064,-0.674
"60",100148,"North",5.43463381245722,"girl",113.4,20.8,-0.309,0.186
"61",100149,"North",5.1088295687885,"girl",110,17.5,-0.554,-0.828
"62",100153,"City",10.9486652977413,"boy",149,38,0.147,0.15
