"","ID","CNo","XCOO","YCOO","SiO2_T","TiO2_T","Al2O3_T","Fe2O3_T","MnO_T","MgO_T","CaO_T","Na2O_T","K2O_T","P2O5_T","SO3_T","Cl_T","F_T","LOI_T","As_T","Ba_T","Bi_T","Ce_T","Co_T","Cr_T","Cs_T","Cu_T","Ga_T","Hf_T","La_T","Mo_T","Nb_T","Ni_T","Pb_T","Rb_T","Sb_T","Sc_T","Sn_T","Sr_T","Ta_T","Th_T","U_T","V_T","W_T","Y_T","Zn_T","Zr_T"
"1",5001,60,-619656.5,6805304.1,43.61,1.29,13.07,12.25,0.167,3.22,2.48,1.14,2.01,0.481,0.005,0.018,0.038,19.86,28,575,1.5,62,38,44,5,100,22,2.5,48,34,10,31,69,135,5,15,1,133,2.5,7,7,133,18,35,253,194
"2",5002,120,214714.1,7745546.6,58.73,0.913,14.78,6.48,0.105,2.47,3.08,2.19,1.78,0.298,0.005,0.008,0.061,8.81,7,452,4,39,11,89,2.5,178,18,2.5,10,9,3,17,15,77,2.5,19,4,183,2.5,2.5,1.5,126,2.5,26,83,201
"3",5003,33,-368415.5,7065039.2,58.14,0.902,11.89,5.7,0.126,2.44,3.17,2.13,1.16,0.408,0.11,0.007,0.089,13.44,6,226,1.5,53,13,105,2.5,39,15,7,10,19,17,35,13,35,2.5,17,4,183,2.5,7,5,107,2.5,20,105,162
"4",5004,39,226609,6922431,43.98,0.524,10,4.08,0.052,1,1.37,1.6,1.82,0.395,0.005,0.006,0.01,34.9,7,406,3,83,1.5,54,7,44,14,2.5,46,2,11,13,20,81,2.5,14,1,131,2.5,6,5,66,6,20,61,181
"5",5005,103,544050,7808760,60.9,0.702,13.2,6.37,0.079,2.59,3.13,2.97,1.35,0.139,0.005,0.015,0.022,8.23,2,460,5,31,15,144,2.5,32,16,2.5,10,16,1,45,7,48,2.5,16,1,239,2.5,2.5,1.5,123,2.5,15,58,179
"6",5006,42,379548,6925430,54,0.575,11.24,3.91,0.11,1.14,2.38,2.43,2.11,0.312,0.03,0.016,0.01,21.51,6,540,1.5,46,4,42,2.5,42,11,2.5,44,1,13,8,10,74,9,10,3,189,2.5,9,1.5,113,2.5,17,50,198
"7",5007,23,273624.6,6312364.8,82.72,0.311,6.14,1.51,0.055,0.5,1.18,0.72,2.09,0.122,0.02,0.015,0.01,4.35,3,330,1.5,40,1.5,28,2.5,57,6,2.5,10,1,5,1.5,7,57,2.5,6,1,75,2.5,10,1.5,11,2.5,11,29,245
"8",5008,20,177877.6,6326128.4,83.17,0.316,6.25,1.47,0.054,0.3,0.57,0.76,2.02,0.136,0.005,0.01,0.01,4.71,1,354,1.5,32,6,22,2.5,24,8,6,10,1,3,1.5,19,60,2.5,5,3,61,2.5,12,1.5,14,2.5,11,33,271
"9",5009,24,-391154.2,6767421.3,63.67,0.736,13.61,4.52,0.142,1.16,1.12,2.56,3.14,0.333,0.005,0.022,0.01,8.62,6,563,1.5,115,13,58,2.5,32,19,2.5,74,1,48,23,27,120,2.5,10,2,128,2.5,14,1.5,91,2.5,23,116,356
"10",5010,283,619052,7120450,22.29,0.161,3.69,1.19,0.028,0.97,2.8,0.91,0.49,0.672,0.18,0.014,0.084,66.34,1,217,1.5,53,1.5,47,2.5,32,4,2.5,30,1,7,14,2,17,2.5,4,1,195,2.5,2.5,1.5,34,2.5,7,10,33
