"","ID","XCOO","YCOO","Ag","Al","As","B","Ba","Be","Bi","Ca","Cd","Co","Cr","Cu","Fe","Hg","K","La","Mg","Mn","Mo","Na","Ni","P","Pb","Rb","S","Sb","Sc","Si","Sr","Th","Tl","U","V","Y","Zn","C","H","N","LOI","pH","Cond"
"1",1,547960,7693790,0.124,1420,0.743,2.51,74,0.02,0.108,3900,0.298,1.28,3.04,10.9,2050,0.155,1100,2.3,820,202,0.662,40,9.41,743,15.9,8.14,1300,0.12,0.6,630,22.2,0.413,0.081,0.24,6.79,0.8,59.1,39.9,5.5,1.2,82.2,3.9,140.1
"2",2,770025,7679170,0.13,7190,0.973,3.45,65.2,0.08,0.084,1900,0.39,3.37,2.02,12.3,3170,0.263,900,6.4,670,22.8,0.286,120,14.8,1030,13.9,2.82,1950,0.161,1.2,640,34.4,0.281,0.068,0.12,3.89,2.4,18.1,47.5,6.8,1.5,94.7,4.1,100.4
"3",3,498651,7668150,0.124,1970,1.1,1.62,121,0.04,0.137,3240,0.295,0.98,1.33,5.59,1100,0.168,1000,1.7,790,70.3,0.166,30,5.05,922,19,4.45,1750,0.25,0.4,580,43.4,0.246,0.077,0.042,2.86,0.5,67.6,44.2,6.3,1.5,95.4,3.8,122.6
"4",4,795152,7569390,0.309,6360,1.24,1.59,63.5,0.07,0.135,2470,0.222,3.91,17,29.8,6180,0.175,900,5.3,1180,118,0.28,150,59.5,717,16.3,8.13,965,0.017,1.4,690,29.2,0.816,0.099,0.163,16.1,1.9,43.3,19.4,3,0.7,52.7,4,106.3
"5",5,437050,7855900,0.04,630,0.533,4.33,36,0.01,0.076,3500,0.214,0.43,0.79,6.23,790,0.197,700,1.2,1770,24.4,0.248,410,1.98,795,14.3,2.67,1860,0.169,0.2,440,46.4,0.25,0.06,0.127,1.63,0.8,41.4,45.8,6.1,1.5,95.3,4.1,107.5
"6",6,752106,7626020,0.421,2060,1.54,1.93,111,0.07,0.176,3340,0.327,4.61,3.78,47.3,3370,0.239,1200,7,800,86.1,0.473,60,78,942,21.7,5.23,1410,0.217,0.7,530,67.9,0.432,0.084,0.112,7.4,1.6,46,47.8,5.8,1.3,91.3,3.7,151.6
"7",7,531687,7630820,0.235,1200,0.836,2.51,109,0.01,0.145,3010,0.294,0.75,2.01,8.66,1150,0.233,1000,1.5,660,1210,0.185,10,5.7,1120,15.2,4.94,1880,0.189,0.4,650,20.7,0.371,0.088,0.051,3.55,0.5,103,45.7,6.5,1.7,92,4,152.8
"8",8,537800,7882500,0.043,1510,0.657,4.46,24.5,0.05,0.075,3090,0.18,0.55,1.63,5.55,1800,0.217,600,2.9,1750,16.7,0.372,320,2.19,790,11.6,2.33,2210,0.126,0.6,490,59.1,0.535,0.042,0.265,2.57,1.8,21.5,47.3,6.4,1.5,92.6,4.2,86.4
"9",9,752013,7686450,0.07,3380,1.75,5.08,42.2,0.06,0.259,1760,0.295,1.68,10.9,10,4820,0.238,800,6.3,820,39.2,0.277,110,11.7,779,284,4.07,1260,0.809,1.1,630,28.8,1.13,0.084,0.221,13.9,1.7,23.2,29.5,4.4,0.7,64.1,4,83.5
"10",10,688999,7610300,0.086,1320,1.04,2.1,51.4,0.01,0.112,2810,0.284,1.12,1.71,9.25,970,0.229,1000,1.2,570,115,0.15,50,13.2,745,14.1,5.35,1250,0.202,0.3,560,23.2,0.109,0.097,0.031,2.76,0.4,38.5,46.8,6.5,1,94.3,3.6,149.2
"11",11,489804,7652010,0.137,2420,0.938,2.18,103,0.06,0.126,3790,0.304,1.36,2.2,5.69,1570,0.282,700,1.9,690,184,0.315,20,5.27,869,18.1,3.69,1350,0.165,0.7,660,27.7,0.354,0.108,0.061,3.37,0.8,53.6,44.3,6.1,1.1,88.6,3.7,134.8
"12",12,718237,7623810,0.162,1650,0.979,1.55,56.7,0.01,0.144,2840,0.201,2.53,3.55,31.3,1500,0.183,1100,1.8,690,373,0.283,50,53.8,1160,19.2,5.91,1650,0.184,0.4,740,20.9,0.158,0.071,0.046,6.21,0.7,67.2,42.8,6.3,1.6,92.4,3.9,159.9
"13",13,427280,7487780,0.607,1620,1.15,2.15,99.7,0.03,0.288,3460,0.422,1.17,2.97,6.93,1380,0.275,1000,1.2,590,456,0.283,20,4.05,968,27.9,5.98,1360,0.302,0.6,700,22.6,0.348,0.121,0.101,5.71,0.7,69.4,35.9,5.2,1,84.8,3.8,139.9
"14",16,597300,7699300,0.141,1400,1.79,1.81,64.6,0.01,0.137,2040,0.165,1.84,2.85,30.1,1750,0.246,700,1.1,480,130,0.218,70,43.3,798,18.3,4.92,1480,0.166,0.5,630,19,0.23,0.044,0.049,4.37,0.5,70.8,34.9,5,1.2,85.3,3.6,132.7
"15",17,667085,7683130,0.119,1540,2.05,3.37,73.1,0.03,0.106,3490,0.264,4.85,3.16,47.5,2160,0.201,900,2,980,182,0.345,50,100,877,13.4,4.09,1750,0.145,0.5,640,28.7,0.368,0.078,0.065,5.12,0.8,41,43.7,6.3,1.3,91.7,3.9,124.3
"16",18,594611,7550950,0.514,1540,1.39,1.57,89.4,0.02,0.199,1990,0.5,1.29,4.87,9.15,1290,0.191,1100,1.2,760,159,0.343,30,9.28,881,28.4,5.02,1370,0.243,0.3,600,24.9,0.187,0.128,0.046,4.45,0.4,56.8,40.3,5.6,1.3,91,3.8,148.6
"17",19,514744,7584690,0.265,6030,1.19,1.84,127,0.07,0.174,1180,0.257,1.53,7.99,10,6390,0.153,1200,9.3,780,171,0.262,30,8.78,566,25.8,9.8,731,0.054,1.4,840,16.2,1.81,0.249,0.149,14.3,2.2,44.9,19.2,2.8,0.6,53.2,3.8,96
"18",20,710133,7566830,0.392,2650,0.949,2.07,70.2,0.04,0.166,2730,0.262,2.01,6.27,21.1,3740,0.175,1300,2.4,910,445,0.249,60,30.7,1140,23.4,10.8,1320,0.084,0.6,700,20.8,0.439,0.195,0.081,9.75,1.2,53,26.6,3.8,1,70.2,4,148.5
"19",21,439900,7647000,0.169,2640,0.905,1.57,83.7,0.04,0.094,2580,0.168,0.75,5.82,4.55,2020,0.251,700,1.7,670,87.5,0.088,50,3.7,789,13.9,4.33,1150,0.066,0.8,650,30.3,0.308,0.053,0.076,7.48,0.8,23.9,32.3,4.7,1,73.6,3.9,94.6
"20",22,734135,7667800,0.43,2270,1.12,2.58,59.6,0.07,0.122,2900,0.275,1.98,5.86,23,3730,0.269,1100,6,850,173,0.387,90,34.2,1220,19,6.47,1640,0.17,0.6,680,44.7,0.377,0.094,0.097,16.1,1.4,40,42.1,5.8,1.3,86.1,3.9,133.1
"21",23,787098,7496090,0.633,2700,1.6,2.7,98.6,0.09,0.198,4600,0.363,3.94,4.05,36.9,2840,0.272,1300,10.6,740,120,0.561,60,70.6,1070,26.6,8.43,1620,0.319,0.6,610,90.5,0.338,0.137,0.158,8.66,2.4,33.1,45.3,5.9,1.2,90.8,3.9,154.6
"22",24,624400,7538200,0.453,2770,0.791,2.45,82.2,0.04,0.134,2390,0.241,0.87,6.91,8.31,1840,0.202,700,1.3,450,270,0.185,60,8.26,822,18,5.79,977,0.131,0.5,730,26.9,0.289,0.104,0.155,4.84,0.9,61.6,27.4,3.7,0.9,65.4,3.7,107
"23",25,627700,7481300,0.136,1740,0.942,1.4,61.1,0.02,0.15,2360,0.189,0.82,4.14,8.39,1800,0.182,1000,1.8,480,256,0.21,30,7.27,909,23.4,7.07,1240,0.175,0.5,680,22.5,0.32,0.09,0.072,5.53,0.6,70.6,29,4.2,1,73.4,3.8,136.9
"24",26,386646,7541800,0.222,921,0.881,1.35,100,0.02,0.23,3250,0.321,0.91,1.56,7.91,1170,0.193,900,0.8,680,137,0.236,40,3.44,1040,18.7,8.64,1570,0.235,0.4,460,22.3,0.165,0.102,0.077,5.46,0.4,76.4,48.8,6.6,1.4,93.8,3.7,164.8
"25",27,713892,7739710,0.052,944,1.06,3.72,37.4,0.01,0.093,3870,0.328,1.08,1.05,10.2,940,0.32,600,0.9,1680,32.6,0.175,180,13.3,829,12.6,1.67,2110,0.205,0.3,440,49,0.124,0.041,0.051,2.2,0.3,61.8,47.4,6.3,1.5,97.1,4.2,155.5
"26",28,579500,7654700,0.211,1390,1.12,1.84,99.6,0.01,0.147,3230,0.181,0.87,2.02,10.4,1620,0.222,800,1.9,750,134,0.166,60,11.2,772,19.3,5.86,1280,0.301,0.6,640,24.5,0.533,0.082,0.06,3.92,0.6,45.7,44.8,6,1.1,88.9,3.5,139.9
"27",31,729575,7461950,0.3,5010,1.65,2.15,145,0.24,0.331,2670,0.369,4.5,9.32,25.4,6900,0.133,900,6.8,970,165,0.351,100,35.5,560,51.5,9.77,581,0.674,1.2,630,37.6,0.681,0.169,0.202,15.3,1.8,57.4,22,2.8,0.7,65.3,4,99.9
"28",32,626978,7706730,1.08,3620,43.5,3.11,61,0.08,0.665,1940,0.447,56.7,109,2450,30700,0.763,500,3.9,3200,108,4.78,150,1220,847,26,3.21,3320,0.044,2.2,750,14.4,0.902,0.12,0.264,35.9,2.3,32.8,27.9,4.1,1,62.5,3.5,209
"29",33,649400,7728000,0.095,1460,3.08,2.29,58,0.04,0.177,3140,0.293,5.86,6.12,83.9,3150,0.228,700,2.4,1100,64.6,0.299,80,164,758,20.1,2.45,1700,0.134,0.7,630,35.3,0.47,0.055,0.119,9.39,0.9,37.3,36,5,1.3,81.6,3.8,99.8
"30",34,454319,7582990,0.258,3420,1.26,1.13,57.1,0.1,0.162,2100,0.326,1.95,4.35,7.87,3800,0.249,900,2.4,700,67.7,0.189,30,8.78,1080,20.4,7.72,1470,0.104,1,650,16.1,0.38,0.093,0.212,6.32,1.8,44.8,35.8,5,1.1,88.5,3.6,149.7
"31",35,768134,7543220,0.243,3320,1.83,2.86,88.1,0.25,0.175,3870,0.32,7.29,4.52,99.7,3270,0.244,1400,11.1,650,259,2.55,50,161,1130,18.6,12.9,1580,0.159,0.5,720,217,0.679,0.074,0.304,6.94,2.4,73.6,42.8,6,1.4,88.8,4,159.3
"32",36,487156,7769500,0.031,1940,0.868,3.24,85.6,0.01,0.099,3410,0.164,0.83,3.75,7.72,2550,0.208,1000,2.2,970,94.1,0.136,50,4.3,853,14.2,3.45,1650,0.122,0.6,700,37,0.51,0.043,0.06,5.84,0.9,94.2,36.3,5.1,1.2,85.6,3.9,103.5
"33",37,677976,7636660,0.133,538,0.694,2.24,59.4,0.01,0.143,2650,0.245,1.34,1.83,21.1,900,0.131,1100,1,680,300,0.21,30,25.8,984,18.7,4.83,1530,0.218,0.2,590,19.1,0.114,0.084,0.041,3.48,0.3,59.5,45.7,6.6,1.3,96.7,3.8,149.3
