"","ID","XCOO","YCOO","Ag","Al","As","B","Ba","Bi","Ca","Cd","Co","Cr","Cu","Fe","Hg","K","Mg","Mn","Mo","Na","Ni","P","Pb","Rb","S","Sb","Si","Sr","Th","Tl","U","V","Zn"
"1",1,547960.4,7693790,0.016,71.2,0.123,1.74,14,0.002,2310,0.064,0.29,0.32,5.63,96.5,0.044,4360,1110,585,0.052,62.9,4.45,1110,1.5,15.1,783,0.015,78.9,5.61,0.007,0.022,0.007,0.53,29.3
"2",2,770024.8,7679167,0.073,245,0.299,2.77,17.4,0.039,2460,0.145,0.85,0.99,20.4,359,0.062,4040,1530,148,0.113,217,18.1,1310,4.61,4.56,880,0.069,230,12.2,0.028,0.025,0.013,9.92,34.1
"3",3,498650.6,7668151,0.032,103,0.176,1.89,20.9,0.012,3430,0.058,0.28,0.44,6.65,122,0.069,4060,1280,586,0.062,30.1,4.05,1470,2.43,8.44,809,0.035,110,9.97,0.013,0.018,0.005,1.12,59.1
"4",4,795151.9,7569386,0.118,307,0.423,2.3,21.8,0.033,2860,0.148,1.66,0.75,41.7,350,0.077,4770,1030,392,0.168,61.4,37,1320,3.83,18.3,894,0.064,268,17.6,0.046,0.046,0.023,3.13,33.5
"5",5,437050,7855900,0.038,253,0.119,4.65,31.1,0.002,3190,0.045,0.34,0.39,3.85,395,0.062,4220,2010,131,0.122,232,1.6,1040,2.65,5.89,714,0.022,347,26,0.202,0.027,0.136,0.98,20.9
"6",6,752105.9,7626023,0.106,238,0.342,2.18,19.9,0.052,2660,0.24,1.8,0.99,28.9,698,0.052,5560,1320,297,0.174,150,34.9,1520,3.18,14.6,953,0.067,222,15.2,0.032,0.047,0.016,3.7,29.6
"7",7,531687.1,7630816,0.036,257,0.259,1.55,24.9,0.02,2750,0.108,0.5,0.79,7.79,268,0.098,4260,1240,1120,0.08,39.4,5.35,1640,3.5,9.38,976,0.077,272,6.35,0.037,0.02,0.008,1.63,34.9
"8",8,537800,7882500,0.018,177,0.157,7.08,15.3,0.009,4120,0.098,0.25,0.39,5.9,246,0.075,3280,1740,123,0.15,302,1.97,905,3.03,2.77,822,0.104,204,27.8,0.048,0.018,0.088,1.13,22.3
"9",9,752012.5,7686449,0.089,531,0.272,1.74,31.7,0.027,2890,0.187,1.11,2.26,20.1,874,0.074,5140,1250,155,0.145,205,23.4,1390,9.44,7.91,983,0.114,324,27.4,0.053,0.024,0.025,23.6,40.4
"10",10,688999.4,7610298,0.036,146,0.172,1.41,15.5,0.014,2940,0.089,0.55,0.62,10.6,188,0.065,4660,1320,681,0.097,156,9.9,1630,1.92,8.77,984,0.102,139,7.47,0.013,0.014,0.006,1.48,44.7
