"","contraction","expanded"
"1","'cause","because"
"2","'tis","it is"
"3","'twas","it was"
"4","ain't","am not"
"5","aren't","are not"
"6","can't","can not"
"7","could've","could have"
"8","couldn't","could not"
"9","didn't","did not"
"10","doesn't","does not"
"11","don't","do not"
"12","hasn't","has not"
"13","he'd","he would"
"14","he'll","he will"
"15","he's","he is"
"16","how'd","how did"
"17","how'll","how will"
"18","how's","how is"
"19","I'd","I would"
"20","I'll","I will"
"21","I'm","I am"
"22","I've","I have"
"23","isn't","is not"
"24","it'll","it will"
"25","it's","it is"
"26","let's","let us"
"27","might've","might have"
"28","mightn't","might not"
"29","must've","must have"
"30","mustn't","must not"
"31","shan't","shall not"
"32","she'd","she would"
"33","she'll","she will"
"34","she's","she is"
"35","should've","should have"
"36","shouldn't","should not"
"37","that'll","that will"
"38","that's","that is"
"39","there'll","there will"
"40","there's","there is"
"41","they'd","they would"
"42","they'll","they will"
"43","they're","they are"
"44","they've","they have"
"45","wasn't","was not"
"46","we'd","we would"
"47","we'll","we will"
"48","we're","we are"
"49","we've","we have"
"50","weren't","were not"
"51","what's","what is"
"52","what'd","what did"
"53","when'd","when did"
"54","when'll","when will"
"55","when's","when is"
"56","where'll","where will"
"57","where's","where is"
"58","who'd","who would"
"59","who'll","who will"
"60","who's","who is"
"61","why'd","why did"
"62","why'll","why will"
"63","why's","why is"
"64","won't","will not"
"65","would've","would have"
"66","wouldn't","would not"
"67","you'd","you would"
"68","you'll","you will"
"69","you're","you are"
"70","you've","you have"
