"","L-CV","L-skewness","L-kurtosis"
"1578500",0.4958,0.4844,0.3348
"1580000",0.2878,0.3443,0.2431
"1582000",0.304,0.3009,0.2183
"1583000",0.3147,0.3548,0.2512
"1583500",0.4872,0.5545,0.4564
"1584500",0.3812,0.2951,0.1519
"1585100",0.3992,0.3746,0.2912
"1585200",0.3555,0.2613,0.0717
"1585300",0.3218,0.2961,0.2835
"1585400",0.4746,0.5598,0.4086
"1585500",0.5376,0.4915,0.2311
"1586000",0.4283,0.6113,0.5218
"1587500",0.4874,0.5857,0.4366
"1588000",0.5377,0.5678,0.447
"1589100",0.297,0.4479,0.3373
"1589300",0.4945,0.5777,0.4162
"1589330",0.3861,0.5167,0.3361
"1589440",0.5978,0.7086,0.5486
"1591000",0.5539,0.5942,0.4309
"1593500",0.4134,0.4896,0.3047
"1613900",0.3665,0.1977,0.1804
"1615000",0.3939,0.4013,0.3245
"1616000",0.3297,0.2297,0.1262
"1620500",0.5448,0.5875,0.425
"1621000",0.3934,0.5723,0.5101
"1621200",0.3689,0.3675,0.3268
"1622000",0.436,0.5363,0.4384
"1622400",0.3511,0.4045,0.2726
"1624300",0.4645,0.5876,0.5897
"1624800",0.2224,-0.1796,0.144
"1625000",0.4135,0.3727,0.2564
"1626000",0.4978,0.4996,0.2836
"1627500",0.418,0.2837,0.1574
"1628500",0.4097,0.4074,0.2402
"1629500",0.436,0.4547,0.2933
"1629945",0.4341,0.2485,0.0648
"1631000",0.4256,0.4074,0.2243
"1632000",0.4009,0.3659,0.2574
"1632300",0.5392,0.5024,0.3746
"1632900",0.3986,0.3117,0.1946
"1632970",0.3566,0.256,0.1623
"1633000",0.3896,0.4329,0.3692
"1633500",0.3635,0.2907,0.1257
"1633650",0.4449,0.4081,0.2392
"1634000",0.4195,0.4786,0.3925
"1634500",0.4468,0.4553,0.3555
"1635500",0.4523,0.5353,0.427
"1636210",0.3339,0.3143,0.1221
"1638480",0.4486,0.4663,0.3873
"1638500",0.2987,0.3128,0.271
"1639500",0.3787,0.5601,0.5219
"1640000",0.4639,0.4501,0.2809
"1640500",0.5189,0.4502,0.1929
"1641000",0.3186,0.192,0.1306
"1641500",0.5571,0.592,0.4191
"1643000",0.2781,0.3349,0.2842
"1643500",0.4705,0.6372,0.5152
"1643700",0.4228,0.3778,0.2394
"1644000",0.4591,0.5334,0.4074
"1645000",0.4771,0.5796,0.3946
"1645200",0.4237,0.4276,0.341
"1646000",0.4691,0.6327,0.5324
"1646550",0.3412,0.181,0.1516
"1649500",0.3136,0.2991,0.2275
"1650500",0.4085,0.5452,0.402
"1652500",0.387,0.3647,0.2721
"1653000",0.3262,0.3626,0.3744
"1654000",0.4157,0.3968,0.2338
"1655500",0.4781,0.39,0.2366
"1656000",0.3969,0.4726,0.433
"1656200",0.2901,0.1422,0.2122
"1656500",0.4763,0.563,0.4612
"1657000",0.4044,0.5411,0.5494
"1658500",0.4752,0.5254,0.4407
"1662000",0.4085,0.4872,0.3984
"1662800",0.47,0.5064,0.2706
"1663500",0.4314,0.4888,0.2732
"1664000",0.381,0.5102,0.3965
"1665000",0.4888,0.5025,0.2407
"1665050",0.3791,0.2629,0.1391
"1665500",0.4684,0.4451,0.2725
"1666500",0.4271,0.4216,0.2849
"1667000",0.4505,0.5083,0.3879
"1667500",0.4133,0.4492,0.3323
"1668000",0.3053,0.3357,0.3028
"2027500",0.6022,0.6822,0.5765
"2027800",0.5326,0.4896,0.3184
"2028500",0.5356,0.6149,0.5058
"2028700",0.4948,0.4193,0.3024
"2029200",0.7136,0.7417,0.5698
"2030000",0.5301,0.5801,0.4513
"2030500",0.4006,0.5397,0.4081
"2031500",0.3924,0.3462,0.1352
"2032700",0.3202,0.3432,0.1907
"2034000",0.4168,0.4148,0.2611
"2034500",0.4121,0.4376,0.225
"2036500",0.5401,0.4488,0.1967
"2038800",0.4763,0.5626,0.412
"2038850",0.6638,0.6815,0.4985
"2039000",0.4164,0.3314,0.229
"2039500",0.3978,0.3525,0.2188
"2040000",0.3636,0.412,0.2598
"2041000",0.423,0.3251,0.1392
"2041500",0.2306,0.4244,0.3813
