"","POP","MOR","CAR","DR","GNP","DEN","TB"
"Afganistan",17.67,205,0.2,0.07,0.08,27.18,0.5
"Argentina",30.1,36,16.5,2.38,0.13,10.83,0.64
"Australia",15.54,10,53.5,1.79,9.94,2.02,0.51
"Austria",7.55,12,34.5,2.78,7.24,89.88,0.44
"Bangladesh",96.73,133,0.05,0.14,0.13,676.43,0.31
"Barbados",0.25,23,9.8,0.86,4.22,625,0.37
"Belgium",9.88,11,36.6,2.7,6.72,318.71,0.48
"Brasil",132.58,71,8.8,0.88,0.29,15.58,0.57
"Bulgaria",8.96,17,10.7,2.54,2.66,80.72,0.5
"Cameroon",9.47,117,0.5,0.07,0.7,19.98,0.44
"Canada",25.13,9,57.5,1.82,12.03,2.52,0.54
"Chile",11.85,24,7.5,0.62,0.06,15.97,0.53
"China",1051.55,38,0.09,1.27,0.16,107.52,0.47
"Cyprus",0.65,17,16.3,0.94,2.63,72.22,0.3
"Danmark",5.11,8,32,2.07,8.96,118.84,0.49
"Dominican_Rep.",6.1,64,1.8,0.25,1.41,127.08,0.38
"Ecuador",9.12,77,4.1,0.62,0.91,33.65,0.6
"Egypt",45.66,113,1.8,1.32,0.77,45.66,0.24
"El_Salvador",5.39,44,3.2,0.37,0.72,256.67,0.45
"Ethiopia",35.42,143,0.13,0.01,0.13,28.63,0.32
"Finland",4.88,6,32.9,2.08,8.63,14.48,0.52
"France",54.94,9,43.3,2.08,7.47,99.53,0.47
"Greece",9.9,16,16.4,2.54,2.41,74.44,0.34
"Guatemala",7.6,66,2.7,0.46,1.19,69.72,0.51
"Haiti",5.19,108,0.3,0.12,0.19,185.36,0.3
"Honduras",4.23,82,1.5,0.32,0.7,37.77,0.47
"Hungary",10.67,19,13.2,2.56,1.35,114.73,0.51
"Iceland",0.24,7,39.5,2.14,5.76,2.33,0.47
"India",746.74,118,0.3,0.39,0.21,228.5,0.4
"Indonesia",159.9,87,1.1,0.09,0.41,84.16,0.61
"Iran",43.41,101,4.1,0.39,2.64,26.34,0.53
"Iraq",15.16,72,2.6,0.56,3.06,34.93,0.33
"Ireland",3.54,10,22.7,1.29,4.1,50.57,0.5
"Israel",4.19,15,7.7,2.66,0.57,199.52,0.37
"Italy",56.98,14,39,2.89,4.89,189.3,0.47
"Japan",120.02,7,36,1.36,9.12,325.26,0.56
"Jordan",3.38,63,3.7,0.76,1.09,35.21,0.2
"Korea",40.58,29,1.9,0.69,1.78,335.37,0.49
"Madagaskar",9.73,67,0.7,0.1,0.19,16.58,0.43
"Malta",0.38,15,20.8,1.15,2.45,1266.67,0.35
"Mexico",76.79,53,9.1,0.37,1.16,38.98,0.72
"Morocco",22.85,99,3,0.06,0.44,51.12,0.36
"Netherlands",14.42,8,35.6,1.85,7.39,424.12,0.51
"New_Zeland",3.23,12,52.9,1.65,5.17,11.96,0.47
"Nigeria",92.04,114,1.4,0.1,0.65,99.61,0.46
"Norway",4.14,8,32.5,2.03,11.87,12.78,0.58
"Pakistan",89.73,120,0.5,0.34,0.29,111.6,0.35
"Panama",2.13,26,7.8,0.96,2.06,28.4,0.18
"Paraguay",3.28,45,1.2,0.57,1.04,8.06,0.36
"Poland",36.91,19,10.7,1.85,1.32,118.3,0.52
"Portugal",10.16,26,14.3,2.19,1.33,110.43,0.4
"East_Germany",16.67,12,21.9,2.16,4.13,155.79,0.52
"West_Germany",61.18,12,38,2.32,8.66,246.69,0.53
"Saudi_Arabia",10.82,103,20.2,0.6,10.71,6.18,0.54
"Senegal",6.35,141,0.9,0.08,0.32,32.23,0.34
"Somalia",5.42,143,0.4,0.06,0.11,8.5,0.38
"Spain",38.72,10,26.9,2.56,3.38,76.37,0.45
"Sweden",8.34,7,38.7,2.09,9.4,18.53,0.53
"Switzerland",6.44,8,42,2.44,12.25,153.33,0.47
"Tanzania",21.06,98,0.3,0.04,0.17,22.43,0.31
"Thailand",50.4,51,2.2,0.15,0.68,98.05,0.42
"Togo",2.84,113,0.08,0.05,0.21,49.82,0.36
"Tunisia",7.94,85,3.9,0.27,0.9,45.42,0.36
"Turkey",48.27,110,1.8,0.65,0,61.88,0.4
"Uganda",15.15,94,0.08,0.04,0,62.35,0.53
"United_Kingdom",56.49,11,32.7,1.6,6.13,427.95,0.47
"Urugay",2.99,38,9.9,1.87,0.85,15.99,0.57
"USA",236.63,11,70,1.82,13.84,25.21,0.39
"USSR",274,26,7,4.15,2.44,12.23,0.53
"Venezuela",16.85,39,15.3,1.06,2.3,18.48,0.69
"Yugoslavia",23.02,30,13.3,1.49,0.83,89.92,0.46
"Zambia",6.45,101,1.2,0.14,0.29,8.65,0.74
"Zimbabwe",7.98,70,3.1,0.16,0.42,20.46,0.51
