"","ISO3","ADMIN","REGION","continent","GEO3major","GEO3","IMAGE24","GLOCAF","Stern","SRESmajor","SRES","GBD","AVOIDnumeric","AVOIDname","LDC","SID","LLDC"
"1","AFG","Afghanistan","Asia","Eurasia","Asia and the Pacific","South Asia","India+","Rest of South Asia","Central Asia","ASIA","South Asia (SAS)","Asia, South",21,"Rest of Central Asia","LDC","other","LLDC"
"2","WSB","Akrotiri Sovereign Base Area","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"3","ALA","Aland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"4","ALB","Albania","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"5","DZA","Algeria","Africa","Africa","Africa","North Africa","Northern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",22,"North Africa","other","other","other"
"6","ASM","American Samoa","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"7","AND","Andorra","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"8","AGO","Angola","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",24,"Southern and East Africa","LDC","other","other"
"9","AIA","Anguilla","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"10","ATA","Antarctica","Antarctica","Antarctica","Polar","Antarctic","Antarctica",NA,NA,NA,NA,NA,NA,NA,"other","other","other"
