"","source","target"
"1","Image","IMAG1"
"2","Image","IMAG2"
"3","Image","IMAG3"
"4","Image","IMAG4"
"5","Image","IMAG5"
"6","Expectation","CUEX1"
"7","Expectation","CUEX2"
"8","Expectation","CUEX3"
"9","Quality","PERQ1"
"10","Quality","PERQ2"
"11","Quality","PERQ3"
"12","Quality","PERQ4"
"13","Quality","PERQ5"
"14","Quality","PERQ6"
"15","Quality","PERQ7"
"16","Value","PERV1"
"17","Value","PERV2"
"18","Satisfaction","CUSA1"
"19","Satisfaction","CUSA2"
"20","Satisfaction","CUSA3"
"21","Complaints","CUSCO"
"22","Loyalty","CUSL1"
"23","Loyalty","CUSL2"
"24","Loyalty","CUSL3"
