"","x11","x12","x13","x21","x22","x23","x31","x32","x33","x34","x35"
"1",165,-43,142,-79,-73,140,159,-111,-47,-91,100
"2",-11,70,10,-23,-23,-106,-108,103,-63,-42,-37
"3",-29,145,105,17,76,-71,28,-18,15,-91,47
"4",94,-197,-53,-55,13,-20,12,139,170,254,41
"5",-13,-57,16,-18,-190,-41,-109,-22,-51,-81,56
"6",-50,54,-214,-60,-4,19,-94,23,-183,55,10
"7",-219,73,-111,255,-70,24,10,-172,112,-49,92
"8",-30,-76,-10,-96,158,202,135,-2,-39,64,59
"9",-7,-69,43,-37,143,-8,-120,141,115,0,-183
"10",103,101,70,97,-30,-139,86,-79,-27,-18,-188
