"","Chrom","Read","Strand"
"1",8,43,0
"2",8,83,0
"3",8,119,0
"4",8,129,1
"5",8,889,1
"6",8,1695,1
"7",8,2569,1
"8",8,2687,0
"9",8,2795,1
"10",8,3123,0
"11",8,3315,0
"12",8,3868,0
"13",8,4117,0
"14",8,4486,0
"15",8,4903,1
"16",8,5197,1
"17",8,6573,0
"18",8,6695,1
"19",8,7058,0
"20",8,7326,1
"21",8,7922,1
"22",8,9443,1
"23",8,9771,0
"24",8,10410,0
"25",8,10503,1
"26",8,10868,1
"27",8,10919,0
"28",8,11344,0
"29",8,11614,1
"30",8,12295,1
"31",8,12888,0
"32",8,13673,0
"33",8,14501,1
"34",8,15016,1
"35",8,15790,0
"36",8,15914,1
"37",8,16853,1
"38",8,17684,1
"39",8,18525,0
"40",8,19424,1
"41",8,20492,0
"42",8,21684,0
"43",8,21802,1
"44",8,21971,0
"45",8,22618,1
"46",8,23242,0
"47",8,23847,0
"48",8,23859,1
"49",8,25302,1
"50",8,25753,1
"51",8,26038,1
"52",8,26442,1
"53",8,26614,0
"54",8,26770,1
"55",8,27585,1
"56",8,27755,1
"57",8,27900,1
"58",8,28189,0
"59",8,28673,0
"60",8,28812,0
"61",8,30529,0
"62",8,30644,1
"63",8,30978,0
"64",8,31186,1
"65",8,31219,0
"66",8,32363,0
"67",8,33859,1
"68",8,34275,1
"69",8,34883,0
"70",8,35075,1
"71",8,35373,1
"72",8,36139,1
"73",8,36196,1
"74",8,36527,0
"75",8,38048,0
"76",8,38108,0
"77",8,38506,1
"78",8,38987,1
"79",8,39140,0
"80",8,40169,1
"81",8,40455,1
"82",8,40777,0
"83",8,41123,0
"84",8,41564,1
"85",8,41727,0
"86",8,42083,0
"87",8,42504,1
"88",8,42944,0
"89",8,43299,0
"90",8,43462,0
"91",8,43977,0
"92",8,44426,0
"93",8,44757,0
"94",8,44952,1
"95",8,45007,0
"96",8,45069,0
"97",8,45619,1
"98",8,47780,0
"99",8,47793,0
"100",8,48380,1
"101",8,48835,1
"102",8,49057,1
"103",8,50136,1
"104",8,50449,1
"105",8,50631,0
"106",8,50819,1
"107",8,52436,0
"108",8,52600,1
"109",8,52731,0
"110",8,52956,1
"111",8,53390,0
"112",8,53771,1
"113",8,55056,0
"114",8,55239,1
"115",8,56522,0
"116",8,56566,0
"117",8,57814,0
"118",8,58056,0
"119",8,58172,0
"120",8,58387,1
"121",8,58550,0
"122",8,58825,1
"123",8,58898,1
"124",8,60212,0
"125",8,60802,1
"126",8,60885,0
"127",8,61740,1
"128",8,61767,0
"129",8,62378,0
"130",8,62510,0
"131",8,62512,1
"132",8,63271,0
"133",8,63642,0
"134",8,63644,1
"135",8,66364,1
"136",8,67991,0
"137",8,69148,0
"138",8,70048,1
"139",8,70095,1
"140",8,70097,1
"141",8,71138,1
"142",8,71468,1
"143",8,71537,1
"144",8,72887,0
"145",8,73744,1
"146",8,73913,0
"147",8,75053,0
