"","idstud","I1T1","I2T1","I3T1","I4T1","I5T1","I6T1","I3T2","I4T2","I5T2","I6T2","I7T2","I8T2"
"1",1001,1,0,1,1,1,1,1,1,1,1,1,0
"2",1002,1,0,0,0,0,0,1,1,0,1,0,0
"3",1003,1,1,1,0,0,0,0,0,1,0,0,0
"4",1004,1,1,1,1,1,0,0,0,1,0,0,0
"5",1005,1,1,0,0,0,0,1,1,1,0,0,1
"6",1006,1,1,1,0,0,0,1,1,1,0,0,0
"7",1007,1,0,0,0,0,0,1,0,1,0,0,0
"8",1008,0,1,0,0,0,0,1,0,0,0,0,0
"9",1009,1,1,0,1,1,0,0,0,1,0,0,0
"10",1010,1,1,0,1,0,0,1,1,1,1,1,0
"11",1011,1,1,0,0,0,0,0,0,0,0,0,0
"12",1012,1,0,0,0,0,0,1,1,1,0,0,0
"13",1013,1,1,1,0,1,1,1,0,1,1,0,0
"14",1014,1,1,0,1,0,1,1,1,1,1,1,1
"15",1015,1,1,1,1,1,0,1,1,1,1,0,0
"16",1016,1,0,0,0,0,0,0,0,0,1,1,0
"17",1017,0,1,1,1,1,0,1,1,0,0,0,0
"18",1018,1,1,1,1,1,0,1,1,1,0,0,0
"19",1019,1,1,1,0,1,0,1,0,1,1,0,0
"20",1020,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA
"21",1021,1,1,0,0,0,0,0,0,1,0,0,1
"22",1022,1,1,1,1,0,0,1,1,1,1,0,0
"23",1023,1,1,0,1,0,0,0,0,0,0,1,0
"24",1024,1,0,0,1,1,0,0,0,0,0,0,0
"25",1025,1,1,1,1,0,0,1,1,0,0,0,0
"26",1026,1,1,1,1,1,0,0,0,0,0,1,0
"27",1027,1,1,1,1,1,0,1,1,1,1,1,0
"28",1028,1,1,1,0,0,0,1,1,1,1,1,0
"29",1029,1,1,1,1,1,0,1,1,1,1,1,0
"30",1030,1,1,0,1,0,0,0,0,0,0,0,0
"31",1031,1,1,0,1,0,0,1,1,1,0,0,0
"32",1032,1,1,0,0,0,0,0,0,0,0,1,0
"33",1033,1,1,0,0,0,0,1,1,0,1,0,0
"34",1034,1,1,0,0,0,0,1,1,0,1,0,1
"35",1035,1,1,1,1,0,0,1,1,0,0,1,0
"36",1036,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"37",1037,0,0,0,0,1,1,1,1,0,0,0,0
"38",1038,0,0,0,0,0,0,0,0,0,1,0,0
"39",1039,1,1,0,1,0,0,1,1,1,1,0,0
"40",1040,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0
"41",1041,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA
"42",1042,1,1,1,1,0,0,1,1,0,1,0,0
"43",1043,1,1,0,0,1,0,1,1,1,1,1,0
"44",1044,1,1,1,1,0,0,1,1,1,1,0,0
"45",1045,1,1,1,1,0,0,1,1,1,1,1,0
"46",1046,1,1,1,1,1,0,1,1,1,0,0,0
"47",1047,1,1,1,1,1,0,1,1,1,1,1,0
"48",1048,1,1,1,1,0,0,1,1,1,0,1,1
"49",1049,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
"50",1050,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"51",1051,1,1,0,0,0,0,1,1,0,0,0,0
"52",1052,1,1,0,0,0,0,1,1,0,0,1,0
"53",1053,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA
"54",1054,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0
"55",1055,1,1,1,1,1,0,1,1,1,1,1,0
"56",1056,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA
"57",1057,1,1,0,0,1,0,1,1,0,1,1,0
"58",1058,1,1,1,0,0,1,1,1,1,1,1,0
"59",1059,0,0,0,0,1,0,1,1,1,0,0,1
"60",1060,1,1,1,0,1,0,1,0,1,1,1,0
"61",1061,1,1,1,1,0,0,1,1,0,1,0,0
"62",1062,1,0,1,1,0,0,1,1,1,0,0,0
"63",1063,1,1,0,0,0,0,0,1,0,0,0,0
"64",1064,1,1,1,1,1,0,1,1,1,1,0,0
"65",1065,1,1,1,1,1,0,1,1,1,1,0,0
"66",1066,1,1,1,1,1,1,1,1,1,1,1,0
"67",1067,1,1,1,1,0,0,1,1,1,0,0,0
"68",1068,1,1,1,0,1,0,1,1,1,1,1,0
"69",1069,1,1,1,1,1,0,1,1,1,1,0,0
"70",1070,1,1,1,1,1,1,1,1,0,1,0,0
"71",1071,0,0,0,0,0,0,1,1,0,1,1,0
"72",1072,1,1,0,1,1,0,1,0,0,0,1,1
"73",1073,1,1,0,0,1,0,1,1,1,1,1,1
"74",1074,1,1,1,1,0,0,1,1,1,1,0,0
"75",1075,1,1,0,0,0,0,0,0,1,0,0,0
"76",1076,1,1,1,1,1,1,1,1,1,1,1,0
"77",1077,1,1,0,0,0,1,0,0,1,0,1,0
"78",1078,1,1,0,1,1,0,1,1,1,1,1,0
"79",1079,1,1,0,1,1,0,1,1,1,1,0,0
"80",1080,1,1,1,1,1,1,1,1,1,1,1,1
"81",1081,1,1,1,1,1,1,1,1,1,1,1,0
"82",1082,1,1,0,1,0,0,1,1,0,1,1,0
"83",1083,1,1,1,1,1,1,1,1,1,1,1,0
"84",1084,1,1,1,1,1,1,1,1,0,1,1,0
"85",1085,1,1,1,1,1,0,1,1,1,1,1,0
"86",1086,1,1,1,1,1,0,1,1,1,1,1,1
"87",1087,1,1,0,0,0,0,1,1,0,0,0,0
"88",1088,1,1,1,1,1,1,1,1,0,1,1,1
"89",1089,1,1,1,1,1,1,1,1,1,1,1,1
"90",1090,1,1,1,0,1,1,1,1,1,0,0,1
"91",1091,1,0,0,0,0,0,1,0,0,0,0,0
"92",1092,1,0,0,0,0,0,1,1,1,0,0,0
"93",1093,1,1,0,1,0,0,1,1,1,0,0,0
"94",1094,0,0,0,1,0,0,1,1,1,0,0,0
"95",1095,1,0,0,1,1,0,0,1,1,0,0,1
"96",1096,1,1,1,1,1,1,1,1,1,1,1,0
"97",1097,1,1,1,1,1,1,1,1,1,1,1,0
"98",1098,1,1,0,1,0,0,1,1,1,1,1,0
"99",1099,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA
"100",1100,1,1,1,0,1,0,1,0,1,1,1,0
"101",1101,1,1,1,0,1,0,1,1,1,1,0,0
"102",1102,1,1,1,1,1,0,1,1,1,0,1,0
"103",1103,1,1,1,1,1,1,1,1,1,1,1,0
"104",1104,1,1,1,1,0,0,1,1,1,1,0,0
"105",1105,1,1,1,1,1,1,1,1,0,1,1,0
"106",1106,1,1,1,1,0,0,0,1,0,0,0,0
"107",1107,0,1,1,1,1,0,1,1,1,1,1,0
"108",1108,1,1,1,1,1,0,1,1,0,1,1,0
"109",1109,1,1,1,1,0,0,1,1,1,1,1,0
"110",1110,1,1,1,1,0,0,1,1,1,1,0,0
"111",1111,1,1,0,1,1,0,1,1,1,1,1,1
"112",1112,1,1,1,1,1,1,1,1,1,1,1,1
"113",1113,1,1,1,1,0,0,1,1,1,1,1,0
"114",1114,1,1,1,1,1,1,1,1,1,1,0,1
"115",1115,1,1,1,1,1,0,1,1,0,0,0,0
"116",1116,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"117",1117,1,1,0,1,1,1,1,1,1,1,1,1
"118",1118,1,1,0,0,0,0,1,1,1,0,0,0
"119",1119,1,1,1,0,0,0,1,1,1,0,0,0
"120",1120,1,1,1,1,1,1,1,1,0,1,1,1
"121",1121,1,1,1,1,1,0,1,1,1,1,1,1
"122",1122,1,1,1,1,1,1,1,1,1,1,1,0
"123",1123,1,1,0,1,1,0,1,1,1,1,0,0
"124",1124,1,1,1,0,1,0,1,1,1,1,0,0
"125",1125,1,1,1,1,0,0,1,1,1,1,0,0
"126",1126,1,1,0,1,0,0,1,1,1,1,1,0
"127",1127,1,1,1,1,1,0,1,1,1,1,1,0
"128",1128,1,1,0,0,1,0,1,1,1,1,0,0
"129",1129,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0
"130",1130,1,1,0,1,1,0,1,1,0,0,0,1
"131",1131,1,1,0,0,1,1,1,1,1,0,1,0
"132",1132,1,1,1,1,0,1,1,1,0,1,1,1
"133",1133,1,1,1,1,1,0,1,1,0,1,0,0
"134",1134,1,1,1,1,0,0,1,1,1,1,0,0
"135",1135,1,1,0,0,0,0,1,1,0,1,1,1
"136",1136,1,1,1,1,0,0,1,1,1,1,0,0
"137",1137,1,1,0,0,0,0,1,1,0,0,0,0
"138",1138,0,0,0,0,0,0,1,1,0,0,0,0
"139",1139,0,0,0,0,0,0,1,1,0,0,0,0
"140",1140,1,1,1,1,0,0,1,1,0,1,1,0
"141",1141,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0
"142",1142,1,0,1,0,0,0,1,1,0,0,0,0
"143",1143,1,1,1,1,0,0,1,1,1,1,1,0
"144",1144,1,1,0,0,1,1,1,1,1,0,0,0
"145",1145,1,1,1,0,1,1,1,1,1,1,0,0
"146",1146,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
"147",1147,1,1,1,1,1,1,1,1,1,1,1,1
"148",1148,1,1,1,1,0,0,1,0,0,1,0,0
"149",1149,1,1,1,1,1,0,1,1,1,1,1,1
"150",1150,1,1,1,1,0,0,1,1,0,1,0,0
"151",1151,1,1,0,1,0,0,1,1,0,1,1,0
"152",1152,1,1,1,0,0,0,1,1,0,0,0,0
"153",1153,1,1,0,0,0,0,1,1,1,1,0,0
"154",1154,1,1,0,0,0,0,1,1,0,0,0,0
"155",1155,1,1,0,1,0,0,1,1,1,0,0,0
"156",1156,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0
"157",1157,1,1,1,1,0,0,1,1,0,1,1,0
"158",1158,1,1,1,1,1,1,1,1,0,1,1,0
"159",1159,1,1,0,1,0,0,1,1,1,0,0,0
"160",1160,1,1,0,0,0,0,1,1,0,0,0,0
"161",1161,1,0,0,0,0,0,1,0,0,0,0,0
"162",1162,1,1,1,1,1,0,1,1,1,0,0,0
"163",1163,1,1,1,1,0,0,0,0,1,1,0,0
"164",1164,1,1,0,0,0,0,1,1,1,0,0,0
"165",1165,1,1,1,1,1,1,1,1,1,1,1,0
"166",1166,1,1,0,0,0,0,0,1,1,0,0,0
"167",1167,1,0,1,1,1,0,1,1,1,1,1,0
"168",1168,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"169",1169,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0
"170",1170,1,0,0,0,0,0,0,0,0,0,1,0
"171",1171,1,1,1,1,1,1,1,1,1,0,1,0
"172",1172,1,1,0,0,0,0,1,0,1,1,0,0
"173",1173,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA
"174",1174,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"175",1175,1,0,0,0,0,1,1,0,0,0,0,0
"176",1176,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA
"177",1177,1,1,0,0,1,0,1,0,1,1,0,0
"178",1178,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
