"","C1","C2","C3","C4","C5","C6","C7","C8"
"1",1,1,1,0,1,1,1,1
"2",1,1,1,0,1,0,1,0
"3",1,1,1,1,1,0,0,1
"4",1,1,1,1,1,0,0,0
"5",1,0,1,1,1,1,1,1
"6",0,1,0,1,0,0,1,0
"7",1,1,0,1,0,1,0,1
"8",1,1,0,0,1,1,0,0
"9",1,1,1,1,1,0,0,1
"10",1,1,1,0,0,1,1,1
"11",1,0,1,1,0,1,0,1
"12",1,1,1,0,0,0,0,1
"13",1,1,1,1,0,1,1,1
"14",0,1,1,1,1,0,0,1
"15",1,1,1,1,1,1,1,1
"16",1,1,1,1,1,1,1,1
"17",1,1,1,1,0,0,1,1
"18",1,1,1,1,1,0,1,1
"19",1,1,1,1,1,1,1,1
"20",1,1,1,1,0,0,1,0
"21",1,1,1,1,0,0,1,1
"22",1,0,1,0,1,1,1,0
"23",1,1,0,1,0,1,1,1
"24",1,0,1,1,1,0,0,1
"25",1,1,1,1,1,1,1,0
"26",1,1,1,1,1,1,1,1
"27",1,1,1,1,0,0,1,1
"28",1,1,1,1,1,1,0,1
"29",1,1,1,0,1,1,1,1
"30",1,1,1,1,1,0,1,1
"31",1,0,1,0,1,1,0,0
"32",1,1,0,1,1,1,0,1
"33",1,0,1,1,1,1,0,1
"34",1,1,1,1,0,1,1,1
"35",1,1,1,1,0,1,0,1
"36",1,1,1,1,1,1,1,1
"37",1,1,1,1,1,1,0,1
"38",1,1,1,1,0,0,0,1
"39",0,0,1,1,0,0,1,1
"40",1,1,1,1,1,1,1,1
"41",1,0,0,1,0,0,0,0
"42",1,1,0,1,1,0,0,1
"43",0,1,1,1,0,1,0,0
"44",1,1,1,1,1,1,0,1
"45",1,1,1,1,0,0,1,0
"46",1,1,1,1,1,0,1,1
"47",1,1,1,1,1,0,1,1
"48",1,1,1,1,0,0,1,1
"49",1,1,1,1,1,1,1,1
"50",1,1,1,1,1,1,1,0
"51",1,1,1,1,0,0,0,1
"52",1,1,1,1,1,1,1,1
"53",1,1,1,0,1,1,1,1
"54",1,1,1,1,0,1,0,1
"55",1,1,1,1,0,1,1,1
"56",1,1,1,1,1,1,1,1
"57",1,1,1,1,0,1,0,1
"58",1,1,1,0,1,0,1,1
"59",1,1,1,1,1,1,1,0
"60",1,1,1,1,1,1,1,1
"61",1,1,1,1,1,1,0,0
"62",1,1,1,0,0,1,0,1
"63",1,1,1,1,1,0,1,1
"64",1,1,1,0,1,1,1,1
"65",1,1,1,1,1,0,0,1
"66",1,1,1,1,0,1,1,1
"67",1,1,1,0,1,1,1,0
"68",1,1,1,1,0,0,0,1
"69",1,1,0,1,1,0,0,0
"70",1,1,1,1,1,0,0,0
"71",1,1,1,1,1,0,1,1
"72",1,1,0,1,1,1,0,1
"73",1,1,1,1,1,1,0,1
"74",1,1,1,1,1,0,1,1
"75",1,1,1,1,1,1,0,1
"76",1,1,1,1,1,1,1,1
"77",1,1,1,1,1,1,1,1
"78",1,1,1,1,0,1,0,1
"79",1,0,1,1,0,0,1,1
"80",1,1,1,1,1,1,1,1
"81",1,1,1,1,0,0,0,1
"82",1,1,1,1,0,0,0,0
"83",1,1,0,0,0,0,1,1
"84",1,1,1,1,0,1,1,1
"85",1,1,1,0,0,0,0,1
"86",0,0,1,1,1,0,0,0
"87",1,1,1,1,1,1,1,1
"88",1,1,1,1,1,1,0,0
"89",1,1,0,0,0,0,0,1
"90",1,1,1,1,0,0,1,1
"91",0,1,1,0,1,1,0,1
"92",1,1,1,1,0,1,1,1
"93",1,1,1,1,1,1,1,0
"94",1,1,1,1,1,1,1,1
"95",0,1,1,1,1,0,1,1
"96",1,0,0,0,0,0,0,1
"97",1,1,1,1,1,1,1,1
"98",1,1,1,1,1,1,1,1
"99",1,1,1,1,1,1,1,1
"100",1,1,1,1,1,1,0,1
"101",1,1,1,1,1,1,0,1
"102",1,1,1,1,1,1,1,1
"103",1,1,0,0,0,0,0,0
"104",1,1,0,1,1,1,1,1
"105",1,1,1,1,1,1,0,1
"106",1,1,1,1,1,1,0,1
"107",1,0,1,1,1,1,0,1
"108",1,1,1,1,0,1,1,1
"109",1,1,1,1,1,1,1,1
"110",1,1,1,1,1,1,1,1
"111",1,1,1,0,1,1,0,1
"112",0,1,1,1,1,1,0,1
"113",1,0,1,1,1,1,1,1
"114",1,0,1,1,1,0,0,1
"115",1,1,1,1,0,1,1,1
"116",1,1,1,1,1,1,1,0
"117",1,0,1,0,0,0,0,0
"118",1,1,1,1,0,1,1,1
"119",1,1,1,0,0,1,1,1
"120",1,1,1,1,1,0,0,1
"121",1,1,1,1,1,1,1,1
"122",1,1,1,1,0,1,1,1
"123",1,1,1,0,1,0,1,1
"124",1,1,1,1,1,1,1,1
"125",1,0,0,1,1,0,0,1
"126",1,1,0,1,1,1,1,1
"127",1,1,1,1,1,1,0,1
"128",1,1,1,0,1,0,0,1
"129",1,1,1,1,0,0,0,1
"130",1,1,1,1,1,0,1,0
"131",1,1,1,1,1,1,1,1
"132",1,1,1,1,1,0,1,1
"133",1,1,0,1,1,0,0,0
"134",1,0,1,1,0,0,1,1
"135",0,0,0,1,0,0,1,1
"136",1,1,1,1,1,1,1,1
"137",1,1,1,1,0,1,1,1
"138",1,1,1,1,1,0,1,0
"139",1,1,1,1,1,1,1,1
"140",1,1,1,1,0,1,0,1
"141",1,1,1,1,1,1,1,1
"142",1,1,1,0,1,0,0,1
"143",1,1,1,1,0,0,0,1
"144",0,1,1,1,1,1,0,1
"145",1,1,1,1,1,1,1,1
"146",1,1,1,0,1,1,1,1
"147",1,1,1,1,0,1,1,1
"148",1,1,1,1,0,1,1,1
"149",1,1,1,1,1,1,1,1
"150",1,1,1,1,1,1,1,1
"151",0,1,0,1,0,0,1,1
"152",0,1,1,1,1,0,1,1
"153",1,1,1,1,1,1,1,1
"154",0,1,1,1,0,1,0,1
"155",0,1,0,1,0,1,0,1
"156",1,1,1,1,1,1,1,1
"157",1,1,1,1,1,1,1,1
"158",1,1,1,1,0,0,0,0
"159",1,1,1,0,0,0,0,1
"160",1,0,1,1,1,1,0,1
"161",1,1,1,1,1,0,1,1
"162",1,1,1,1,0,1,1,1
"163",1,1,1,0,0,1,1,1
"164",0,1,0,1,0,0,1,0
"165",1,1,1,1,1,1,1,1
"166",0,1,1,1,1,1,0,1
"167",1,1,1,1,1,1,1,1
"168",1,1,1,1,1,1,1,0
"169",1,1,1,0,1,1,1,1
"170",0,1,1,1,1,0,0,1
"171",1,1,1,1,1,1,1,1
"172",1,0,1,1,0,0,0,1
"173",0,1,1,1,1,0,1,1
"174",1,0,1,1,1,1,1,1
"175",1,1,1,0,1,1,0,0
"176",1,1,1,1,1,1,1,1
"177",1,1,1,1,0,0,1,1
"178",1,1,1,1,1,1,0,1
"179",0,0,1,1,1,0,0,1
"180",1,1,1,1,1,1,1,1
"181",1,1,0,1,1,1,1,1
"182",1,1,1,1,0,1,1,1
"183",1,1,1,0,1,1,0,1
"184",1,1,1,1,0,1,0,1
"185",1,0,1,0,1,1,1,1
"186",1,1,1,1,1,0,1,0
"187",1,1,1,1,1,1,0,1
"188",1,1,1,0,1,1,1,1
"189",1,0,0,1,0,1,0,0
"190",1,1,1,0,0,1,0,1
"191",0,1,1,1,0,0,0,1
"192",0,1,1,1,1,0,0,1
"193",1,1,1,1,1,1,1,1
"194",0,0,1,1,0,0,0,1
"195",1,1,1,1,0,1,1,1
"196",1,1,1,1,1,1,1,1
"197",0,0,1,1,0,1,1,0
"198",1,1,1,1,1,0,0,1
"199",1,1,1,1,1,0,0,1
"200",1,1,1,1,1,1,1,1
"201",1,1,1,1,1,1,0,1
"202",1,1,1,1,1,0,0,1
"203",1,1,1,1,0,0,1,1
"204",1,1,0,1,1,1,1,1
"205",1,1,1,0,1,1,0,0
"206",1,1,1,1,1,0,0,1
"207",1,1,1,1,0,1,1,1
"208",1,1,1,1,1,1,1,1
"209",1,0,1,1,1,0,0,0
"210",1,1,1,1,1,0,0,1
"211",1,1,1,1,1,1,1,1
"212",1,1,1,1,0,0,1,1
"213",0,1,1,0,1,1,1,1
"214",1,1,1,1,0,1,1,1
"215",0,0,1,0,0,0,1,1
"216",0,1,0,1,1,1,0,1
"217",1,1,1,1,1,0,0,1
"218",1,1,1,0,0,0,1,1
"219",1,1,1,1,0,0,0,0
"220",1,1,1,1,1,1,0,1
"221",1,1,1,1,0,0,1,1
"222",1,1,1,1,1,1,1,1
"223",1,1,1,1,1,1,1,1
"224",1,1,1,1,1,1,1,1
"225",1,1,1,1,0,0,1,1
"226",1,0,0,1,1,1,0,1
"227",1,0,1,1,1,1,0,1
"228",1,1,1,1,1,1,1,1
"229",1,1,1,1,1,1,1,1
"230",1,1,1,1,1,1,1,1
"231",1,1,1,1,1,1,0,1
"232",1,1,1,1,1,1,0,1
"233",0,1,1,1,1,1,0,1
"234",1,1,1,0,1,1,0,1
"235",1,1,1,1,1,1,1,0
"236",1,1,1,1,1,1,0,1
"237",1,1,1,1,1,0,1,1
"238",1,1,0,0,1,1,1,1
"239",0,1,1,1,1,0,0,1
"240",1,1,1,1,1,1,1,0
"241",1,1,1,1,0,0,1,0
"242",0,0,0,1,1,1,0,1
"243",1,1,1,1,1,1,0,1
"244",1,1,1,1,1,1,1,1
"245",1,1,1,1,1,0,0,1
"246",1,0,1,0,0,1,0,1
"247",1,1,1,1,0,1,1,1
"248",1,1,1,1,1,1,1,1
"249",1,0,0,1,1,0,1,1
"250",0,1,1,0,1,0,0,0
"251",0,0,1,1,0,0,0,0
"252",0,1,1,1,0,1,0,0
"253",1,1,1,1,1,1,0,0
"254",0,1,1,0,1,1,0,1
"255",1,1,1,1,1,1,1,1
"256",1,0,1,1,1,0,1,1
"257",1,1,1,1,1,1,1,1
"258",1,1,1,1,1,1,1,1
"259",1,1,1,1,0,0,0,1
"260",0,0,1,0,0,0,0,0
"261",0,1,1,1,1,0,0,1
"262",0,1,1,1,1,1,0,1
"263",1,1,1,1,1,0,0,1
"264",1,1,1,1,1,1,1,1
"265",1,1,1,1,0,0,1,1
"266",0,1,1,1,1,1,0,1
"267",1,1,1,1,1,0,0,0
"268",0,0,1,1,1,1,0,0
"269",1,1,1,1,0,1,0,1
"270",1,0,1,1,0,1,1,1
"271",0,1,1,1,1,1,1,0
"272",1,1,1,1,0,1,1,1
"273",1,0,1,1,1,1,1,0
"274",1,1,1,1,0,1,1,1
"275",1,1,1,1,0,1,1,1
"276",1,1,1,1,1,1,1,1
"277",1,1,1,0,0,1,1,1
"278",0,1,1,1,1,0,1,0
"279",0,1,1,1,0,0,0,1
"280",1,1,1,1,0,0,0,0
"281",0,1,0,1,1,0,1,1
"282",0,1,0,1,0,1,1,0
"283",1,0,1,1,0,1,1,1
"284",1,1,1,1,1,0,0,1
"285",1,1,0,0,1,1,0,1
"286",1,0,1,1,1,1,1,1
"287",1,1,1,1,0,1,1,1
"288",0,1,1,1,0,1,1,0
"289",1,1,1,1,0,0,1,1
"290",0,0,1,1,1,0,1,0
"291",0,1,1,0,0,0,0,0
"292",1,1,1,1,1,1,1,0
"293",0,0,1,0,1,1,0,1
"294",1,1,1,1,1,1,0,1
"295",1,1,1,1,1,0,1,1
"296",1,0,1,1,1,1,0,0
"297",1,1,1,1,1,1,1,1
"298",0,0,0,0,1,0,0,0
"299",1,1,1,1,1,1,1,1
"300",1,1,1,1,1,1,0,1
