"","idstud","country","studwgt","R31G01M","R31G02C","R31G03M","R31G04C","R31G05M","R31G06M","R31G07M","R31G08CZ","R31G08CA","R31G08CB","R31G09M","R31G10C","R31G11M","R31G12C","R31G13CZ","R31G13CA","R31G13CB","R31G13CC","R31G14M","R31P01M","R31P02C","R31P03C","R31P04M","R31P05C","R31P06C","R31P07C","R31P08M","R31P09C","R31P10M","R31P11M","R31P12M","R31P13M","R31P14C","R31P15C","R31P16C"
"1",1000001,"AUT",1.06372,1,0,1,9,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"2",1000002,"AUT",1.06372,1,9,1,1,0,1,1,9,9,9,0,1,0,9,9,9,9,9,0,1,1,1,0,0,1,9,1,1,1,1,1,1,0,9,0
"3",1000003,"AUT",1.06372,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0
"4",1000004,"AUT",1.06372,1,1,1,1,9,1,9,9,9,9,1,0,0,9,9,9,9,9,9,0,1,1,0,0,1,9,9,1,1,1,9,1,1,1,0
"5",1000005,"AUT",1.06372,1,0,0,9,1,1,1,9,9,9,0,1,1,9,9,9,9,9,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0
"6",1000006,"AUT",1.06372,1,0,1,0,1,1,1,0,0,0,9,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0
"7",1000007,"AUT",1.06372,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"8",1000008,"AUT",3.44884,1,0,0,9,0,1,0,9,9,9,1,0,1,1,9,9,9,9,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,9
"9",1000009,"AUT",3.44884,1,1,1,9,0,1,0,0,0,9,1,0,1,1,1,1,9,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0
"10",1000010,"AUT",0.62405,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1
"11",1000011,"AUT",0.62405,1,0,1,9,0,1,1,0,0,0,1,0,1,9,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0
"12",1000012,"AUT",0.62405,0,9,0,0,1,0,0,9,9,9,9,9,9,9,9,9,9,9,9,1,9,0,0,0,9,9,9,9,9,9,9,9,9,9,9
"13",1000013,"AUT",0.62405,0,9,9,0,0,0,0,9,9,9,1,0,0,0,9,9,9,9,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1
"14",1000014,"AUT",0.62405,1,1,0,9,1,0,0,0,0,0,1,0,0,0,9,9,9,9,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"15",1000015,"AUT",0.62405,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
"16",1000016,"AUT",0.62405,1,1,1,0,1,0,0,0,0,0,1,0,0,9,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0
"17",1000017,"AUT",0.62405,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
"18",1000018,"AUT",1.82471,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"19",1000019,"AUT",1.82471,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0
"20",1000020,"AUT",1.82471,1,1,1,9,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"21",1000021,"AUT",1.82471,1,1,1,0,1,1,1,9,9,9,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"22",1000022,"AUT",3.44884,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1
"23",1000023,"AUT",3.44884,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1
"24",1000024,"AUT",0.62133,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1
"25",1000025,"AUT",0.62133,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,9,9,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0
"26",1000026,"AUT",0.62133,1,0,1,0,1,1,1,0,0,0,1,9,0,9,9,9,9,9,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
"27",1000027,"AUT",0.58478,0,1,0,0,0,0,0,9,9,9,0,9,0,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"28",1000028,"AUT",0.58478,0,0,1,0,1,1,0,0,9,0,0,1,0,0,0,0,9,9,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0
"29",1000029,"AUT",0.58478,1,1,0,0,0,0,0,9,9,9,0,9,0,9,9,9,9,9,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"30",1000030,"AUT",0.58478,1,9,1,9,0,1,0,9,9,9,0,9,0,9,1,1,9,1,9,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,9
"31",1000031,"AUT",1.14318,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,9,1,9,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
"32",1000032,"AUT",1.14318,1,0,1,9,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0
"33",1000033,"AUT",1.14318,1,1,1,0,0,1,0,9,9,9,1,0,0,0,9,9,9,9,1,0,0,1,0,1,9,1,0,0,0,0,0,1,0,0,0
"34",1000034,"AUT",1.14318,1,1,1,9,1,1,0,9,9,9,1,1,1,9,1,0,1,0,0,1,1,1,9,0,1,1,1,1,1,1,1,1,9,9,9
"35",1000035,"AUT",1.08602,1,1,0,9,0,0,9,9,9,9,0,1,1,9,9,9,9,9,1,1,1,9,1,9,0,0,9,0,0,1,1,1,9,9,0
"36",1000036,"AUT",1.08602,1,1,1,9,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0
"37",1000037,"AUT",1.08602,0,1,0,9,1,1,0,9,9,9,0,1,1,9,9,9,9,9,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,9,0
"38",1000038,"AUT",1.08602,0,9,1,9,0,1,1,0,0,9,1,9,0,9,9,9,9,9,0,0,9,9,0,0,1,9,1,0,0,0,0,0,9,0,9
"39",1000039,"AUT",1.2575,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0
"40",1000040,"AUT",1.2575,0,1,1,0,1,1,1,9,9,9,1,1,0,9,9,9,9,9,0,1,1,1,1,0,1,1,1,0,9,9,9,9,9,9,9
"41",1000041,"AUT",1.2575,1,1,1,9,1,1,1,9,9,9,1,0,1,9,0,0,0,9,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
"42",1000042,"AUT",1.20034,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,9,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
"43",1000043,"AUT",1.20034,1,1,1,1,1,1,1,9,9,9,1,9,1,9,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"44",1000044,"AUT",1.57395,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,9,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0
"45",1000045,"AUT",1.57395,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"46",1000046,"AUT",1.57395,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0
"47",1000047,"AUT",1.57395,1,1,0,9,1,0,0,0,0,0,1,9,0,9,9,9,9,9,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
"48",1000048,"AUT",1.57395,1,1,1,1,1,1,1,9,9,9,1,1,9,0,0,0,0,9,9,0,1,1,1,1,1,1,1,1,1,0,1,1,9,0,1
"49",1000049,"AUT",0.81007,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,9,9,9,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,9
"50",1000050,"AUT",0.81007,1,0,1,0,0,1,1,0,0,0,0,1,0,1,9,9,9,9,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1
"51",1000051,"AUT",0.81007,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
