"","idstud","rater","crit2","crit3","crit4","crit6"
"1",10001,840,1,2,1,4
"2",10001,838,3,2,2,4
"3",10002,842,3,2,2,4
"4",10002,808,1,2,2,3
"5",10003,830,2,2,1,4
"6",10003,845,2,2,1,4
"7",10004,813,2,2,1,4
"8",10004,849,2,2,2,4
"9",10005,809,3,3,2,4
"10",10005,802,3,3,2,4
"11",10006,836,2,2,2,4
"12",10006,852,1,1,2,4
"13",10007,811,2,2,2,4
"14",10007,843,2,2,2,3
"15",10008,842,2,3,2,4
"16",10008,806,3,3,3,3
"17",10009,804,2,0,1,3
"18",10009,802,2,2,1,4
"19",10010,844,0,1,2,3
"20",10010,802,2,2,1,4
"21",10011,849,2,1,NA,4
"22",10011,807,NA,NA,2,NA
"23",10012,829,1,1,1,2
"24",10012,806,1,2,2,3
"25",10013,850,2,1,1,3
"26",10013,832,1,1,1,4
"27",10014,805,0,1,1,4
"28",10014,836,1,1,2,4
"29",10014,830,1,2,2,4
"30",10014,837,1,2,2,4
"31",10014,804,1,1,2,4
"32",10014,824,0,2,2,4
"33",10014,822,3,3,3,4
"34",10014,823,0,2,2,4
"35",10014,801,1,2,2,4
"36",10014,839,1,2,2,4
"37",10014,848,0,1,2,4
"38",10014,820,2,2,2,4
"39",10014,812,1,2,3,3
"40",10014,852,1,2,1,4
"41",10014,813,0,1,2,4
"42",10014,846,1,2,2,3
"43",10014,819,1,1,2,4
"44",10014,840,1,2,2,4
"45",10014,803,1,2,2,4
"46",10014,815,2,2,2,3
"47",10014,842,1,1,1,4
"48",10014,838,0,2,2,4
"49",10014,818,0,2,2,4
"50",10014,816,1,2,2,3
"51",10014,845,1,2,2,4
"52",10014,849,1,3,2,4
"53",10014,828,1,2,3,4
"54",10014,811,2,2,3,4
"55",10014,844,0,2,2,4
"56",10014,808,2,3,2,4
"57",10014,809,1,1,2,4
"58",10014,817,0,2,2,4
"59",10014,821,1,1,1,4
"60",10014,833,1,2,2,4
"61",10014,847,1,3,2,4
"62",10014,850,1,1,1,4
"63",10014,825,0,2,2,4
"64",10014,829,1,2,2,3
"65",10014,831,1,2,1,4
"66",10014,826,1,2,2,4
"67",10014,814,1,1,1,4
"68",10014,834,1,2,2,4
"69",10014,835,0,1,2,4
"70",10014,832,0,1,2,3
"71",10014,841,1,2,2,4
"72",10014,802,2,2,1,4
"73",10014,843,1,2,2,4
"74",10014,806,1,1,2,4
"75",10014,827,0,1,2,4
"76",10014,851,1,0,3,4
"77",10014,810,1,2,2,4
"78",10014,807,1,2,2,4
"79",10015,837,1,2,3,2
"80",10015,826,0,0,2,3
"81",10016,841,2,2,2,4
"82",10016,806,2,2,2,4
"83",10017,819,1,2,2,3
"84",10017,802,2,3,3,4
"85",10018,847,1,1,2,4
"86",10018,834,0,1,2,4
"87",10019,811,1,1,2,4
"88",10019,810,2,3,3,4
"89",10020,848,1,1,2,4
"90",10020,802,NA,2,2,4
"91",10021,818,2,2,2,4
"92",10021,834,1,3,2,4
"93",10022,839,3,3,3,4
"94",10022,831,2,3,2,3
"95",10023,828,2,2,2,3
"96",10023,835,2,2,2,3
"97",10024,803,NA,2,1,3
"98",10024,827,0,1,2,3
"99",10025,837,1,2,2,4
"100",10025,833,1,2,2,4
"101",10026,830,1,2,2,3
"102",10026,812,1,2,2,3
"103",10027,820,1,1,1,3
"104",10027,806,2,2,2,3
"105",10028,835,1,2,1,4
"106",10029,804,1,1,2,4
"107",10029,811,1,3,3,4
"108",10030,811,3,3,3,2
"109",10030,817,3,2,2,3
"110",10031,836,3,3,3,4
"111",10031,849,2,2,2,3
"112",10032,839,3,3,3,3
"113",10032,810,2,3,3,4
"114",10033,813,0,1,2,4
"115",10033,849,2,2,2,4
"116",10034,815,1,2,1,1
"117",10034,825,1,2,2,1
"118",10035,838,0,0,NA,2
"119",10035,807,NA,NA,1,NA
"120",10036,836,3,3,3,4
"121",10036,837,3,3,3,4
"122",10037,824,2,3,2,4
"123",10037,852,1,2,0,4
"124",10038,826,2,3,3,4
"125",10038,835,2,1,2,4
"126",10039,813,1,1,1,4
"127",10039,835,1,1,1,4
"128",10040,807,2,2,1,4
"129",10041,844,3,2,2,3
"130",10041,850,3,2,3,4
"131",10042,801,0,0,1,4
"132",10042,835,0,1,1,4
"133",10043,820,3,3,3,4
"134",10043,809,1,3,3,4
"135",10044,824,2,2,1,4
"136",10044,848,2,2,2,4
"137",10045,804,1,1,2,4
"138",10045,820,1,1,1,4
"139",10046,824,3,3,3,3
"140",10046,831,1,2,2,3
"141",10047,837,2,2,2,4
"142",10047,808,2,2,2,4
"143",10048,809,2,2,2,3
"144",10048,821,2,2,2,4
"145",10049,823,1,3,3,4
"146",10049,840,1,2,2,4
"147",10050,820,2,3,3,3
"148",10050,816,3,3,3,3
"149",10051,801,3,2,2,2
"150",10051,806,2,2,2,2
"151",10052,824,2,2,2,4
"152",10052,823,2,1,1,2
"153",10053,845,0,1,2,3
"154",10053,834,0,2,2,3
"155",10054,846,3,3,3,2
"156",10054,825,3,2,2,3
"157",10055,840,1,2,2,2
"158",10055,816,1,2,2,2
"159",10056,828,2,2,2,4
"160",10056,847,1,1,2,4
"161",10057,845,3,3,3,3
"162",10057,841,3,3,3,3
"163",10058,829,3,2,3,3
"164",10058,834,3,2,3,3
"165",10059,804,2,2,2,3
"166",10059,846,3,3,3,3
"167",10060,815,2,2,2,1
"168",10060,835,0,2,1,2
"169",10061,816,1,0,1,2
"170",10061,814,1,1,1,3
"171",10062,844,2,2,3,4
"172",10062,806,2,2,3,4
"173",10063,802,NA,0,2,2
