"","WV01","WV02","WV03","WV04","WV05","WV06","WV07","WV08","WV09","WV10","WV11","WV12","WV13","WV14"
"1",0,0,0,0,3,0,0,0,0,1,0,0,3,3
"2",0,0,1,0,1,1,0,1,0,1,0,0,1,1
"3",0,0,0,0,1,3,0,1,0,3,0,0,1,2
"4",0,3,0,0,1,0,0,0,0,0,0,2,3,3
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,2,0,0,0,3
"7",0,0,0,0,1,2,0,0,0,0,0,2,3,1
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,3
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"10",3,1,0,1,2,1,0,0,2,0,0,0,0,0
"11",2,0,0,0,0,0,0,0,0,2,0,0,0,1
"12",1,0,1,1,0,3,0,1,0,0,0,0,3,2
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"15",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"16",0,0,3,0,3,1,0,0,0,3,0,0,3,3
"17",0,0,0,0,2,0,0,1,0,3,0,1,3,3
"18",0,0,0,0,1,0,0,0,0,1,0,0,0,2
"19",0,0,1,1,0,0,1,1,2,0,0,0,1,0
"20",1,0,0,0,0,0,0,0,0,2,0,0,0,3
"21",0,1,0,0,3,0,0,0,0,2,0,0,0,3
"22",0,0,0,0,0,0,0,0,0,1,0,3,0,3
"23",0,2,0,0,1,0,0,0,0,2,0,0,0,3
"24",0,3,0,1,3,2,2,1,0,3,0,0,1,3
"25",2,0,0,0,0,0,0,0,0,0,0,0,1,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"27",0,3,0,0,0,0,0,0,0,3,0,2,0,2
"28",2,0,2,0,0,2,0,1,0,3,0,0,1,3
"29",0,0,0,0,0,0,0,0,0,3,0,3,1,3
"30",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",3,0,0,1,1,0,0,1,2,0,0,0,1,2
"33",0,0,3,0,0,2,0,0,0,3,0,1,1,2
"34",0,0,0,0,0,0,0,3,0,2,0,0,0,1
"35",0,0,0,0,0,0,0,0,0,0,0,1,0,3
"36",2,0,0,0,0,0,0,0,0,0,3,0,0,3
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"38",3,0,1,0,3,1,0,1,2,0,0,3,1,2
