"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope.Dummy"
"1","43.7323283855445,0.494114630657893,0.49617998675085,0.0161035326085985,0.648196037589357,4.59198111440234,1.41515619227519"
"2","46.8092514624676,0.518730015273278,0.483872294443158,0.0158964673914015,0.426657576050896,4.73813496055619,1.13823311535212"
"3","49.8861745393907,0.543345399888662,0.471564602135466,0.0178964673914015,0.205119114512433,4.88428880671003,1.13868996157096"
"4","52.9630976163137,0.567960784504047,0.459256909827773,0.0198964673914015,0.216419347026028,4.96955734713612,1.41561303849404"
"5","56.0400206932368,0.592576169119431,0.446949217520081,0.0218964673914015,0.437957808564489,4.82340350098227,1.69253611541711"
"6","59.1169437701599,0.617191553734816,0.434641525212389,0.0238964673914015,0.659496270102951,4.67724965482843,1.96945919234019"
"7","62.193866847083,0.641806938350201,0.422333832904696,0.0258964673914015,0.881034731641412,4.53109580867458,2.24638226926327"
"8","65.270789924006,0.666422322965585,0.410026140597004,0.0278964673914015,0.897426806820127,4.38494196252074,2.52330534618634"
"9","68.3477130009291,0.69103770758097,0.397718448289312,0.0298964673914015,0.675888345281665,4.23878811636689,2.80022842310942"
"10","71.4246360778522,0.715653092196355,0.38541075598162,0.0318964673914015,0.454349883743203,4.09263427021304,3.0771515000325"
"11","74.5015591547753,0.740268476811739,0.373103063673927,0.0338964673914015,0.232811422204741,3.9464804240592,3.35407457695558"
"12","77.5784822316984,0.764883861427124,0.360795371366235,0.0358964673914015,0.18872703933372,3.80032657790535,3.63099765387865"
"13","80.6554053086215,0.789499246042508,0.348487679058543,0.0378964673914015,0.410265500872181,3.6541727317515,3.90792073080173"
"14","83.7323283855445,0.814114630657893,0.33617998675085,0.0398964673914015,0.631803962410643,3.50801888559766,4.18484380772481"
"15","86.8092514624676,0.838730015273278,0.323872294443158,0.0418964673914015,0.853342423949104,3.36186503944381,4.46176688464788"
"16","89.8861745393907,0.863345399888662,0.311564602135466,0.0438964673914015,0.925119114512435,3.21571119328997,4.73868996157096"
