"","chemoLowerLinearAdjust.chemoUpperLinearAdjust.Velocity.Displacement"
"1","0.015,0.2,4.80000000000001,89.7753847288661"
"2","0.015,0.2,3.03265111102368,61.6299992127318"
"3","0.015,0.2,3.13321407934233,67.9130377373021"
"4","0.015,0.2,3.05927393797006,72.9651948713004"
"5","0.015,0.2,4.2834673120486,76.69851075633"
"6","0.015,0.2,3.03007742287181,59.7865013009816"
"7","0.015,0.2,4.80000000000001,81.8471226555635"
"8","0.015,0.2,3.00095690601212,60.9412887613435"
"9","0.015,0.2,3.81242459096026,73.9401636029253"
"10","0.015,0.2,5.1574914127497,88.1280891819566"
"11","0.015,0.2,3.95297286433382,73.8444250466932"
"12","0.015,0.2,4.41558046605636,86.7758751739706"
"13","0.015,0.2,4,72.9279282510324"
"14","0.015,0.2,4.80000000000001,95.6404609137062"
"15","0.015,0.2,3.09369577117965,68.4559323191106"
"16","0.015,0.2,4.98386902123144,80.4382773230508"
"17","0.015,0.2,4.80000000000001,86.436023604407"
"18","0.015,0.2,2.87691071759051,67.9970124604857"
"19","0.015,0.2,4.80000000000001,76.1478094659117"
"20","0.015,0.2,4.25633170825812,79.2233502427039"
"21","0.015,0.2,4.4,83.4730579445664"
"22","0.015,0.2,3.97146915417788,78.6011211072907"
"23","0.015,0.2,3.92048181225601,68.8243534844401"
"24","0.015,0.2,4.80000000000001,81.6540729812693"
"25","0.015,0.2,3.07978784176253,64.4343568687941"
"26","0.015,0.2,4.80000000000001,89.724299745421"
"27","0.015,0.2,4,79.6393924160149"
"28","0.015,0.2,3.03374747564154,65.5516699167025"
"29","0.015,0.2,2.94991123083798,62.3470180149545"
"30","0.015,0.2,3.89314256263016,73.4237437283634"
"31","0.015,0.2,5.0229352843825,82.0163346182335"
"32","0.015,0.2,4.46232595919915,78.7942315000132"
"33","0.015,0.2,5.19999999999999,80.8214033917386"
"34","0.015,0.2,2.98905538382979,68.3215447976564"
"35","0.015,0.2,4.02434117236526,78.4936685562441"
"36","0.015,0.2,2.95640493660585,67.7138514765008"
"37","0.015,0.2,4.4,78.4481556355599"
"38","0.015,0.2,4.6025011135971,89.6085019720787"
"39","0.015,0.2,2.99945946325871,66.8062575946468"
"40","0.015,0.2,4.27313528111742,67.9640658595167"
"41","0.015,0.2,5.20343576747695,81.1924877817441"
"42","0.015,0.2,4.65152248272623,81.782646213341"
"43","0.015,0.2,3.60161676820734,73.8961546303506"
"44","0.015,0.2,4.0242835505982,77.3623852692023"
"45","0.015,0.2,4.64019059814142,81.124146380452"
"46","0.015,0.2,2.98601106830616,70.6286162195938"
"47","0.015,0.2,4.90902225251233,83.8393122484565"
"48","0.015,0.2,4.50354853736762,86.0707195245137"
