"","thresholdBindProbability.chemoThreshold.chemoUpperLinearAdjust.chemoLowerLinearAdjust.maxVCAMeffectProbabilityCutoff.vcamSlope"
"1","50,0.3,0.2,0.04,0.1,1"
"2","50,0.3,0.2,0.04,0.15,1"
"3","50,0.3,0.2,0.04,0.2,1"
"4","50,0.3,0.2,0.04,0.25,1"
"5","50,0.3,0.2,0.04,0.3,1"
"6","50,0.3,0.2,0.04,0.35,1"
"7","50,0.3,0.2,0.04,0.4,1"
"8","50,0.3,0.2,0.04,0.45,1"
"9","50,0.3,0.2,0.04,0.5,1"
"10","50,0.3,0.2,0.04,0.55,1"
"11","50,0.3,0.2,0.04,0.6,1"
"12","50,0.3,0.2,0.04,0.65,1"
"13","50,0.3,0.2,0.04,0.7,1"
"14","50,0.3,0.2,0.04,0.75,1"
"15","50,0.3,0.2,0.04,0.8,1"
"16","50,0.3,0.2,0.04,0.85,1"
"17","50,0.3,0.2,0.04,0.9,1"
"18","50,0.3,0.2,0.04,0.95,1"
"19","50,0.3,0.2,0.04,1,1"
