"","crime","income","housing","x","y"
"1",18.802,21.232,44.567,35.62,42.38
"2",32.388,4.477,33.2,36.5,40.52
"3",38.426,11.337,37.125,36.71,38.71
"4",0.178,8.438,75,33.36,38.41
"5",15.726,19.531,80.467,38.8,44.07
"6",30.627,15.956,26.35,39.82,41.18
"7",50.732,11.252,23.225,40.01,38
"8",26.067,16.029,28.75,43.75,39.28
"9",48.585,9.873,18,39.61,34.91
"10",34.001,13.598,96.4,47.61,36.42
"11",36.869,9.798,41.75,48.58,34.46
"12",20.049,21.155,47.733,49.61,32.65
"13",19.146,18.942,40.3,50.11,29.91
"14",18.905,22.207,42.1,51.24,27.8
"15",27.823,18.95,42.5,50.89,25.24
"16",16.241,29.833,61.95,48.44,27.93
"17",0.224,31.07,81.267,46.73,31.91
"18",30.516,17.586,52.6,43.44,35.92
"19",33.705,11.709,30.45,43.37,33.46
"20",40.97,8.085,20.3,41.13,33.14
"21",52.794,10.822,34.1,43.95,31.61
"22",41.968,9.918,23.6,44.1,30.4
"23",39.175,12.814,27,43.7,29.18
"24",53.711,11.107,22.7,41.04,28.78
"25",25.962,16.961,33.5,43.23,27.31
"26",22.541,18.796,35.8,42.67,24.96
"27",26.645,11.813,26.8,41.21,25.9
"28",29.028,14.135,27.733,39.32,25.85
"29",36.664,13.38,25.7,41.09,27.49
"30",42.445,17.017,43.3,38.32,28.82
"31",56.92,7.856,22.85,41.31,30.9
"32",61.299,8.461,17.9,39.36,32.88
"33",60.75,8.681,32.5,39.72,30.64
"34",68.892,13.906,22.5,38.29,30.35
"35",38.298,14.236,53.2,36.6,32.09
"36",54.839,7.625,18.8,37.6,34.08
"37",56.706,10.048,19.9,37.13,36.12
"38",62.275,7.467,19.7,37.85,36.3
"39",46.716,9.549,41.7,35.95,36.4
"40",57.066,9.963,42.9,35.72,35.6
"41",54.522,11.618,30.6,35.76,34.66
"42",43.962,13.185,60,36.15,33.92
"43",40.074,10.655,19.975,34.08,30.42
"44",23.974,14.948,28.45,30.32,28.26
"45",17.677,16.94,31.8,27.94,29.85
"46",14.306,18.739,36.3,27.27,28.21
"47",19.101,18.477,39.6,24.25,26.69
"48",16.531,18.324,76.1,25.47,25.71
"49",16.492,25.873,44.333,29.02,26.58
