"","x"
"1",40
"2",40
"3",40
"4",40
"5",40
"6",40
"7",40
"8",40
"9",40
"10",40
"11",40
"12",40
"13",40
"14",40
"15",40
"16",40
"17",40
"18",40
"19",40
"20",40
"21",40
"22",40
"23",40
"24",40
"25",40
"26",40
"27",40
"28",40
"29",40
"30",40
"31",40
"32",40
"33",40
"34",40
"35",40
"36",40
"37",40
"38",40
"39",40
"40",40
"41",40
"42",40
"43",40
"44",40
"45",40
"46",40
"47",40
"48",40
"49",40
"50",40
"51",40
"52",40
"53",40
"54",40
"55",40
"56",40
"57",40
"58",40
"59",40
"60",40
"61",40
"62",40
"63",40
"64",40
"65",40
"66",40
"67",40
"68",40
"69",40
"70",40
"71",40
"72",41
"73",41
"74",41
"75",42
"76",42
"77",42
"78",42
"79",42
"80",42
"81",42
"82",42
"83",42
"84",42
"85",42
"86",42
"87",42
"88",42
"89",43
"90",43
"91",43
"92",43
"93",43
"94",43
"95",43
"96",43
"97",43
"98",44
"99",44
"100",44
"101",44
"102",44
"103",44
"104",44
"105",44
"106",44
"107",44
"108",44
"109",44
"110",44
"111",44
"112",45
"113",45
"114",45
"115",45
"116",45
"117",45
"118",45
"119",45
"120",45
"121",45
"122",45
"123",45
"124",45
"125",45
"126",46
"127",46
"128",46
"129",46
"130",46
"131",46
"132",46
"133",47
"134",47
"135",47
"136",47
"137",47
"138",47
"139",48
"140",48
"141",48
"142",48
"143",48
"144",48
"145",48
"146",48
"147",48
"148",48
"149",48
"150",48
"151",48
"152",48
"153",48
"154",49
"155",49
"156",49
"157",49
"158",49
"159",49
"160",49
"161",50
"162",50
"163",50
"164",50
"165",50
"166",50
"167",50
"168",50
"169",50
"170",50
"171",50
"172",50
"173",50
"174",50
"175",50
"176",50
"177",50
"178",50
"179",50
"180",50
"181",50
"182",50
"183",50
"184",50
"185",50
"186",50
"187",50
"188",50
"189",50
"190",50
"191",50
"192",50
"193",50
"194",50
"195",50
"196",50
"197",50
"198",50
"199",50
"200",50
"201",50
"202",50
"203",50
"204",50
"205",50
"206",50
