"","x"
"1",70
"2",71
"3",72
"4",72
"5",72
"6",73
"7",73
"8",73
"9",73
"10",73
"11",74
"12",74
"13",75
"14",75
"15",75
"16",76
"17",76
"18",77
"19",77
"20",77
"21",78
"22",78
"23",78
"24",79
"25",79
"26",79
"27",81
"28",81
"29",81
"30",81
"31",82
"32",82
"33",83
"34",83
"35",84
"36",84
"37",85
"38",87
"39",87
"40",88
"41",88
"42",89
"43",89
"44",89
"45",90
"46",90
"47",90
"48",91
"49",91
"50",91
"51",92
"52",93
"53",93
"54",93
"55",95
"56",95
"57",95
"58",96
"59",96
"60",96
"61",96
"62",97
"63",97
"64",97
"65",98
"66",98
"67",99
"68",99
"69",99
"70",99
"71",100
"72",100
"73",100
"74",101
"75",101
"76",101
"77",102
"78",102
"79",102
"80",103
"81",103
"82",105
"83",105
"84",105
"85",105
"86",105
"87",106
"88",106
"89",106
"90",108
"91",109
"92",109
"93",109
"94",109
"95",110
"96",110
"97",111
"98",111
"99",111
"100",111
"101",112
"102",112
"103",113
"104",113
"105",113
"106",113
"107",113
"108",114
"109",114
"110",114
"111",117
"112",118
"113",118
"114",118
"115",121
"116",122
"117",122
"118",122
"119",122
"120",122
"121",123
"122",123
"123",124
"124",124
"125",126
"126",126
"127",126
"128",126
"129",127
"130",127
"131",127
"132",128
"133",128
"134",128
"135",128
"136",129
"137",130
"138",130
"139",131
"140",131
"141",131
"142",131
"143",131
"144",132
"145",132
"146",133
"147",133
"148",133
"149",133
"150",134
"151",134
"152",134
"153",134
"154",134
"155",135
"156",135
"157",136
"158",136
"159",136
"160",136
"161",136
"162",136
"163",137
"164",137
"165",138
"166",138
"167",139
"168",139
"169",141
"170",141
"171",142
"172",142
"173",142
"174",142
"175",143
"176",144
"177",144
"178",144
"179",144
"180",145
"181",145
"182",145
"183",146
"184",147
"185",147
"186",148
"187",148
"188",152
"189",152
"190",152
"191",154
"192",154
"193",155
"194",155
"195",156
"196",156
"197",156
"198",157
"199",157
"200",158
"201",159
"202",160
"203",161
"204",161
"205",161
"206",162
"207",162
"208",165
"209",166
"210",168
"211",168
"212",171
"213",175
"214",176
"215",176
"216",178
"217",180
"218",180
"219",183
"220",184
"221",185
"222",185
"223",187
"224",191
"225",192
"226",193
"227",196
"228",197
"229",198
"230",199
"231",201
"232",202
"233",202
"234",202
"235",202
"236",204
"237",206
"238",208
"239",210
"240",211
"241",211
"242",212
"243",214
"244",214
"245",215
"246",217
"247",218
"248",219
"249",220
"250",221
"251",222
"252",223
"253",223
"254",224
"255",226
"256",226
"257",232
"258",234
"259",236
"260",237
"261",240
"262",240
"263",242
"264",249
"265",253
"266",262
"267",262
"268",268
"269",271
"270",271
"271",281
"272",287
"273",290
"274",290
"275",293
"276",298
"277",302
"278",304
"279",307
"280",307
"281",309
"282",311
"283",312
"284",318
"285",318
"286",318
"287",319
"288",320
"289",323
"290",325
"291",328
"292",332
"293",335
"294",337
"295",344
"296",346
"297",354
"298",365
"299",373
"300",373
"301",380
"302",392
"303",397
"304",401
"305",410
"306",410
"307",417
"308",422
"309",429
"310",429
"311",431
"312",439
"313",439
"314",439
"315",442
"316",443
"317",447
"318",452
"319",464
"320",468
"321",480
"322",480
"323",489
"324",492
"325",493
"326",493
"327",494
"328",502
"329",512
"330",524
"331",527
"332",537
"333",544
"334",584
"335",593
"336",616
"337",619
"338",619
"339",635
"340",729
"341",743
"342",755
"343",755
"344",759
"345",762
"346",774
"347",797
"348",837
"349",871
"350",891
"351",907
"352",930
"353",930
"354",931
"355",953
"356",968
"357",977
