"","x"
"1",10
"2",10
"3",10
"4",10
"5",10
"6",10
"7",10
"8",10
"9",10
"10",10
"11",10
"12",10
"13",10
"14",10
"15",10
"16",10
"17",10
"18",10
"19",10
"20",10
"21",10
"22",10
"23",10
"24",10
"25",10
"26",10
"27",10
"28",10
"29",10
"30",10
"31",10
"32",10
"33",10
"34",10
"35",10
"36",10
"37",10
"38",10
"39",10
"40",10
"41",10
"42",10
"43",10
"44",11
"45",11
"46",11
"47",11
"48",11
"49",11
"50",11
"51",11
"52",11
"53",11
"54",11
"55",11
"56",11
"57",11
"58",11
"59",11
"60",11
"61",11
"62",11
"63",11
"64",11
"65",11
"66",11
"67",11
"68",11
"69",11
"70",11
"71",11
"72",11
"73",11
"74",11
"75",11
"76",11
"77",11
"78",11
"79",11
"80",11
"81",11
"82",11
"83",12
"84",12
"85",12
"86",12
"87",12
"88",12
"89",12
"90",12
"91",12
"92",12
"93",12
"94",12
"95",12
"96",12
"97",12
"98",12
"99",12
"100",12
"101",12
"102",12
"103",12
"104",12
"105",12
"106",12
"107",12
"108",12
"109",12
"110",12
"111",12
"112",12
"113",12
"114",13
"115",13
"116",13
"117",13
"118",13
"119",13
"120",13
"121",13
"122",13
"123",13
"124",13
"125",13
"126",13
"127",13
"128",13
"129",13
"130",13
"131",13
"132",13
"133",13
"134",13
"135",13
"136",13
"137",13
"138",13
"139",13
"140",13
"141",13
"142",13
"143",13
"144",13
"145",13
"146",13
"147",13
"148",13
"149",13
"150",13
"151",13
"152",13
"153",13
"154",13
"155",14
"156",14
"157",14
"158",14
"159",14
"160",14
"161",14
"162",14
"163",14
"164",14
"165",14
"166",14
"167",14
"168",14
"169",14
"170",14
"171",14
"172",14
"173",14
"174",14
"175",14
"176",14
"177",14
"178",14
"179",14
"180",14
"181",14
"182",14
"183",14
"184",14
"185",14
"186",14
"187",14
"188",14
"189",14
"190",15
"191",15
"192",15
"193",15
"194",15
"195",15
"196",15
"197",15
"198",15
"199",15
"200",15
"201",15
"202",15
"203",15
"204",15
"205",15
"206",15
"207",15
"208",15
"209",15
"210",15
"211",15
"212",15
"213",15
"214",15
"215",15
"216",15
"217",15
"218",15
"219",15
"220",15
"221",15
"222",15
"223",15
"224",15
"225",15
"226",15
"227",16
"228",16
"229",16
"230",16
"231",16
"232",16
"233",16
"234",16
"235",16
"236",16
"237",16
"238",16
"239",16
"240",16
"241",16
"242",16
"243",16
