"","depth","spA","spB","spC","spD","spE","spF","spG","spH","spI","spJ","spK","spL","spM","spN","spO","spP"
"1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2",5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"3",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"5",11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"6",13,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0
"7",16,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0
"8",19,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
"9",22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",24,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"11",25,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"12",28,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"13",30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"14",34,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"15",36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"16",38,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"17",41,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"18",44,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"19",48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
