"","depth","spA","spB","spC","spD","spE","spF","spG","spH","spI","spJ","spK","spL","spM","spN","spO","spP"
"1",11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",12,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"3",14,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4",16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",17,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"6",20,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"7",21,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"8",22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"10",26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12",30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"14",33,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"15",35,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"16",36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"17",38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18",41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"19",43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"20",45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21",47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
