"","N","E","O","A","C"
"N1",0.81,0.02,-0.01,-0.01,-0.1
"N2",0.63,-0.03,0.01,-0.48,-0.08
"N3",0.8,-0.1,0.02,-0.03,-0.26
"N4",0.73,-0.18,-0.09,0.04,-0.16
"N5",0.49,0.35,0.02,-0.21,-0.32
"N6",0.7,-0.15,-0.09,0.04,-0.38
"E1",-0.12,0.66,0.18,0.38,0.13
"E2",-0.18,0.66,0.04,0.07,-0.03
"E3",-0.32,0.44,0.23,-0.32,0.32
"E4",0.04,0.54,0.16,-0.27,0.42
"E5",0,0.58,0.11,-0.38,-0.06
"E6",-0.04,0.74,0.19,0.1,0.1
"O1",0.18,0.18,0.58,-0.14,-0.31
"O2",0.14,0.04,0.73,0.17,0.14
"O3",0.37,0.41,0.5,-0.01,0.12
"O4",-0.19,0.22,0.57,0.04,-0.04
"O5",-0.15,-0.01,0.75,-0.09,0.16
"O6",-0.13,0.08,0.49,-0.07,-0.15
"A1",-0.35,0.22,0.15,0.56,0.03
"A2",-0.03,-0.15,-0.11,0.68,0.24
"A3",-0.06,0.52,-0.05,0.55,0.27
"A4",-0.16,-0.08,0,0.77,0.01
"A5",0.19,-0.12,-0.18,0.59,-0.08
"A6",0.04,0.27,0.13,0.62,0
"C1",-0.41,0.17,0.13,0.03,0.64
"C2",-0.04,0.06,-0.19,0.01,0.7
"C3",-0.2,-0.04,0.01,0.29,0.68
"C4",-0.09,0.23,0.15,-0.13,0.74
"C5",-0.33,0.17,-0.08,0.06,0.75
"C6",-0.23,-0.28,-0.04,0.22,0.57
