"","short.run","long.run"
"1",2.183,1.575
"2",2.246,1.545
"3",2.308,1.762
"4",2.401,1.773
"5",2.558,1.808
"6",2.507,1.81
"7",2.396,1.703
"8",2.352,1.683
"9",2.432,1.819
"10",2.508,1.825
"11",2.534,1.782
"12",2.538,1.943
"13",2.492,1.789
"14",2.637,1.848
"15",2.52,1.77
"16",2.435,1.812
"17",2.394,1.886
"18",2.424,1.949
"19",2.474,2.013
"20",2.561,2.086
"21",2.703,2.042
"22",2.542,2.006
"23",2.522,2.134
"24",2.559,2.163
"25",2.657,2.093
"26",2.73,2.215
"27",2.759,2.132
"28",3.003,2.459
"29",3.307,2.633
"30",3.008,2.334
"31",2.99,2.306
"32",3.091,2.209
"33",2.648,1.946
"34",2.706,1.696
"35",2.753,1.755
"36",2.483,1.665
"37",2.49,1.193
"38",2.468,1.119
"39",2.422,1.136
"40",2.341,0.986
"41",2.512,0.957
"42",2.431,0.847
"43",2.39,0.896
"44",2.459,1.038
"45",2.462,1.196
"46",2.44,1.261
"47",2.495,1.252
"48",2.505,1.286
"49",2.651,1.473
"50",2.713,1.821
"51",2.7,1.776
"52",2.764,1.953
"53",2.731,1.869
"54",2.858,1.96
"55",2.987,2.191
"56",2.957,2.415
"57",2.888,2.278
"58",2.805,2.312
"59",2.892,2.689
"60",2.922,2.732
"61",2.815,2.447
"62",2.838,2.546
"63",3.073,2.732
"64",3.058,3.039
"65",2.893,2.862
"66",2.967,2.693
"67",3.189,2.935
"68",3.405,3.237
"69",3.335,3.335
"70",3.468,3.335
"71",3.487,3.694
"72",3.713,3.801
"73",3.214,3.271
"74",3.357,3.471
"75",3.369,3.358
"76",3.526,3.426
"77",3.679,3.49
"78",3.896,3.714
"79",3.88,3.798
"80",3.797,4.109
"81",4.011,4.188
"82",3.914,4.009
"83",3.344,3.456
"84",3.062,2.772
"85",3.173,2.144
"86",3.057,1.805
"87",2.916,1.657
"88",2.836,1.462
"89",2.922,1.321
"90",3.016,1.303
"91",3.195,1.468
"92",3.761,2.962
"93",3.748,3.363
"94",3.712,3.089
"95",3.644,3.381
"96",3.901,3.19
"97",3.991,3.403
"98",3.796,3.383
"99",3.973,3.594
"100",4.202,3.608
"101",4.178,3.861
"102",4.227,3.966
"103",4.406,4.409
"104",4.486,4.563
"105",4.471,4.925
"106",4.484,4.548
"107",4.517,4.947
"108",4.703,5.025
"109",4.632,4.711
"110",4.396,4.396
"111",4.071,3.627
"112",4.34,4.157
"113",4.149,3.929
"114",4.205,3.18
