"","x","y","elevation","forest","chaparral"
"1",230736.7,3774324.4,241,0,0
"2",231036.7,3774324.4,323,0,0
"3",231336.7,3774324.4,277,0,0
"4",230436.7,3774024.4,13,0,0
"5",230736.7,3774024.4,590,0,0
"6",231036.7,3774024.4,533,0,0
"7",231336.7,3774024.4,378,0,0
"8",231636.7,3774024.4,329,0,0.02
"9",231936.7,3774024.4,265,0,0.01
"10",232236.7,3774024.4,282,0,0.02
"11",232536.7,3774024.4,220,0,0.03
"12",232836.7,3774024.4,268,0,0.01
"13",233136.7,3774024.4,153,0,0
"14",233436.7,3774024.4,232,0,0.02
"15",233736.7,3774024.4,299,0,0.04
"16",234336.7,3774024.4,30,0,0.03
"17",230436.7,3773724.4,266,0,0
"18",230736.7,3773724.4,390,0,0
"19",231036.7,3773724.4,532,0,0
"20",231336.7,3773724.4,716,0,0
"21",231636.7,3773724.4,575,0,0.04
"22",231936.7,3773724.4,419,0,0.05
"23",232236.7,3773724.4,386,0,0.09
"24",232536.7,3773724.4,342,0,0.12
"25",232836.7,3773724.4,333,0,0.03
"26",233136.7,3773724.4,346,0,0.02
"27",233436.7,3773724.4,400,0,0.13
"28",233736.7,3773724.4,416,0,0.32
"29",234036.7,3773724.4,396,0,0.43
"30",234336.7,3773724.4,378,0,0.36
"31",234636.7,3773724.4,391,0,0.31
"32",234936.7,3773724.4,358,0,0.18
"33",235236.7,3773724.4,230,0,0.14
"34",235536.7,3773724.4,19,0,0.18
"35",235836.7,3773724.4,224,0,0.24
"36",236136.7,3773724.4,36,0,0.16
"37",230436.7,3773424.4,54,0,0
"38",230736.7,3773424.4,175,0,0
"39",231036.7,3773424.4,284,0,0
"40",231336.7,3773424.4,365,0,0
"41",231636.7,3773424.4,524,0,0.01
"42",231936.7,3773424.4,768,0,0.06
"43",232236.7,3773424.4,641,0,0.22
"44",232536.7,3773424.4,502,0,0.28
"45",232836.7,3773424.4,462,0,0.21
"46",233136.7,3773424.4,516,0,0.15
"47",233436.7,3773424.4,578,0,0.26
"48",233736.7,3773424.4,575,0,0.42
"49",234036.7,3773424.4,525,0,0.55
"50",234336.7,3773424.4,486,0,0.61
"51",234636.7,3773424.4,440,0,0.58
"52",234936.7,3773424.4,455,0,0.33
"53",235236.7,3773424.4,402,0,0.4
"54",235536.7,3773424.4,289,0,0.46
"55",235836.7,3773424.4,439,0,0.6
"56",236136.7,3773424.4,367,0,0.55
"57",236436.7,3773424.4,395,0,0.45
"58",236736.7,3773424.4,359,0,0.18
"59",230736.7,3773124.4,56,0,0
"60",231036.7,3773124.4,158,0,0
"61",231336.7,3773124.4,267,0,0
"62",231636.7,3773124.4,317,0,0
"63",231936.7,3773124.4,370,0,0
"64",232236.7,3773124.4,564,0,0.08
"65",232536.7,3773124.4,655,0,0.1
"66",232836.7,3773124.4,775,0,0.11
"67",233136.7,3773124.4,888,0,0.09
"68",233436.7,3773124.4,965,0,0.1
"69",233736.7,3773124.4,1011,0,0.13
"70",234036.7,3773124.4,740,0,0.24
"71",234336.7,3773124.4,640,0,0.41
"72",234636.7,3773124.4,573,0,0.53
"73",234936.7,3773124.4,419,0,0.37
"74",235236.7,3773124.4,423,0,0.49
"75",235536.7,3773124.4,465,0,0.56
"76",235836.7,3773124.4,549,0,0.59
"77",236136.7,3773124.4,479,0,0.5
"78",236436.7,3773124.4,547,0,0.52
"79",236736.7,3773124.4,532,0,0.38
"80",237036.7,3773124.4,215,0,0.25
"81",237336.7,3773124.4,313,0,0.23
"82",230436.7,3772824.4,0,0,0.01
"83",230736.7,3772824.4,63,0,0.02
"84",231036.7,3772824.4,89,0,0.01
"85",231336.7,3772824.4,109,0,0
"86",231636.7,3772824.4,121,0,0
"87",231936.7,3772824.4,182,0,0
"88",232236.7,3772824.4,215,0,0
"89",232536.7,3772824.4,339,0,0.06
