"","SurveyYear","RouteNumStopNum","JulianDate","Pcru","MinAfterSunset","Temperature"
"1159",2005,"470104_1",153,0,74,12
"1160",2005,"470104_2",153,0,84,12
"1161",2005,"470104_3",153,0,96,11
"1162",2005,"470104_4",153,0,114,11
"1163",2005,"470104_5",153,0,131,11
"1164",2005,"470104_6",153,0,144,11
"1165",2005,"470104_7",153,0,163,11
"1166",2005,"470104_8",153,0,179,11
"1167",2005,"470104_9",153,0,193,12
"1168",2005,"470104_10",153,0,204,12
"1209",2005,"470503_1",156,0,44,28
"1210",2005,"470503_2",156,0,52,29
"1211",2005,"470503_3",156,0,61,27
"1212",2005,"470503_4",156,0,70,24
"1213",2005,"470503_5",156,0,79,27
"1214",2005,"470503_6",156,0,87,25
"1215",2005,"470503_7",156,0,95,23
"1216",2005,"470503_8",156,2,104,23
"1217",2005,"470503_9",156,1,113,23
"1218",2005,"470503_10",156,0,121,23
"1491",2005,"470103_1",160,0,58,23
"1492",2005,"470103_2",160,0,65,22
"1493",2005,"470103_3",160,0,73,22
"1494",2005,"470103_4",160,0,81,22
"1495",2005,"470103_5",160,0,91,21
"1496",2005,"470103_6",160,0,98,21
"1497",2005,"470103_7",160,0,108,21
"1498",2005,"470103_8",160,0,115,21
"1499",2005,"470103_9",160,0,123,22
"1500",2005,"470103_10",160,0,130,21
"1553",2005,"470401_1",148,3,27,14
"1554",2005,"470401_2",148,3,35,15
"1555",2005,"470401_3",148,3,41,15
"1556",2005,"470401_4",148,3,48,13
"1557",2005,"470401_5",148,3,56,14
"1558",2005,"470401_6",148,3,63,13
"1559",2005,"470401_7",148,2,70,15
"1560",2005,"470401_8",148,3,78,14
"1561",2005,"470401_9",148,1,86,14
"1562",2005,"470401_10",148,3,94,15
"1823",2005,"470102_1",131,3,45,19
"1824",2005,"470102_2",131,2,65,19
"1825",2005,"470102_3",131,3,77,17
"1826",2005,"470102_4",131,3,92,17
"1827",2005,"470102_5",131,3,103,17
"1828",2005,"470102_6",131,3,115,16
"1829",2005,"470102_7",131,3,125,16
"1830",2005,"470102_8",131,3,133,16
"1831",2005,"470102_9",131,2,142,15
"1832",2005,"470102_10",131,3,152,15
"1833",2005,"470102_1",154,3,59,17
"1834",2005,"470102_2",154,0,69,18
"1835",2005,"470102_3",154,0,76,18
"1836",2005,"470102_4",154,3,84,17
"1837",2005,"470102_5",154,3,91,18
"1838",2005,"470102_6",154,3,101,18
"1839",2005,"470102_7",154,3,109,18
"1840",2005,"470102_8",154,0,118,18
"1841",2005,"470102_9",154,0,127,17
"1842",2005,"470102_10",154,3,137,18
"2105",2005,"470302_1",96,1,89,11
"2106",2005,"470302_2",96,0,97,11
"2107",2005,"470302_3",96,3,105,10
"2108",2005,"470302_4",96,3,112,10
"2109",2005,"470302_5",96,0,119,11
"2110",2005,"470302_6",96,3,127,11
"2111",2005,"470302_7",96,3,135,9
"2112",2005,"470302_8",96,1,144,8
"2113",2005,"470302_9",96,1,151,9
"2114",2005,"470302_10",96,2,158,8
"2125",2005,"470201_5",137,0,-26,17
"2126",2005,"470201_6",137,3,-18,17
"2127",2005,"470201_7",137,0,-11,17
"2128",2005,"470201_8",137,0,-4,16
"2129",2005,"470201_9",137,3,2,16
"2130",2005,"470201_10",137,0,8,16
"2192",2005,"470104_1",181,0,64,20
"2193",2005,"470104_2",181,0,76,20
"2194",2005,"470104_3",181,0,87,19
"2195",2005,"470104_4",181,0,102,19
"2197",2005,"470104_5",181,0,113,19
"2198",2005,"470104_6",181,0,124,19
"2199",2005,"470104_7",181,0,139,17
"2200",2005,"470104_8",181,0,152,18
"2201",2005,"470104_9",181,0,166,18
"2202",2005,"470104_10",181,0,178,18
"2223",2005,"470503_1",181,0,35,22
"2224",2005,"470503_2",181,0,42,22
"2225",2005,"470503_3",181,0,50,21
"2226",2005,"470503_4",181,0,60,22
"2227",2005,"470503_5",181,0,68,22
"2228",2005,"470503_6",181,0,76,22
"2229",2005,"470503_7",181,0,83,22
"2230",2005,"470503_8",181,0,92,22
"2231",2005,"470503_9",181,0,101,22
"2232",2005,"470503_10",181,0,110,22
"2233",2005,"470204_1",155,0,58,19
"2234",2005,"470204_2",155,1,78,19
"2235",2005,"470204_3",155,1,87,19
"2236",2005,"470204_4",155,1,96,18
"2237",2005,"470204_5",155,0,106,19
"2238",2005,"470204_6",155,1,114,18
"2239",2005,"470204_7",155,1,122,18
"2240",2005,"470204_8",155,0,130,18
"2241",2005,"470204_9",155,2,138,18
"2242",2005,"470204_10",155,0,146,18
"2243",2005,"470204_1",183,0,48,23
"2244",2005,"470204_2",183,0,59,23
"2245",2005,"470204_3",183,0,68,23
"2246",2005,"470204_4",183,0,80,22
"2247",2005,"470204_5",183,0,90,22
"2248",2005,"470204_6",183,0,99,22
"2249",2005,"470204_7",183,0,108,22
"2250",2005,"470204_8",183,0,118,21
"2251",2005,"470204_9",183,0,126,18
"2252",2005,"470204_10",183,0,134,21
"2253",2005,"470102_1",186,0,46,22
"2254",2005,"470102_2",186,0,54,23
"2255",2005,"470102_3",186,0,62,22
"2256",2005,"470102_4",186,0,75,22
"2257",2005,"470102_5",186,0,90,22
"2258",2005,"470102_6",186,0,101,22
"2259",2005,"470102_7",186,0,109,22
"2260",2005,"470102_8",186,0,122,22
"2261",2005,"470102_9",186,0,130,22
"2262",2005,"470102_10",186,0,138,22
"2334",2005,"470502_1",100,3,146,6
"2335",2005,"470502_2",100,2,158,6
"2336",2005,"470502_3",100,2,167,6
"2337",2005,"470502_4",100,1,174,6
"2338",2005,"470502_5",100,0,183,6
"2339",2005,"470502_6",100,1,190,6
"2340",2005,"470502_7",100,0,197,6
"2341",2005,"470502_8",100,0,204,6
"2342",2005,"470502_9",100,0,210,5
"2343",2005,"470502_10",100,0,219,6
"2374",2005,"470201_4",194,0,-28,24
"2375",2005,"470201_5",194,0,-23,24
"2376",2005,"470201_6",194,0,-17,23
"2377",2005,"470201_7",194,0,-12,23
"2378",2005,"470201_8",194,0,-7,23
"2379",2005,"470201_9",194,0,-1,23
"2380",2005,"470201_10",194,0,5,23
"2411",2005,"470401_1",165,0,35,21
"2412",2005,"470401_2",165,1,43,21
"2413",2005,"470401_3",165,3,51,21
"2414",2005,"470401_4",165,0,59,21
"2415",2005,"470401_5",165,0,73,21
"2416",2005,"470401_6",165,3,79,20
"2417",2005,"470401_7",165,1,87,22
"2418",2005,"470401_8",165,0,94,21
"2420",2005,"470401_9",165,0,102,20
"2421",2005,"470401_10",165,3,109,21
"2422",2005,"470401_1",192,0,36,21
"2423",2005,"470401_2",192,0,43,19
"2424",2005,"470401_3",192,0,53,21
"2425",2005,"470401_4",192,0,60,24
"2426",2005,"470401_5",192,0,68,19
"2427",2005,"470401_6",192,0,76,19
"2428",2005,"470401_7",192,0,83,19
"2429",2005,"470401_8",192,0,91,20
"2430",2005,"470401_9",192,0,99,20
"2431",2005,"470401_10",192,0,107,20
"2482",2005,"470502_1",127,0,79,15
"2483",2005,"470502_2",127,1,87,15
"2484",2005,"470502_3",127,0,95,15
"2485",2005,"470502_4",127,1,102,15
"2486",2005,"470502_5",127,0,109,15
"2487",2005,"470502_6",127,1,118,15
"2488",2005,"470502_7",127,0,126,15
"2489",2005,"470502_8",127,0,133,15
"2490",2005,"470502_9",127,0,141,15
"2491",2005,"470502_10",127,0,152,15
"2492",2005,"470502_1",157,0,31,20
"2493",2005,"470502_2",157,0,38,20
"2494",2005,"470502_3",157,0,47,20
"2495",2005,"470502_4",157,0,58,20
"2496",2005,"470502_5",157,0,70,20
"2497",2005,"470502_6",157,0,76,20
"2498",2005,"470502_7",157,0,86,20
"2499",2005,"470502_8",157,0,94,20
"2500",2005,"470502_9",157,0,101,20
"2501",2005,"470502_10",157,0,111,20
"2502",2005,"470502_1",189,0,77,19
"2503",2005,"470502_2",189,0,85,19
"2504",2005,"470502_3",189,0,93,19
"2505",2005,"470502_4",189,0,101,19
"2506",2005,"470502_5",189,0,109,19
"2507",2005,"470502_6",189,0,118,19
"2508",2005,"470502_7",189,0,132,19
"2509",2005,"470502_8",189,0,139,19
"2510",2005,"470502_9",189,0,157,19
"2511",2005,"470502_10",189,0,167,19
"2928",2001,"470204_2",112,0,66,NA
"2958",2005,"470803_1",106,3,74,6
"2959",2005,"470803_2",106,2,82,6
"2960",2005,"470803_3",106,0,89,6
"2961",2005,"470803_4",106,2,96,7
"2962",2005,"470803_5",106,3,103,6
"2963",2005,"470803_6",106,2,109,6
"2964",2005,"470803_7",106,1,115,6
"2965",2005,"470803_8",106,1,123,7
"2966",2005,"470803_9",106,2,129,7
"2967",2005,"470803_10",106,3,135,7
"2968",2005,"470803_1",118,3,50,12
"2969",2005,"470803_2",118,3,56,13
"2970",2005,"470803_3",118,0,63,12
"2971",2005,"470803_4",118,3,68,12
"2972",2005,"470803_5",118,3,75,12
"2973",2005,"470803_6",118,2,81,13
"2974",2005,"470803_7",118,3,88,13
"2975",2005,"470803_8",118,3,94,13
"2976",2005,"470803_9",118,3,101,13
"2977",2005,"470803_10",118,3,107,13
"2978",2005,"470803_1",158,0,80,19
"2979",2005,"470803_2",158,0,87,20
"2980",2005,"470803_3",158,0,93,21
