"","k","ksa","r3m","r10y","rgnp"
"1953.1",-1.22686,-1.22683,0.6831,NA,7.26641
"1953.2",-1.20181,-1.20216,0.76686,1.09761,7.2758
"1953.3",-1.22454,-1.22275,0.67141,1.07056,7.27115
"1953.4",-1.21438,-1.21707,0.3873,0.97191,7.26305
"1954.1",-1.22605,-1.22582,0.05827,0.892,7.24907
"1954.2",-1.22598,-1.22504,-0.23953,0.85314,7.24508
"1954.3",-1.24536,-1.24511,-0.12443,0.85314,7.257
"1954.4",-1.27515,-1.27537,0.01686,0.90543,7.27156
"1955.1",-1.27538,-1.276,0.20457,0.97191,7.29275
"1955.2",-1.27897,-1.27775,0.39407,1.01632,7.30364
"1955.3",-1.27372,-1.27315,0.61896,1.08079,7.31688
"1955.4",-1.26812,-1.2685,0.85015,1.06815,7.32561
"1956.1",-1.27093,-1.27077,0.84458,1.06471,7.32363
"1956.2",-1.27519,-1.27363,0.94274,1.1259,7.32817
"1956.3",-1.26832,-1.26777,0.94895,1.18571,7.3289
"1956.4",-1.26726,-1.26633,1.10955,1.24502,7.33993
"1957.1",-1.26235,-1.26255,1.1314,1.22466,7.34814
"1957.2",-1.26359,-1.26177,1.14327,1.28841,7.34756
"1957.3",-1.25523,-1.25589,1.20985,1.36788,7.3534
"1957.4",-1.24984,-1.24998,1.19483,1.29006,7.33778
"1958.1",-1.25641,-1.25691,0.56531,1.11186,7.31728
"1958.2",-1.27845,-1.27556,-0.04395,1.07261,7.32264
"1958.3",-1.28127,-1.28293,0.51879,1.25276,7.34601
"1958.4",-1.28207,-1.282,0.98954,1.335,7.36941
"1959.1",-1.35216,-1.29197,1.01993,1.38379,7.38175
"1959.2",-1.35508,-1.29017,1.09861,1.44856,7.40062
"1959.3",-1.35877,-1.28696,1.26413,1.50474,7.39603
"1959.4",-1.35036,-1.28608,1.4422,1.52235,7.40452
"1960.1",-1.34675,-1.27424,1.35403,1.50118,7.42154
"1960.2",-1.34434,-1.27284,1.09628,1.44927,7.41866
"1960.3",-1.35867,-1.28797,0.85866,1.34365,7.41962
"1960.4",-1.35659,-1.28659,0.83595,1.35764,7.41101
"1961.1",-1.36546,-1.29158,0.85441,1.33157,7.42136
"1961.2",-1.37491,-1.29116,0.83421,1.33237,7.43373
"1961.3",-1.37352,-1.29713,0.83421,1.38128,7.44793
"1961.4",-1.37163,-1.30664,0.90016,1.37952,7.47017
"1962.1",-1.3669,-1.28871,1.00173,1.39053,7.48319
"1962.2",-1.3631,-1.28762,0.99806,1.35403,7.49354
"1962.3",-1.35407,-1.28679,1.0438,1.38379,7.50279
"1962.4",-1.35148,-1.2826,1.03425,1.36174,7.50114
"1963.1",-1.34935,-1.35115,1.06712,1.35918,7.51458
"1963.2",-1.34073,-1.3411,1.07739,1.377,7.52833
"1963.3",-1.33479,-1.33404,1.1918,1.39451,7.54565
"1963.4",-1.32813,-1.32997,1.2519,1.41585,7.55281
"1964.1",-1.31965,-1.32183,1.2613,1.43031,7.57492
"1964.2",-1.30846,-1.30794,1.24617,1.43508,7.58345
"1964.3",-1.31119,-1.31052,1.2519,1.4327,7.59347
"1964.4",-1.31362,-1.31258,1.30373,1.42863,7.59775
"1965.1",-1.30793,-1.30657,1.35841,1.4358,7.61918
"1965.2",-1.30175,-1.30108,1.35403,1.43675,7.63356
"1965.3",-1.29592,-1.2955,1.35248,1.44621,7.64936
"1965.4",-1.29394,-1.29344,1.4272,1.49806,7.67211
"1966.1",-1.29519,-1.29451,1.52823,1.56235,7.6917
"1966.2",-1.29038,-1.29089,1.52323,1.56444,7.6943
"1966.3",-1.27007,-1.26971,1.618,1.63705,7.7045
"1966.4",-1.25842,-1.2588,1.65058,1.61004,7.7094
"1967.1",-1.25263,-1.25384,1.50696,1.52235,7.71503
"1967.2",-1.25705,-1.25819,1.29746,1.57277,7.72099
"1967.3",-1.27082,-1.27253,1.45861,1.65766,7.7353
"1967.4",-1.27302,-1.27373,1.55878,1.73042,7.74092
