"","aus","can","den","fin","fra","ger"
"1870",1.4157,1.6415,2.8758,NA,5.7355,4.0812
"1871",1.3758,1.6709,2.8789,NA,5.7713,4.0746
"1872",1.48,1.4972,2.9328,NA,5.8447,4.1418
"1873",1.5809,1.5904,2.927,NA,5.781,4.1842
"1874",1.6135,1.7806,2.9559,NA,5.9046,4.2558
"1875",1.714,1.7453,2.9728,NA,5.9464,4.2613
"1876",1.714,1.7543,2.9922,NA,5.9063,4.2558
"1877",1.751,1.7806,2.9644,NA,5.9282,4.2502
"1878",1.8417,1.7631,3.0032,NA,5.908,4.2964
"1879",1.8594,1.9217,3.0353,NA,5.8768,4.2722
"1880",1.9107,2.0285,3.0587,NA,5.9349,4.264
"1881",1.9797,2.1553,3.0689,NA,5.9643,4.2884
"1882",1.9202,2.1493,3.1039,NA,6.0007,4.3043
"1883",2.0587,2.1312,3.1377,NA,5.9803,4.3581
"1884",2.0669,2.2271,3.1425,NA,5.9562,4.3827
"1885",2.1301,2.3296,3.1495,NA,5.9643,4.4068
"1886",2.1396,2.2271,3.1887,NA,6.0007,4.4139
"1887",2.274,2.2271,3.2241,NA,5.9803,4.4532
"1888",2.2489,2.2783,3.2307,NA,5.9562,4.4932
"1889",2.3304,2.2544,3.2436,NA,5.9643,4.5211
"1890",2.2954,2.2783,3.3017,NA,5.9771,4.5524
"1891",2.3703,2.4317,3.3216,NA,5.9803,4.5503
"1892",2.2387,2.4089,3.3451,NA,5.9739,4.5907
"1893",2.1822,2.3808,3.3642,NA,5.9897,4.6389
"1894",2.2161,2.376,3.3848,NA,6.0176,4.6631
"1895",2.1565,2.4272,3.439,NA,6.0357,4.7098
"1896",2.23,2.5203,3.4752,NA,6.0638,4.7443
"1897",2.1731,2.3784,3.4987,NA,6.0387,4.7727
"1898",2.3178,2.5488,3.5151,NA,6.108,4.8146
"1899",2.3194,2.5057,3.5566,NA,6.0869,4.8503
"1900",2.3763,2.5508,3.5904,2.7025,6.1177,4.8921
"1901",2.3474,2.6444,3.6318,2.6776,6.0996,4.8684
"1902",2.3612,2.7149,3.6547,2.6459,6.153,4.8921
"1903",2.3822,2.7434,3.7125,2.731,6.2037,4.9462
"1904",2.4273,2.7614,3.7337,2.7723,6.2213,4.9855
"1905",2.44,2.835,3.7505,2.7844,6.1871,5.0066
"1906",2.5298,2.8907,3.7785,2.8211,6.1871,5.0362
"1907",2.5551,2.895,3.8153,2.8809,6.2213,5.0795
"1908",2.5336,2.9367,3.8462,2.8785,6.2687,5.0963
"1909",2.581,3.0438,3.8841,2.8858,6.2532,5.1164
"1910",2.6527,3.0632,3.914,2.9131,6.2687,5.152
"1911",2.6872,3.1461,3.9662,2.9522,6.284,5.1852
"1912",2.728,3.1647,3.9662,3.0323,6.2991,5.2279
"1913",2.7782,3.2459,4.0028,3.0721,6.3151,5.2719
"1914",2.7206,3.183,4.064,2.9985,6.3151,5.1117
"1915",2.711,3.2134,3.9918,2.9778,6.3584,5.0599
"1916",2.7488,3.2569,4.0334,3.0271,6.4407,5.0698
"1917",2.7238,3.2784,3.9724,2.8614,6.3831,5.071
"1918",2.7269,3.2871,3.9388,2.6242,6.3003,5.0734
"1919",2.71,3.333,4.0602,2.7884,6.2568,4.9475
"1920",2.7478,3.2823,4.1063,2.9522,6.2263,5.0311
"1921",2.8356,3.1872,4.077,2.9887,6.1715,5.1383
"1922",2.8781,3.2647,4.1734,3.1017,6.1557,5.2227
"1923",2.9136,3.3257,4.2736,3.1592,6.2398,5.0374
"1924",2.9647,3.3238,4.2767,3.2136,6.2238,5.195
"1925",2.9812,3.3664,4.2536,3.2726,6.3692,5.3014
"1926",2.9869,3.4505,4.3103,3.3087,6.4215,5.3292
"1927",3.007,3.5408,4.33,3.3898,6.5195,5.4246
"1928",2.9885,3.6285,4.3633,3.4228,6.5305,5.4675
"1929",2.9861,3.6326,4.4281,3.4171,6.5424,5.4633
"1930",2.9446,3.5888,4.4859,3.4007,6.5305,5.4492
"1931",2.9031,3.4529,4.4969,3.3558,6.5865,5.3699
"1932",2.9404,3.343,4.4704,3.3737,6.6702,5.2917
"1933",2.9877,3.2745,4.5018,3.4416,6.6396,5.3525
"1934",3.0173,3.3892,4.5317,3.5601,6.5977,5.4399
"1935",3.0528,3.4643,4.5539,3.5837,6.554,5.5125
"1936",3.0938,3.5075,4.5783,3.6515,6.5977,5.5969
"1937",3.1408,3.6029,4.6022,3.7456,6.5977,5.6998
"1938",3.1512,3.6113,4.6261,3.7527,6.5647,5.7972
"1939",3.158,3.6829,4.6727,3.725,6.5761,5.8746
"1940",3.221,3.8146,4.5217,3.598,6.6297,5.8816
"1941",3.3275,3.949,4.4176,3.6571,6.6297,5.9433
"1942",3.4363,4.1193,4.4398,3.7018,6.6702,5.957
"1943",3.4709,4.159,4.5446,3.788,6.478,5.9765
"1944",3.4358,4.1976,4.6442,3.7692,6.2459,6.0019
"1945",3.3847,4.1749,4.5659,3.6092,6.1342,5.6455
"1946",3.3481,4.1477,4.7109,3.7312,6.0812,5.0855
"1947",3.3721,4.1894,4.7655,3.7953,5.9464,5.2907
"1948",3.4347,4.2141,4.7981,3.8583,6.0282,5.4608
"1949",3.498,4.2515,4.8423,3.8998,6.4467,5.6133
"1950",3.5763,4.3245,4.9119,3.96,6.5315,5.7481
"1951",3.6339,4.373,4.906,4.0492,6.59,5.847
"1952",3.654,4.459,4.9207,4.0831,6.6151,5.9325
"1953",3.6522,4.5088,4.9781,4.0842,6.6442,6.0113
"1954",3.7141,4.4964,5.0066,4.1707,6.6912,6.0831
"1955",3.7661,4.5963,5.0066,4.2436,6.7457,6.1966
"1956",3.8201,4.6775,5.0265,4.2631,6.7939,6.267
"1957",3.845,4.7005,5.0783,4.2784,6.8521,6.322
"1958",3.8609,4.7238,5.1023,4.2774,6.8774,6.3587
"1959",3.9466,4.7605,5.1671,4.3476,6.9537,6.4291
"1960",3.9989,4.7892,5.2295,4.4423,7.0229,6.5958
"1961",3.991,4.7983,5.2883,4.5155,7.0766,6.6383
"1962",4.0565,4.8691,5.3414,4.5449,7.1413,6.6845
"1963",4.1205,4.9185,5.3476,4.5773,7.1937,6.7115
"1964",4.1787,4.9836,5.4333,4.6279,7.2563,6.775
"1965",4.236,5.0466,5.4806,4.6803,7.3079,6.8273
"1966",4.2583,5.1126,5.5318,4.7032,7.3588,6.8566
"1967",4.3124,5.1411,5.568,4.7247,7.4049,6.8557
"1968",4.381,5.1952,5.6051,4.7475,7.4466,6.9117
"1969",4.461,5.2486,5.6685,4.8315,7.5142,6.9847
"1970",4.5208,5.2735,5.6907,4.9112,7.6153,7.0335
"1971",4.5774,5.3293,5.715,4.9323,7.662,7.063
"1972",4.6131,5.3868,5.768,5.0053,7.7053,7.1041
"1973",4.6738,5.4613,5.8159,5.0702,7.7583,7.1499
"1974",4.6867,5.5037,5.8063,5.1005,7.789,7.1515
"1975",4.7113,5.529,5.7997,5.112,7.7861,7.1373
"1976",4.7484,5.5854,5.8625,5.1144,7.8276,7.1914
"1977",4.7562,5.6179,5.8786,5.1156,7.8594,7.2174
"1978",4.7916,5.6588,5.8933,5.137,7.8925,7.2499
"1979",4.8259,5.6954,5.9283,5.2078,7.9241,7.2889
"1980",4.845,5.7108,5.9237,5.2606,7.9402,7.3032
"1981",4.8798,5.7401,5.9149,5.2766,7.9519,7.3032
"1982",4.8851,5.7054,5.9446,5.3122,7.9773,7.2937
"1983",4.8888,5.742,5.9695,5.3414,7.9841,7.3125
"1984",4.9544,5.8012,6.0122,5.3734,7.9973,7.3447
"1985",4.9986,5.8433,6.0533,5.4076,8.0137,7.3652
"1986",5.012,5.8727,6.0861,5.4315,8.0343,7.389
