"","conl","incl"
"1",9.793952,9.850719
"2",9.855662,9.922947
"3",9.877965,9.912794
"4",9.917933,9.91941
"5",9.812742,9.88878
"6",9.866045,9.934502
"7",9.874471,9.929204
"8",9.928229,9.957407
"9",9.818474,9.896362
"10",9.890504,9.960246
"11",9.900533,9.939578
"12",9.953182,9.976738
"13",9.852983,9.925787
"14",9.906384,9.965711
"15",9.920394,9.958828
"16",9.978781,9.9835
"17",9.879911,9.944965
"18",9.958638,10.02575
"19",9.963359,10.0144
"20",10.02455,10.04594
"21",9.939482,10.00717
"22",10.00193,10.08343
"23",10.00043,10.07916
"24",10.03867,10.11622
"25",9.961096,10.06441
"26",10.02371,10.12114
"27",10.0254,10.13289
"28",10.05809,10.13162
"29",9.975716,10.07386
"30",10.05057,10.12041
"31",10.04403,10.13638
"32",10.08656,10.16246
"33",10.00568,10.10406
"34",10.09051,10.16115
"35",10.10806,10.19571
"36",10.13174,10.21233
"37",10.0541,10.16808
"38",10.11597,10.20444
"39",10.12967,10.22256
"40",10.15821,10.24431
"41",10.07513,10.19757
"42",10.12631,10.22568
"43",10.14628,10.23484
"44",10.17027,10.26284
"45",10.10025,10.26782
"46",10.16146,10.24406
"47",10.15429,10.23545
"48",10.17294,10.26263
"49",10.10012,10.22318
"50",10.16385,10.26566
"51",10.19054,10.28408
"52",10.2272,10.29452
"53",10.16973,10.28165
"54",10.17557,10.29126
"55",10.2043,10.27371
"56",10.24438,10.29171
"57",10.14628,10.27726
"58",10.19627,10.29177
"59",10.2116,10.28545
"60",10.26032,10.31927
"61",10.16146,10.29215
"62",10.21896,10.33741
"63",10.24945,10.34071
"64",10.28957,10.35622
"65",10.18467,10.30159
"66",10.24733,10.34026
"67",10.27877,10.34814
"68",10.32964,10.38511
"69",10.24402,10.36161
"70",10.30622,10.44191
"71",10.33595,10.42448
"72",10.3924,10.47107
"73",10.33199,10.44892
"74",10.35255,10.50007
"75",10.3791,10.50578
"76",10.41817,10.51089
"77",10.30042,10.46721
"78",10.3353,10.46305
"79",10.36587,10.50493
"80",10.42005,10.49665
"81",10.31241,10.50589
"82",10.33984,10.4785
"83",10.35022,10.48991
"84",10.39234,10.47084
"85",10.3032,10.47016
"86",10.33055,10.46801
"87",10.3598,10.5107
"88",10.41208,10.47373
"89",10.30068,10.44459
"90",10.31513,10.44447
"91",10.34945,10.47751
"92",10.41787,10.51056
"93",10.3612,10.49449
"94",10.37533,10.53092
"95",10.4125,10.55101
"96",10.45392,10.56896
"97",10.39577,10.55362
"98",10.44564,10.58613
"99",10.4477,10.58208
"100",10.4905,10.63969
"101",10.43191,10.59901
"102",10.40844,10.59541
"103",10.4466,10.61411
"104",10.47249,10.60743
"105",10.40961,10.59531
"106",10.41223,10.57408
"107",10.44587,10.57679
"108",10.48033,10.57116
"109",10.40068,10.57852
"110",10.41052,10.57147
"111",10.45786,10.58679
"112",10.50775,10.5883
"113",10.43506,10.57595
"114",10.44953,10.59841
"115",10.50117,10.6159
"116",10.54088,10.62835
"117",10.45772,10.6019
"118",10.47438,10.61859
"119",10.49916,10.6202
"120",10.5607,10.66235
