"","CityCode","CityName","Type","FertilityRate","MortalityRate","MR_male","MR_female","IMR","FDR_sp","FDR_artificial","MarriageRate","DivorceRate","TFR","SMR_male","SMR_female","pop_male","pop_female"
"1",40133,"Chuuou","Ward",8.9,6,6.7,5.4,2.4,9.4,19.2,8.8,2.21,0.87,89.3,97.4,78184,97962
"2",40132,"Hakata","Ward",10.4,6.9,7.5,6.3,2.1,9.8,20.9,9.6,2.61,1.15,103,95.2,100356,109187
"3",40134,"Minami","Ward",9.9,7.3,8.2,6.5,2.2,11.4,14.8,6.6,2.27,1.27,98.7,95.5,114153,130298
"4",40137,"Sawara","Ward",9.9,7,7.7,6.4,2.1,10.4,15.8,5.8,2.07,1.38,96.4,97.1,99240,110847
"5",40131,"Higashi","Ward",10.5,7.1,7.8,6.4,2.7,10.7,16.5,6.7,2.26,1.42,99.7,95.5,139179,146916
"6",40135,"Nishi","Ward",10.2,7.4,8.2,6.7,2.4,12,11.8,5.6,1.97,1.46,96.3,87.2,91725,100158
"7",40136,"Jounan","Ward",8.7,6.8,7.5,6.2,2,11.8,13.4,5.6,1.9,1.19,96,93.2,60967,66828
"8",40101,"Moji","Ward",7,12.8,14.3,11.6,2.8,11.3,19.9,4.4,1.9,1.42,105.4,100,47500,56223
"9",40103,"Wakamatsu","Ward",7.1,11.6,12.9,10.6,3.3,10.3,17.1,4.4,1.89,1.41,112.5,103.6,39622,44640
"10",40105,"Tobata","Ward",8,11,12.1,10,3.3,11.9,21.5,5.5,1.89,1.53,110.5,94.8,29586,31414
"11",40106,"Kokurakita","Ward",8.9,10.6,11.8,9.5,2,10.3,25.6,7,2.55,1.41,112,105.2,83562,95077
"12",40107,"Kokuraminami","Ward",10,8.6,9.5,7.7,2.1,11.5,17,5.7,2.39,1.61,97.9,96.6,101760,112017
"13",40108,"Yahatahigashi","Ward",6.6,13.5,15.1,12.1,1.7,10.3,26.2,4.8,1.75,1.31,111.5,98.2,32751,38188
"14",40109,"Yahatanishi","Ward",9.3,9.5,10.5,8.6,2.8,11.6,17.7,5.4,2.26,1.55,101.5,99,119721,134915
"15",40202,"Oomuta","City",7.1,13.9,14.8,13.2,2.3,10.4,22.3,4.3,1.91,1.5,105.1,99.1,56088,67122
"16",40203,"Kurume","City",9.7,9.4,10.1,8.8,2.3,10.1,16.9,5.7,2.07,1.56,102.3,102,143090,157362
"17",40215,"Nakama","City",7.2,12.6,14.1,11.3,2.5,9.2,22.1,5,2.69,1.4,109.4,108.8,20350,23672
"18",40220,"Munakata","City",8.4,8.4,9.5,7.4,3.5,6.4,13.6,4.7,1.7,1.37,89.9,91.1,44694,50331
"19",40224,"Fukutsu","City",8.1,9.6,10.9,8.6,2.2,7.9,11.5,4.4,1.63,1.4,92.8,85.6,25605,29683
"20",40381,"Ashiya","Town",8.7,10.2,10.5,10,1.5,11.7,8.8,6.2,2.22,1.67,101,100.4,7471,7824
"21",40382,"Mizumaki","Town",8.4,10.9,12.2,9.7,1.6,9.4,21.8,5.3,2.3,1.51,110.6,99.9,13814,15892
"22",40383,"Okagaki","Town",7.4,10.5,12.3,8.8,5.1,9.1,15.7,4.3,1.98,1.37,97.6,91,15018,16964
"23",40384,"Onga","Town",8.3,9.2,9.2,9.2,NA,13.5,18.4,5.3,2.35,1.44,85.3,101.2,8961,10095
"24",40223,"Koga","City",9.8,7.6,8.5,6.7,3.9,8.6,19.3,5.1,1.98,1.52,96.9,91.1,27483,30077
"25",40341,"Umi","Town",8.8,8,7.8,8.1,NA,11,14.4,5.2,2.51,1.45,98.1,110.8,19287,19024
"26",40342,"Sasaguri","Town",12,7.7,8.1,7.2,1.1,16.6,12,6,2.48,1.79,98.3,87.1,14968,16268
"27",40343,"Shime","Town",13.2,7.4,8.2,6.8,1.4,11,13.4,6.4,2.7,1.77,104.1,99.7,20678,22499
"28",40344,"Sue","Town",10.4,8.4,9.2,7.8,0.7,12.3,15.2,5.5,2.6,1.63,100.4,83.3,12421,13478
"29",40345,"Shingu","Town",13.5,6.9,7.6,6.2,2.4,6.5,11.3,5.8,2.01,1.8,105.5,99.1,11900,12631
"30",40348,"Hisayama","Town",8.4,8.7,9.2,8.3,NA,13.9,19.4,4.1,1.72,1.32,93,96.4,3965,4389
"31",40349,"Kasuya","Town",17.3,6.2,6.8,5.7,3.1,9.8,11.4,8.9,2.77,2.03,102.6,105.8,20559,21193
