"","Genus","Family","Order","Subclass","Class"
"Achimill","Achillea","Asteraceae","Asterales","Asterids","Dicots"
"Agrostol","Agrostis","Poaceae","Poales","Commelinids","Monocots"
"Airaprae","Aira","Poaceae","Poales","Commelinids","Monocots"
"Alopgeni","Alopecurus","Poaceae","Poales","Commelinids","Monocots"
"Anthodor","Anthoxanthum","Poaceae","Poales","Commelinids","Monocots"
"Bellpere","Bellis","Asteraceae","Asterales","Asterids","Dicots"
"Bromhord","Bromus","Poaceae","Poales","Commelinids","Monocots"
"Chenalbu","Chenopodium","Amaranthaceae","Caryophyllales","Caryophyllales","Dicots"
"Cirsarve","Cirsium","Asteraceae","Asterales","Asterids","Dicots"
"Comapalu","Comarum","Rosaceae","Rosales","Rosids","Dicots"
"Eleopalu","Eleocharis","Cyperaceae","Poales","Commelinids","Monocots"
"Elymrepe","Elymus","Poaceae","Poales","Commelinids","Monocots"
"Empenigr","Empetrum","Ericaceae","Ericales","Asterids","Dicots"
"Hyporadi","Hypochaeris","Asteraceae","Asterales","Asterids","Dicots"
"Juncarti","Juncus","Juncaceae","Poales","Commelinids","Monocots"
"Juncbufo","Juncus","Juncaceae","Poales","Commelinids","Monocots"
"Lolipere","Lolium","Poaceae","Poales","Commelinids","Monocots"
"Planlanc","Plantago","Plantaginaceae","Lamiales","Asterids","Dicots"
"Poaprat","Poa","Poaceae","Poales","Commelinids","Monocots"
"Poatriv","Poa","Poaceae","Poales","Commelinids","Monocots"
"Ranuflam","Ranunculus","Ranunculaceae","Ranunculales","Ranunculids","Dicots"
"Rumeacet","Rumex","Polygonaceae","Caryophyllales","Caryophyllales","Dicots"
"Sagiproc","Sagina","Caryophyllaceae","Caryophyllales","Caryophyllales","Dicots"
"Salirepe","Salix","Salicaceae","Malpighiales","Rosids","Dicots"
"Scorautu","Scorzoneroides","Asteraceae","Asterales","Asterids","Dicots"
"Trifprat","Trifolium","Fabaceae","Fabales","Rosids","Dicots"
"Trifrepe","Trifolium","Fabaceae","Fabales","Rosids","Dicots"
"Vicilath","Vicia","Fabaceae","Fabales","Rosids","Dicots"
"Bracruta","Brachythecium","Brachytheciaceae","Hypnales","Bryids","Bryophytes"
"Callcusp","Calliergonella","Hypnaceae","Hypnales","Bryids","Bryophytes"
