"","s.v.i.b"
"1","1,0,1,1"
"2","1,0,2,1"
"3","2,0,1,2"
"4","2,0,1,3"
"5","2,0,2,3"
"6","2,0,2,4"
"7","2,0,3,1"
"8","2,0,3,2"
"9","2,0,4,1"
"10","2,0,4,4"
"11","3,0,1,1"
"12","3,0,1,2"
"13","3,0,1,12"
"14","3,0,2,7"
"15","3,0,2,11"
"16","3,0,2,12"
"17","3,0,3,1"
"18","3,0,3,4"
"19","3,0,3,10"
"20","3,0,4,9"
"21","3,0,4,10"
"22","3,0,4,11"
"23","3,0,5,2"
"24","3,0,5,3"
"25","3,0,5,8"
"26","3,0,6,6"
"27","3,0,6,7"
"28","3,0,6,8"
"29","3,0,7,3"
"30","3,0,7,4"
"31","3,0,7,5"
"32","3,0,8,5"
"33","3,0,8,6"
"34","3,0,8,9"
"35","4,1,1,11"
"36","4,1,1,14"
"37","4,1,1,15"
"38","4,1,1,27"
"39","4,1,2,14"
"40","4,1,2,18"
"41","4,1,2,21"
"42","4,1,2,26"
"43","4,1,3,15"
"44","4,1,3,16"
"45","4,1,3,19"
"46","4,1,4,18"
"47","4,1,4,19"
"48","4,1,4,20"
"49","4,1,5,1"
"50","4,1,5,9"
"51","4,1,5,11"
"52","4,1,6,21"
"53","4,1,6,22"
"54","4,1,6,28"
"55","4,1,7,1"
"56","4,1,7,3"
"57","4,1,7,16"
"58","4,1,7,17"
"59","4,1,8,3"
"60","4,1,8,20"
"61","4,1,8,22"
"62","4,1,8,23"
"63","4,1,9,10"
"64","4,1,9,12"
"65","4,1,9,13"
"66","4,1,9,27"
"67","4,1,10,5"
"68","4,1,10,13"
"69","4,1,10,25"
"70","4,1,10,26"
"71","4,1,11,4"
"72","4,1,11,7"
"73","4,1,11,12"
"74","4,1,12,4"
"75","4,1,12,5"
"76","4,1,12,6"
"77","4,1,13,8"
"78","4,1,13,9"
"79","4,1,13,10"
"80","4,1,14,24"
"81","4,1,14,25"
"82","4,1,14,28"
"83","4,1,15,2"
"84","4,1,15,7"
"85","4,1,15,8"
"86","4,1,15,17"
"87","4,1,16,2"
"88","4,1,16,6"
"89","4,1,16,23"
"90","4,1,16,24"
"91","5,1,1,7"
"92","5,1,1,32"
"93","5,1,1,33"
"94","5,1,1,59"
"95","5,1,1,60"
"96","5,1,2,15"
"97","5,1,2,56"
"98","5,1,2,57"
"99","5,1,2,59"
"100","5,1,3,38"
"101","5,1,3,55"
"102","5,1,3,58"
"103","5,1,3,60"
"104","5,1,4,50"
"105","5,1,4,53"
"106","5,1,4,55"
"107","5,1,4,56"
"108","5,1,5,25"
"109","5,1,5,29"
"110","5,1,5,33"
"111","5,1,5,37"
"112","5,1,6,45"
"113","5,1,6,46"
"114","5,1,6,57"
"115","5,1,7,36"
"116","5,1,7,37"
"117","5,1,7,38"
"118","5,1,7,39"
"119","5,1,8,46"
"120","5,1,8,47"
"121","5,1,8,48"
"122","5,1,8,50"
"123","5,1,9,9"
"124","5,1,9,19"
"125","5,1,9,24"
"126","5,1,9,32"
"127","5,1,10,12"
"128","5,1,10,19"
"129","5,1,10,21"
"130","5,1,11,52"
"131","5,1,11,54"
"132","5,1,11,58"
"133","5,1,12,49"
"134","5,1,12,53"
"135","5,1,12,54"
"136","5,1,13,23"
"137","5,1,13,24"
"138","5,1,13,25"
"139","5,1,13,26"
"140","5,1,14,21"
"141","5,1,14,22"
"142","5,1,14,23"
"143","5,1,15,39"
"144","5,1,15,40"
"145","5,1,15,51"
"146","5,1,15,52"
"147","5,1,16,43"
"148","5,1,16,48"
"149","5,1,16,49"
"150","5,1,16,51"
"151","5,1,17,2"
"152","5,1,17,6"
"153","5,1,17,7"
"154","5,1,17,8"
"155","5,1,18,6"
"156","5,1,18,14"
"157","5,1,18,15"
"158","5,1,18,16"
"159","5,1,19,1"
"160","5,1,19,2"
"161","5,1,19,3"
"162","5,1,20,1"
"163","5,1,20,13"
"164","5,1,20,14"
"165","5,1,20,17"
"166","5,1,21,29"
"167","5,1,21,30"
"168","5,1,21,34"
"169","5,1,22,16"
"170","5,1,22,44"
"171","5,1,22,45"
"172","5,1,23,34"
"173","5,1,23,35"
"174","5,1,23,36"
"175","5,1,24,17"
"176","5,1,24,42"
"177","5,1,24,44"
"178","5,1,24,47"
"179","5,1,25,5"
"180","5,1,25,8"
"181","5,1,25,9"
"182","5,1,25,10"
"183","5,1,26,10"
"184","5,1,26,11"
"185","5,1,26,12"
"186","5,1,26,20"
