"","s.v.n.x.y"
"1","1,0,1,500,750"
"2","1,0,1,493.573,749.918"
"3","1,0,1,487.185,749.673"
"4","1,0,1,480.838,749.267"
"5","1,0,1,474.533,748.703"
"6","1,0,1,468.273,747.982"
"7","1,0,1,462.059,747.106"
"8","1,0,1,455.895,746.077"
"9","1,0,1,449.78,744.897"
"10","1,0,1,443.719,743.569"
"11","1,0,1,437.712,742.094"
"12","1,0,1,431.761,740.474"
"13","1,0,1,425.87,738.712"
"14","1,0,1,420.039,736.808"
"15","1,0,1,414.27,734.766"
"16","1,0,1,408.567,732.587"
"17","1,0,1,402.93,730.273"
"18","1,0,1,391.864,725.25"
"19","1,0,1,381.088,719.711"
"20","1,0,1,370.62,713.674"
"21","1,0,1,360.474,707.153"
"22","1,0,1,350.666,700.166"
"23","1,0,1,341.214,692.728"
"24","1,0,1,332.132,684.855"
"25","1,0,1,323.438,676.562"
"26","1,0,1,315.145,667.868"
"27","1,0,1,307.272,658.786"
"28","1,0,1,299.834,649.334"
"29","1,0,1,292.847,639.526"
"30","1,0,1,286.326,629.38"
"31","1,0,1,280.289,618.912"
"32","1,0,1,274.75,608.136"
"33","1,0,1,269.727,597.07"
"34","1,0,1,267.413,591.433"
"35","1,0,1,265.234,585.73"
"36","1,0,1,263.192,579.961"
"37","1,0,1,261.288,574.13"
"38","1,0,1,259.526,568.239"
"39","1,0,1,257.906,562.288"
"40","1,0,1,256.431,556.281"
"41","1,0,1,255.103,550.22"
"42","1,0,1,253.923,544.105"
"43","1,0,1,252.894,537.941"
"44","1,0,1,252.018,531.727"
"45","1,0,1,251.297,525.467"
"46","1,0,1,250.733,519.162"
"47","1,0,1,250.327,512.815"
"48","1,0,1,250.082,506.427"
"49","1,0,1,250,500"
"50","1,0,1,250.082,493.573"
"51","1,0,1,250.327,487.185"
"52","1,0,1,250.733,480.838"
"53","1,0,1,251.297,474.533"
"54","1,0,1,252.018,468.273"
"55","1,0,1,252.894,462.059"
"56","1,0,1,253.923,455.895"
"57","1,0,1,255.103,449.78"
"58","1,0,1,256.431,443.719"
"59","1,0,1,257.906,437.712"
"60","1,0,1,259.526,431.761"
"61","1,0,1,261.288,425.87"
"62","1,0,1,263.192,420.039"
"63","1,0,1,265.234,414.27"
"64","1,0,1,267.413,408.567"
"65","1,0,1,269.727,402.93"
"66","1,0,1,274.75,391.864"
"67","1,0,1,280.289,381.088"
"68","1,0,1,286.326,370.62"
"69","1,0,1,292.847,360.474"
"70","1,0,1,299.834,350.666"
"71","1,0,1,307.272,341.214"
"72","1,0,1,315.145,332.132"
"73","1,0,1,323.438,323.438"
"74","1,0,1,332.132,315.145"
"75","1,0,1,341.214,307.272"
"76","1,0,1,350.666,299.834"
"77","1,0,1,360.474,292.847"
"78","1,0,1,370.62,286.326"
"79","1,0,1,381.088,280.289"
"80","1,0,1,391.864,274.75"
"81","1,0,1,402.93,269.727"
"82","1,0,1,408.567,267.413"
"83","1,0,1,414.27,265.234"
"84","1,0,1,420.039,263.192"
"85","1,0,1,425.87,261.288"
"86","1,0,1,431.761,259.526"
"87","1,0,1,437.712,257.906"
"88","1,0,1,443.719,256.431"
"89","1,0,1,449.78,255.103"
"90","1,0,1,455.895,253.923"
"91","1,0,1,462.059,252.894"
"92","1,0,1,468.273,252.018"
"93","1,0,1,474.533,251.297"
"94","1,0,1,480.838,250.733"
"95","1,0,1,487.185,250.327"
"96","1,0,1,493.573,250.082"
"97","1,0,1,500,250"
"98","1,0,1,506.427,250.082"
"99","1,0,1,512.815,250.327"
"100","1,0,1,519.162,250.733"
"101","1,0,1,525.467,251.297"
"102","1,0,1,531.727,252.018"
"103","1,0,1,537.941,252.894"
"104","1,0,1,544.105,253.923"
"105","1,0,1,550.22,255.103"
"106","1,0,1,556.281,256.431"
"107","1,0,1,562.288,257.906"
"108","1,0,1,568.239,259.526"
"109","1,0,1,574.13,261.288"
"110","1,0,1,579.961,263.192"
"111","1,0,1,585.73,265.234"
"112","1,0,1,591.433,267.413"
"113","1,0,1,597.07,269.727"
"114","1,0,1,608.136,274.75"
"115","1,0,1,618.912,280.289"
"116","1,0,1,629.38,286.326"
"117","1,0,1,639.526,292.847"
"118","1,0,1,649.334,299.834"
"119","1,0,1,658.786,307.272"
"120","1,0,1,667.868,315.145"
"121","1,0,1,676.562,323.438"
"122","1,0,1,684.855,332.132"
"123","1,0,1,692.728,341.214"
"124","1,0,1,700.166,350.666"
