"","time","cpi"
"1",1948,23.7
"2",1948.08333333333,23.5
"3",1948.16666666667,23.4
"4",1948.25,23.8
"5",1948.33333333333,23.9
"6",1948.41666666667,24.1
"7",1948.5,24.4
"8",1948.58333333333,24.5
"9",1948.66666666667,24.5
"10",1948.75,24.4
"11",1948.83333333333,24.2
"12",1948.91666666667,24.1
"13",1949,24
"14",1949.08333333333,23.8
"15",1949.16666666667,23.8
"16",1949.25,23.9
"17",1949.33333333333,23.8
"18",1949.41666666667,23.9
"19",1949.5,23.7
"20",1949.58333333333,23.8
"21",1949.66666666667,23.9
"22",1949.75,23.7
"23",1949.83333333333,23.8
"24",1949.91666666667,23.6
"25",1950,23.5
"26",1950.08333333333,23.5
"27",1950.16666666667,23.6
"28",1950.25,23.6
"29",1950.33333333333,23.7
"30",1950.41666666667,23.8
"31",1950.5,24.1
"32",1950.58333333333,24.3
"33",1950.66666666667,24.4
"34",1950.75,24.6
"35",1950.83333333333,24.7
"36",1950.91666666667,25
"37",1951,25.4
"38",1951.08333333333,25.7
"39",1951.16666666667,25.8
"40",1951.25,25.8
"41",1951.33333333333,25.9
"42",1951.41666666667,25.9
"43",1951.5,25.9
"44",1951.58333333333,25.9
"45",1951.66666666667,26.1
"46",1951.75,26.2
"47",1951.83333333333,26.4
"48",1951.91666666667,26.5
"49",1952,26.5
"50",1952.08333333333,26.3
"51",1952.16666666667,26.3
"52",1952.25,26.4
"53",1952.33333333333,26.4
"54",1952.41666666667,26.5
"55",1952.5,26.7
"56",1952.58333333333,26.7
"57",1952.66666666667,26.7
"58",1952.75,26.7
"59",1952.83333333333,26.7
"60",1952.91666666667,26.7
"61",1953,26.6
"62",1953.08333333333,26.5
"63",1953.16666666667,26.6
"64",1953.25,26.6
"65",1953.33333333333,26.7
"66",1953.41666666667,26.8
"67",1953.5,26.8
"68",1953.58333333333,26.9
"69",1953.66666666667,26.9
"70",1953.75,27
"71",1953.83333333333,26.9
"72",1953.91666666667,26.9
"73",1954,26.9
"74",1954.08333333333,26.9
"75",1954.16666666667,26.9
"76",1954.25,26.8
"77",1954.33333333333,26.9
"78",1954.41666666667,26.9
"79",1954.5,26.9
"80",1954.58333333333,26.9
"81",1954.66666666667,26.8
"82",1954.75,26.8
"83",1954.83333333333,26.8
"84",1954.91666666667,26.7
"85",1955,26.7
"86",1955.08333333333,26.7
"87",1955.16666666667,26.7
"88",1955.25,26.7
"89",1955.33333333333,26.7
"90",1955.41666666667,26.7
"91",1955.5,26.8
"92",1955.58333333333,26.8
"93",1955.66666666667,26.9
"94",1955.75,26.9
"95",1955.83333333333,26.9
"96",1955.91666666667,26.8
"97",1956,26.8
"98",1956.08333333333,26.8
"99",1956.16666666667,26.8
"100",1956.25,26.9
"101",1956.33333333333,27
"102",1956.41666666667,27.2
"103",1956.5,27.4
"104",1956.58333333333,27.3
"105",1956.66666666667,27.4
"106",1956.75,27.5
"107",1956.83333333333,27.5
"108",1956.91666666667,27.6
"109",1957,27.6
"110",1957.08333333333,27.7
"111",1957.16666666667,27.8
"112",1957.25,27.9
"113",1957.33333333333,28
"114",1957.41666666667,28.1
"115",1957.5,28.3
"116",1957.58333333333,28.3
"117",1957.66666666667,28.3
"118",1957.75,28.3
"119",1957.83333333333,28.4
"120",1957.91666666667,28.4
"121",1958,28.6
"122",1958.08333333333,28.6
"123",1958.16666666667,28.8
"124",1958.25,28.9
"125",1958.33333333333,28.9
"126",1958.41666666667,28.9
"127",1958.5,29
"128",1958.58333333333,28.9
"129",1958.66666666667,28.9
"130",1958.75,28.9
"131",1958.83333333333,29
"132",1958.91666666667,28.9
"133",1959,29
"134",1959.08333333333,28.9
"135",1959.16666666667,28.9
"136",1959.25,29
"137",1959.33333333333,29
"138",1959.41666666667,29.1
"139",1959.5,29.2
"140",1959.58333333333,29.2
"141",1959.66666666667,29.3
"142",1959.75,29.4
"143",1959.83333333333,29.4
"144",1959.91666666667,29.4
"145",1960,29.3
"146",1960.08333333333,29.4
"147",1960.16666666667,29.4
"148",1960.25,29.5
"149",1960.33333333333,29.5
"150",1960.41666666667,29.6
"151",1960.5,29.6
"152",1960.58333333333,29.6
"153",1960.66666666667,29.6
"154",1960.75,29.8
"155",1960.83333333333,29.8
"156",1960.91666666667,29.8
"157",1961,29.8
"158",1961.08333333333,29.8
"159",1961.16666666667,29.8
"160",1961.25,29.8
"161",1961.33333333333,29.8
"162",1961.41666666667,29.8
"163",1961.5,30
"164",1961.58333333333,29.9
"165",1961.66666666667,30
"166",1961.75,30
"167",1961.83333333333,30
"168",1961.91666666667,30
"169",1962,30
"170",1962.08333333333,30.1
"171",1962.16666666667,30.1
"172",1962.25,30.2
"173",1962.33333333333,30.2
"174",1962.41666666667,30.2
"175",1962.5,30.3
"176",1962.58333333333,30.3
"177",1962.66666666667,30.4
"178",1962.75,30.4
"179",1962.83333333333,30.4
"180",1962.91666666667,30.4
"181",1963,30.4
"182",1963.08333333333,30.4
"183",1963.16666666667,30.5
"184",1963.25,30.5
"185",1963.33333333333,30.5
"186",1963.41666666667,30.6
"187",1963.5,30.7
"188",1963.58333333333,30.7
"189",1963.66666666667,30.7
"190",1963.75,30.8
"191",1963.83333333333,30.8
"192",1963.91666666667,30.9
"193",1964,30.9
"194",1964.08333333333,30.9
"195",1964.16666666667,30.9
"196",1964.25,30.9
"197",1964.33333333333,30.9
"198",1964.41666666667,31
"199",1964.5,31.1
"200",1964.58333333333,31
"201",1964.66666666667,31.1
"202",1964.75,31.1
"203",1964.83333333333,31.2
"204",1964.91666666667,31.2
"205",1965,31.2
"206",1965.08333333333,31.2
"207",1965.16666666667,31.3
"208",1965.25,31.4
"209",1965.33333333333,31.4
"210",1965.41666666667,31.6
"211",1965.5,31.6
"212",1965.58333333333,31.6
"213",1965.66666666667,31.6
"214",1965.75,31.7
"215",1965.83333333333,31.7
"216",1965.91666666667,31.8
"217",1966,31.8
"218",1966.08333333333,32
"219",1966.16666666667,32.1
"220",1966.25,32.3
"221",1966.33333333333,32.3
"222",1966.41666666667,32.4
"223",1966.5,32.5
"224",1966.58333333333,32.7
"225",1966.66666666667,32.7
"226",1966.75,32.9
"227",1966.83333333333,32.9
"228",1966.91666666667,32.9
"229",1967,32.9
"230",1967.08333333333,32.9
"231",1967.16666666667,33
"232",1967.25,33.1
"233",1967.33333333333,33.2
"234",1967.41666666667,33.3
"235",1967.5,33.4
"236",1967.58333333333,33.5
"237",1967.66666666667,33.6
"238",1967.75,33.7
"239",1967.83333333333,33.8
"240",1967.91666666667,33.9
"241",1968,34.1
"242",1968.08333333333,34.2
"243",1968.16666666667,34.3
"244",1968.25,34.4
"245",1968.33333333333,34.5
"246",1968.41666666667,34.7
"247",1968.5,34.9
"248",1968.58333333333,35
"249",1968.66666666667,35.1
"250",1968.75,35.3
"251",1968.83333333333,35.4
"252",1968.91666666667,35.5
"253",1969,35.6
"254",1969.08333333333,35.8
"255",1969.16666666667,36.1
"256",1969.25,36.3
"257",1969.33333333333,36.4
"258",1969.41666666667,36.6
"259",1969.5,36.8
"260",1969.58333333333,37
"261",1969.66666666667,37.1
"262",1969.75,37.3
"263",1969.83333333333,37.5
"264",1969.91666666667,37.7
"265",1970,37.8
"266",1970.08333333333,38
"267",1970.16666666667,38.2
"268",1970.25,38.5
"269",1970.33333333333,38.6
"270",1970.41666666667,38.8
"271",1970.5,39
"272",1970.58333333333,39
"273",1970.66666666667,39.2
"274",1970.75,39.4
"275",1970.83333333333,39.6
"276",1970.91666666667,39.8
"277",1971,39.8
"278",1971.08333333333,39.9
"279",1971.16666666667,40
"280",1971.25,40.1
"281",1971.33333333333,40.3
"282",1971.41666666667,40.6
"283",1971.5,40.7
"284",1971.58333333333,40.8
"285",1971.66666666667,40.8
"286",1971.75,40.9
"287",1971.83333333333,40.9
"288",1971.91666666667,41.1
"289",1972,41.1
"290",1972.08333333333,41.3
"291",1972.16666666667,41.4
"292",1972.25,41.5
"293",1972.33333333333,41.6
"294",1972.41666666667,41.7
"295",1972.5,41.9
"296",1972.58333333333,42
"297",1972.66666666667,42.1
"298",1972.75,42.3
"299",1972.83333333333,42.4
"300",1972.91666666667,42.5
"301",1973,42.6
"302",1973.08333333333,42.9
"303",1973.16666666667,43.3
"304",1973.25,43.6
"305",1973.33333333333,43.9
"306",1973.41666666667,44.2
"307",1973.5,44.3
"308",1973.58333333333,45.1
"309",1973.66666666667,45.2
"310",1973.75,45.6
"311",1973.83333333333,45.9
"312",1973.91666666667,46.2
"313",1974,46.6
"314",1974.08333333333,47.2
"315",1974.16666666667,47.8
"316",1974.25,48
"317",1974.33333333333,48.6
"318",1974.41666666667,49
"319",1974.5,49.4
"320",1974.58333333333,50
"321",1974.66666666667,50.6
"322",1974.75,51.1
"323",1974.83333333333,51.5
"324",1974.91666666667,51.9
"325",1975,52.1
"326",1975.08333333333,52.5
"327",1975.16666666667,52.7
"328",1975.25,52.9
"329",1975.33333333333,53.2
"330",1975.41666666667,53.6
"331",1975.5,54.2
"332",1975.58333333333,54.3
"333",1975.66666666667,54.6
"334",1975.75,54.9
"335",1975.83333333333,55.3
"336",1975.91666666667,55.5
"337",1976,55.6
"338",1976.08333333333,55.8
"339",1976.16666666667,55.9
"340",1976.25,56.1
"341",1976.33333333333,56.5
"342",1976.41666666667,56.8
"343",1976.5,57.1
"344",1976.58333333333,57.4
"345",1976.66666666667,57.6
"346",1976.75,57.9
"347",1976.83333333333,58
"348",1976.91666666667,58.2
"349",1977,58.5
"350",1977.08333333333,59.1
"351",1977.16666666667,59.5
"352",1977.25,60
"353",1977.33333333333,60.3
"354",1977.41666666667,60.7
"355",1977.5,61
"356",1977.58333333333,61.2
"357",1977.66666666667,61.4
"358",1977.75,61.6
"359",1977.83333333333,61.9
"360",1977.91666666667,62.1
"361",1978,62.5
"362",1978.08333333333,62.9
"363",1978.16666666667,63.4
"364",1978.25,63.9
"365",1978.33333333333,64.5
"366",1978.41666666667,65.2
"367",1978.5,65.7
"368",1978.58333333333,66
"369",1978.66666666667,66.5
"370",1978.75,67.1
"371",1978.83333333333,67.4
